,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std,asian-nn,race-nn_max,race-nn_min
30,feminine,0.6667,-0.3886,0.3920,1.0000,,,0.0089,0.2004,0.9939,hispanic,white
7,burly,0.4167,0.4453,0.2969,1.0000,,,0.0017,0.1493,0.9930,hispanic,asian
15,colorful,0.8333,-0.1048,0.1143,0.8750,,,0.1738,0.1441,0.9959,hispanic,black
64,masculine,0.6667,0.2206,0.2322,1.0000,,,0.0055,0.1189,0.9948,hispanic,white
86,silent,0.7500,-0.0505,0.2252,1.0000,,,0.0048,0.1150,0.9953,hispanic,white
77,quiet,0.7500,-0.0567,0.2051,1.0000,,,0.0040,0.1045,0.9958,hispanic,white
5,beautiful,0.5833,-0.2848,0.1935,1.0000,,,0.0126,0.1030,0.9931,asian,white
65,muscular,0.7500,0.1882,0.1974,1.0000,,,0.0016,0.0995,0.9959,hispanic,white
66,naggy,0.5833,0.1179,0.1804,1.0000,,,0.0034,0.0919,0.9869,hispanic,asian
2,attractive,0.5000,-0.2108,0.1759,1.0000,,,0.0057,0.0908,0.9952,asian,white
109,upset,0.5833,-0.1337,0.1772,1.0000,,,0.0038,0.0905,0.9964,hispanic,white
35,fragile,0.8333,-0.2394,0.1600,1.0000,,,0.0124,0.0862,0.9956,asian,white
13,clean,0.6667,-0.0665,0.0863,1.0000,,,0.0834,0.0849,0.9956,hispanic,black
48,hopeless,0.9167,-0.0354,0.1491,1.0000,,,0.0178,0.0835,0.9947,hispanic,white
43,handsome,0.6667,0.2319,0.1582,1.0000,,,0.0056,0.0819,0.9947,asian,white
79,respected,0.6667,0.1274,0.1582,1.0000,,,0.0033,0.0808,0.9966,asian,white
42,gross,1.0000,-0.1159,0.1462,1.0000,,,0.0148,0.0805,0.9907,hispanic,white
9,capable,0.7500,0.1217,0.1587,1.0000,,,0.0021,0.0804,0.9970,asian,white
83,rowdy,0.5833,0.1597,0.1541,1.0000,,,0.0036,0.0789,0.9932,hispanic,white
54,impoverish,0.9167,-0.0402,0.1188,1.0000,,,0.0369,0.0779,0.9930,hispanic,white
60,loud,0.6667,-0.0114,0.1530,1.0000,,,0.0018,0.0774,0.9971,hispanic,white
88,slim,0.6667,-0.2138,0.1488,1.0000,,,0.0059,0.0773,0.9898,hispanic,black
29,fat,0.8333,0.0817,0.1274,1.0000,,,0.0228,0.0751,0.9875,hispanic,white
63,manly,0.7500,0.1417,0.1435,1.0000,,,0.0055,0.0745,0.9957,hispanic,white
104,tough,0.5833,0.1227,0.1430,1.0000,,,0.0055,0.0743,0.9942,hispanic,white
39,gifted,0.9167,-0.0718,0.1420,1.0000,,,0.0033,0.0726,0.9960,asian,white
115,welcome,0.5000,-0.0998,0.1442,1.0000,,,0.0010,0.0726,0.9964,hispanic,white
106,ugly,1.0000,-0.0843,0.1063,1.0000,,,0.0383,0.0723,0.9959,asian,white
53,impossible,1.0000,-0.0346,0.1243,1.0000,,,0.0199,0.0721,0.9906,asian,white
28,excited,0.4167,-0.1353,0.1413,1.0000,,,0.0016,0.0714,0.9963,hispanic,white
12,cautious,0.7500,0.0329,0.1367,1.0000,,,0.0061,0.0714,0.9971,asian,black
92,social,0.4167,-0.0822,0.1242,1.0000,,,0.0185,0.0713,0.9850,hispanic,white
0,angry,0.5833,0.0747,0.1399,1.0000,,,0.0024,0.0711,0.9973,asian,white
95,studious,0.3333,0.1696,0.1363,1.0000,,,0.0053,0.0708,0.9940,asian,white
62,mad,0.7500,0.0294,0.1336,1.0000,,,0.0066,0.0701,0.9961,asian,white
61,luxurious,0.8333,-0.0591,0.1333,1.0000,,,0.0059,0.0696,0.9939,hispanic,white
22,defiant,0.7500,-0.1433,0.1346,1.0000,,,0.0036,0.0691,0.9955,asian,white
70,normal,0.9167,-0.0811,0.1264,1.0000,,,0.0116,0.0690,0.9931,hispanic,white
10,careful,0.9167,-0.0138,0.1123,1.0000,,,0.0256,0.0689,0.9969,hispanic,black
36,free,0.8333,-0.0520,0.1258,1.0000,,,0.0103,0.0680,0.9961,hispanic,white
