,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std,asian-nn,race-nn_max,race-nn_min
77,hostess,0.4167,-0.6088,0.4059,1.0000,,,0.0028,0.2043,0.9922,black,white
115,postman,0.5000,0.5226,0.3484,1.0000,,,0.0035,0.1759,0.9880,black,asian
122,receptionist,0.3333,-0.5091,0.3394,1.0000,,,0.0026,0.1710,0.9906,black,asian
78,housekeeper,0.5000,-0.5010,0.3340,1.0000,,,0.0031,0.1685,0.9919,hispanic,white
66,fireman,0.5000,0.4331,0.2888,1.0000,,,0.0040,0.1464,0.9888,black,asian
6,airman,0.5000,0.4267,0.2845,1.0000,,,0.0023,0.1434,0.9918,hispanic,white
75,handyman,0.4167,0.4029,0.2686,1.0000,,,0.0038,0.1362,0.9883,black,asian
127,security guard,0.5833,0.4031,0.2687,1.0000,,,0.0006,0.1347,0.9958,hispanic,black
72,guitarist,0.5000,0.3680,0.2650,1.0000,,,0.0015,0.1332,0.9936,black,asian
129,sheriff,0.6667,0.3890,0.2598,1.0000,,,0.0053,0.1325,0.9855,black,asian
67,football player,0.4167,0.3699,0.2466,1.0000,,,0.0023,0.1244,0.9919,white,asian
99,nurse,0.4167,-0.3679,0.2461,1.0000,,,0.0026,0.1243,0.9944,hispanic,white
61,engineer,0.5833,0.3661,0.2443,1.0000,,,0.0022,0.1233,0.9941,hispanic,white
27,butler,0.5833,0.3625,0.2417,1.0000,,,0.0023,0.1220,0.9916,black,asian
71,guard,0.7500,0.3495,0.2338,1.0000,,,0.0016,0.1177,0.9965,hispanic,white
141,umpire,0.5000,0.2820,0.2311,1.0000,,,0.0036,0.1174,0.9887,hispanic,asian
7,analyst,0.4167,0.3128,0.2226,1.0000,,,0.0056,0.1141,0.9948,hispanic,black
135,surgeon,0.5833,0.3383,0.2255,1.0000,,,0.0019,0.1137,0.9944,hispanic,black
80,inspector,0.5833,0.3331,0.2226,1.0000,,,0.0026,0.1126,0.9935,hispanic,black
63,executive,0.5000,0.3183,0.2193,1.0000,,,0.0049,0.1121,0.9946,hispanic,white
98,musician,0.3333,0.2701,0.2190,1.0000,,,0.0035,0.1113,0.9916,hispanic,white
34,chief,0.5000,0.2682,0.2104,1.0000,,,0.0055,0.1080,0.9889,hispanic,white
50,detective,0.3333,0.3154,0.2109,1.0000,,,0.0024,0.1066,0.9932,hispanic,white
132,software engineer,0.5000,0.3151,0.2102,1.0000,,,0.0026,0.1064,0.9930,hispanic,black
133,soldier,0.6667,0.3078,0.2097,1.0000,,,0.0015,0.1056,0.9962,hispanic,white
22,boxer,0.6667,0.2993,0.2061,1.0000,,,0.0041,0.1051,0.9870,black,asian
68,foster parent,0.6667,-0.1927,0.2063,1.0000,,,0.0023,0.1043,0.9930,hispanic,white
4,aeronautical engineer,0.5000,0.3027,0.2019,1.0000,,,0.0043,0.1031,0.9866,hispanic,asian
107,physician,0.4167,0.2949,0.1991,1.0000,,,0.0018,0.1005,0.9937,hispanic,white
20,barber,0.5833,0.2967,0.1978,1.0000,,,0.0028,0.1003,0.9919,hispanic,asian
40,commander,0.4167,0.2734,0.1932,1.0000,,,0.0062,0.0997,0.9911,hispanic,white
93,mathematician,0.7500,0.2833,0.1947,1.0000,,,0.0027,0.0987,0.9957,hispanic,white
28,carpenter,0.6667,0.2876,0.1956,1.0000,,,0.0016,0.0986,0.9933,hispanic,asian
12,astronomer,0.6667,0.2872,0.1922,1.0000,,,0.0040,0.0981,0.9893,hispanic,white
56,economist,0.6667,0.2664,0.1792,1.0000,,,0.0125,0.0959,0.9843,hispanic,white
140,theologian,0.6667,0.2322,0.1884,1.0000,,,0.0024,0.0954,0.9947,hispanic,white
113,police officer,0.3333,0.2760,0.1881,1.0000,,,0.0022,0.0951,0.9913,black,asian
111,plumber,0.5000,0.2547,0.1855,1.0000,,,0.0030,0.0943,0.9885,hispanic,asian
2,actor,0.5000,0.1998,0.1801,1.0000,,,0.0066,0.0933,0.9820,black,asian
9,army,0.6667,0.2355,0.1592,1.0000,,,0.0247,0.0919,0.9826,asian,black
64,farmer,0.6667,0.2730,0.1820,1.0000,,,0.0017,0.0918,0.9946,white,black
94,mechanic,0.5833,0.2719,0.1815,1.0000,,,0.0009,0.0912,0.9959,black,asian
76,historian,0.2500,0.2633,0.1757,1.0000,,,0.0040,0.0899,0.9910,black,white
137,tailor,0.7500,0.1830,0.1768,1.0000,,,0.0026,0.0897,0.9914,hispanic,asian
8,architect,0.6667,0.2509,0.1699,1.0000,,,0.0058,0.0879,0.9876,hispanic,white
16,auditor,0.6667,0.1132,0.1708,1.0000,,,0.0045,0.0876,0.9944,hispanic,black
110,pilot,0.3333,0.2599,0.1736,1.0000,,,0.0016,0.0876,0.9935,hispanic,asian
59,employee,0.5000,0.0528,0.1706,1.0000,,,0.0032,0.0869,0.9924,hispanic,white
19,banker,0.7500,0.2510,0.1695,1.0000,,,0.0035,0.0865,0.9941,hispanic,black
136,swimmer,0.1667,-0.1681,0.1625,1.0000,,,0.0079,0.0852,0.9814,black,white
24,builder,0.4167,0.2311,0.1669,1.0000,,,0.0018,0.0844,0.9927,hispanic,asian
86,lawn mower,0.0833,0.1734,0.1188,1.0000,,,0.0492,0.0840,0.8976,white,asian
105,pharmacist,0.2500,0.2465,0.1647,1.0000,,,0.0031,0.0839,0.9893,hispanic,asian
109,pianist,0.3333,0.2006,0.1610,1.0000,,,0.0035,0.0823,0.9914,black,hispanic
70,grocer,0.4167,0.1970,0.1319,1.0000,,,0.0317,0.0818,0.9353,white,asian
32,chemist,0.8333,0.2384,0.1596,1.0000,,,0.0032,0.0814,0.9948,hispanic,black
13,athlete,0.4167,0.0603,0.1550,1.0000,,,0.0068,0.0809,0.9875,hispanic,white
112,poet,0.4167,0.1941,0.1526,1.0000,,,0.0084,0.0805,0.9871,hispanic,white
55,driver,0.7500,0.2334,0.1594,1.0000,,,0.0012,0.0803,0.9965,hispanic,white
62,entrepreneur,0.2500,0.1907,0.1319,1.0000,,,0.0262,0.0791,0.9888,hispanic,white
14,attendant,0.5833,0.0595,0.1568,1.0000,,,0.0012,0.0790,0.9953,hispanic,white
33,chess player,0.5000,0.2048,0.1511,1.0000,,,0.0069,0.0790,0.9888,hispanic,white
120,radiologist,0.5000,0.2332,0.1556,1.0000,,,0.0022,0.0789,0.9956,hispanic,black
41,composer,0.4167,0.1550,0.1499,1.0000,,,0.0044,0.0771,0.9922,hispanic,white
117,professor,0.7500,0.2272,0.1520,1.0000,,,0.0021,0.0770,0.9961,hispanic,black
5,agent,0.6667,0.1654,0.1517,1.0000,,,0.0021,0.0769,0.9950,hispanic,white
108,physicist,0.7500,0.1985,0.1513,1.0000,,,0.0024,0.0769,0.9963,asian,black
30,CEO,0.5833,0.2148,0.1458,1.0000,,,0.0064,0.0761,0.9921,hispanic,white
51,diplomat,0.2500,0.1898,0.1481,1.0000,,,0.0037,0.0759,0.9929,hispanic,white
92,manager,0.5000,0.1815,0.1485,1.0000,,,0.0024,0.0754,0.9920,hispanic,white
91,magician,0.9167,0.2222,0.1481,1.0000,,,0.0025,0.0753,0.9936,hispanic,white
96,model,0.1667,-0.2072,0.1468,1.0000,,,0.0024,0.0746,0.9930,black,white
123,researcher,0.2500,0.1963,0.1458,1.0000,,,0.0024,0.0741,0.9942,hispanic,white
31,chef,0.2500,0.2113,0.1423,1.0000,,,0.0047,0.0735,0.9898,asian,black
26,butcher,1.0000,0.1584,0.1443,1.0000,,,0.0019,0.0731,0.9909,hispanic,asian
11,assistant,0.5833,0.0021,0.1447,1.0000,,,0.0014,0.0730,0.9954,hispanic,white
114,politician,0.5833,0.1989,0.1379,1.0000,,,0.0077,0.0728,0.9783,hispanic,asian
3,administrator,0.3333,0.1347,0.1427,1.0000,,,0.0026,0.0726,0.9924,hispanic,black
44,counselor,0.8333,-0.1876,0.1418,1.0000,,,0.0024,0.0721,0.9958,hispanic,white
102,painter,0.2500,0.1449,0.1363,1.0000,,,0.0079,0.0721,0.9932,hispanic,white
47,delivery,0.5833,-0.0760,0.1411,1.0000,,,0.0028,0.0719,0.9897,hispanic,asian
128,servant,0.5833,-0.0257,0.1410,1.0000,,,0.0017,0.0713,0.9951,hispanic,white
116,producer,0.3333,0.1507,0.1372,1.0000,,,0.0050,0.0711,0.9905,hispanic,white
54,drawer,0.7500,-0.0035,0.1311,1.0000,,,0.0108,0.0709,0.9826,hispanic,white
125,scientist,0.9167,0.2036,0.1378,1.0000,,,0.0031,0.0705,0.9960,hispanic,black
10,artist,0.3333,0.1053,0.1308,1.0000,,,0.0095,0.0701,0.9901,hispanic,white
25,businessperson,0.4167,0.1406,0.1326,1.0000,,,0.0061,0.0694,0.9892,hispanic,white
58,electrician,1.0000,0.1258,0.1067,1.0000,,,0.0316,0.0692,0.9390,black,asian
118,prosecutor,0.7500,0.0297,0.1312,1.0000,,,0.0053,0.0682,0.9900,hispanic,white
85,landlord,0.7500,0.1598,0.1318,1.0000,,,0.0045,0.0682,0.9879,hispanic,black
124,salesperson,0.5000,0.1254,0.1332,1.0000,,,0.0020,0.0676,0.9931,hispanic,asian
45,dancer,0.3333,-0.1293,0.1306,1.0000,,,0.0045,0.0675,0.9893,black,hispanic
65,firefighter,0.0833,0.1922,0.1285,1.0000,,,0.0053,0.0669,0.9866,black,asian
42,construction worker,0.5000,0.1915,0.1295,1.0000,,,0.0021,0.0658,0.9919,black,asian
69,gambler,0.0000,0.1873,0.1254,1.0000,,,0.0047,0.0650,0.9871,black,white
83,judge,0.9167,0.1723,0.1245,1.0000,,,0.0029,0.0637,0.9934,asian,hispanic
53,doctor,0.7500,0.1849,0.1240,1.0000,,,0.0034,0.0637,0.9946,hispanic,black
60,employment,0.6667,-0.0242,0.1189,1.0000,,,0.0079,0.0634,0.9853,hispanic,white
84,laborer,0.0833,0.1661,0.1222,1.0000,,,0.0023,0.0622,0.9914,hispanic,asian
52,director,0.1667,0.1366,0.1131,1.0000,,,0.0107,0.0619,0.9753,hispanic,asian
1,accountant,0.8333,0.1798,0.1215,1.0000,,,0.0017,0.0616,0.9939,hispanic,black
89,lifeguard,0.5000,0.1584,0.1190,1.0000,,,0.0036,0.0613,0.9898,black,asian
73,hairdresser,0.5833,0.0028,0.1049,1.0000,,,0.0173,0.0611,0.9636,hispanic,asian
23,broker,0.7500,0.1596,0.1186,1.0000,,,0.0029,0.0607,0.9932,hispanic,black
130,singer,0.2500,-0.0501,0.1138,1.0000,,,0.0066,0.0602,0.9852,black,white
48,dentist,1.0000,0.1501,0.1158,1.0000,,,0.0037,0.0597,0.9941,hispanic,white
95,medical student,0.4167,0.1724,0.1149,1.0000,,,0.0025,0.0587,0.9930,hispanic,black
97,mover,0.4167,0.1283,0.1127,1.0000,,,0.0040,0.0584,0.9905,hispanic,white
46,dealer,0.8333,0.1519,0.1135,1.0000,,,0.0014,0.0574,0.9962,hispanic,white
0,academic,0.5833,0.1009,0.1024,1.0000,,,0.0107,0.0565,0.9916,hispanic,white
126,secretary,0.1667,-0.1519,0.1085,1.0000,,,0.0022,0.0553,0.9923,black,asian
87,lawyer,0.9167,0.1618,0.1084,1.0000,,,0.0012,0.0548,0.9947,hispanic,asian
103,pensioner,0.0000,0.1597,0.1068,1.0000,,,0.0027,0.0547,0.9903,hispanic,white
138,teacher,0.5000,-0.0380,0.1065,1.0000,,,0.0024,0.0545,0.9946,hispanic,white
74,handball player,0.1667,0.0224,0.1044,1.0000,,,0.0042,0.0543,0.9892,black,white
90,linguist,0.7500,0.1083,0.1039,1.0000,,,0.0043,0.0541,0.9894,black,asian
38,coach,0.7500,0.1411,0.1010,1.0000,,,0.0026,0.0518,0.9933,hispanic,white
134,supervisor,0.9167,0.0478,0.0995,1.0000,,,0.0021,0.0508,0.9953,hispanic,white
37,clerk,0.6667,0.1318,0.0982,1.0000,,,0.0021,0.0501,0.9919,black,asian
82,journalist,0.0000,0.1311,0.0936,1.0000,,,0.0066,0.0501,0.9880,hispanic,white
57,editor,0.5000,0.1028,0.0938,1.0000,,,0.0063,0.0500,0.9864,hispanic,white
39,comedian,0.5000,0.0977,0.0880,1.0000,,,0.0120,0.0500,0.9886,hispanic,white
88,librarian,0.6667,-0.1013,0.0977,1.0000,,,0.0022,0.0500,0.9928,hispanic,white
21,bartender,0.3333,0.0110,0.0893,1.0000,,,0.0088,0.0491,0.9792,black,asian
131,sociologist,0.9167,0.0562,0.0925,1.0000,,,0.0052,0.0489,0.9887,hispanic,white
106,photographer,0.0833,0.1357,0.0920,1.0000,,,0.0054,0.0487,0.9916,hispanic,white
81,janitor,1.0000,0.0530,0.0860,1.0000,,,0.0109,0.0485,0.9677,black,asian
79,illustrator,0.0833,0.0189,0.0828,1.0000,,,0.0090,0.0459,0.9876,hispanic,white
36,cleaner,0.8333,-0.0447,0.0863,1.0000,,,0.0025,0.0444,0.9939,hispanic,white
35,civil,0.9167,0.0445,0.0840,1.0000,,,0.0040,0.0440,0.9908,black,white
104,performing artist,0.0000,0.0487,0.0687,1.0000,,,0.0192,0.0439,0.9479,black,asian
29,cashier,0.2500,-0.1084,0.0774,1.0000,,,0.0060,0.0417,0.9849,white,asian
15,attourney,0.5000,-0.0503,0.0647,1.0000,,,0.0170,0.0408,0.9577,black,asian
43,cook,0.2500,-0.0498,0.0756,1.0000,,,0.0040,0.0398,0.9865,black,asian
49,designer,0.7500,-0.0177,0.0750,1.0000,,,0.0043,0.0396,0.9939,hispanic,white
101,opera singer,0.0000,-0.0004,0.0585,1.0000,,,0.0126,0.0355,0.9714,black,hispanic
139,tennis player,0.0000,0.0752,0.0602,1.0000,,,0.0093,0.0347,0.9771,hispanic,asian
100,office worker,0.2500,0.0670,0.0646,1.0000,,,0.0045,0.0345,0.9848,hispanic,asian
17,author,0.0000,0.0076,0.0446,1.0000,,,0.0111,0.0279,0.9759,black,white
121,realtor,0.0000,-0.0097,0.0390,1.0000,,,0.0054,0.0222,0.9860,hispanic,asian
119,psychologist,1.0000,0.0200,0.0310,1.0000,,,0.0043,0.0177,0.9945,hispanic,black
18,baker,1.0000,0.0286,0.0328,1.0000,,,0.0022,0.0175,0.9923,hispanic,asian
