,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std,asian-nn,race-nn_max,race-nn_min
30,feminine,0.3333,-0.4080,0.3217,0.7500,,,0.3672,0.3445,0.3414,black,asian
63,manly,0.2500,0.6649,0.4501,0.8750,,,0.2332,0.3417,0.5644,white,asian
83,rowdy,0.1667,0.5492,0.3690,0.8750,,,0.2671,0.3180,0.5017,black,asian
95,studious,0.2500,0.5169,0.3460,0.8750,,,0.2831,0.3145,0.4661,black,asian
65,muscular,0.3333,0.5701,0.3806,0.8750,,,0.2309,0.3058,0.5677,white,asian
9,capable,0.2500,0.5387,0.3767,0.8750,,,0.2274,0.3021,0.5817,white,asian
60,loud,0.4167,0.4945,0.3504,0.8750,,,0.2537,0.3021,0.5372,black,asian
112,weak,0.4167,0.4526,0.3199,0.8750,,,0.2784,0.2991,0.4838,black,asian
76,quick,0.3333,0.5609,0.3869,0.8750,,,0.2029,0.2949,0.6245,black,asian
64,masculine,0.2500,0.3155,0.2512,0.8750,,,0.3281,0.2897,0.3706,white,asian
105,trustworthy,0.4167,0.4419,0.3056,0.8750,,,0.2700,0.2878,0.4997,black,asian
102,thin,0.3333,0.3844,0.2833,0.8750,,,0.2848,0.2841,0.4769,black,asian
6,brave,0.3333,0.4477,0.3220,0.8750,,,0.2449,0.2835,0.5421,white,asian
40,good,0.2500,0.4100,0.3128,0.8750,,,0.2526,0.2827,0.5315,white,asian
86,silent,0.4167,0.4415,0.3186,0.8750,,,0.2431,0.2809,0.5576,black,asian
18,confrontational,0.2500,0.4405,0.3308,0.8750,,,0.2222,0.2765,0.5836,black,asian
45,harsh,0.5000,0.4508,0.3244,0.8750,,,0.2263,0.2753,0.5802,black,asian
48,hopeless,0.5000,0.4138,0.3111,0.8750,,,0.2377,0.2744,0.5626,black,asian
115,welcome,0.3333,0.3454,0.2870,0.8750,,,0.2606,0.2738,0.5242,black,asian
36,free,0.3333,0.4279,0.3114,0.8750,,,0.2358,0.2736,0.5588,white,asian
29,fat,0.3333,0.3396,0.2500,0.8750,,,0.2961,0.2730,0.4350,black,asian
22,defiant,0.3333,0.4322,0.3098,0.8750,,,0.2350,0.2724,0.5677,black,asian
59,lazy,0.3333,0.5302,0.3603,1.0000,,,0.1813,0.2708,0.6601,black,asian
0,angry,0.5000,0.3713,0.2952,0.8750,,,0.2427,0.2689,0.5444,black,asian
103,timid,0.3333,0.4256,0.2989,0.8750,,,0.2371,0.2680,0.5563,black,asian
7,burly,0.4167,0.6031,0.4039,1.0000,,,0.1307,0.2673,0.7569,black,asian
78,ready,0.2500,0.4070,0.2884,0.8750,,,0.2454,0.2669,0.5517,black,asian
34,flamboyant,0.5000,0.5462,0.3658,1.0000,,,0.1672,0.2665,0.6883,black,asian
106,ugly,0.5000,0.2455,0.2212,0.8750,,,0.3117,0.2665,0.4227,black,asian
58,late,0.5000,0.3737,0.2747,0.8750,,,0.2581,0.2664,0.5232,black,asian
50,ignorant,0.4167,0.4440,0.3076,1.0000,,,0.2176,0.2626,0.6040,black,asian
32,fine,0.3333,0.4286,0.3056,0.8750,,,0.2108,0.2582,0.6065,white,asian
68,nervous,0.3333,0.3690,0.2823,0.8750,,,0.2286,0.2554,0.5760,black,asian
