,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std,asian-nn,race-nn_max,race-nn_min
58,electrician,0.2500,0.5242,0.3562,0.7500,,,0.4445,0.4004,0.1958,black,asian
141,umpire,0.1667,0.7303,0.4887,0.8750,,,0.3087,0.3987,0.4108,black,asian
133,soldier,0.2500,0.6877,0.4763,0.8750,,,0.3041,0.3902,0.4265,black,asian
129,sheriff,0.2500,0.6229,0.4261,0.8750,,,0.3476,0.3869,0.3363,black,asian
67,football player,0.2500,0.7050,0.4844,0.8750,,,0.2763,0.3804,0.4683,black,asian
22,boxer,0.1667,0.6750,0.4571,0.8750,,,0.2974,0.3773,0.4285,black,asian
55,driver,0.2500,0.6132,0.4259,0.8750,,,0.3269,0.3764,0.3758,black,asian
40,commander,0.2500,0.6453,0.4522,0.8750,,,0.3002,0.3762,0.4223,black,asian
61,engineer,0.1667,0.6104,0.4138,0.8750,,,0.3203,0.3670,0.3818,black,asian
2,actor,0.2500,0.5928,0.4237,0.8750,,,0.3069,0.3653,0.3920,black,asian
6,airman,0.2500,0.6458,0.4425,0.8750,,,0.2850,0.3637,0.4516,black,asian
34,chief,0.2500,0.6019,0.4383,0.8750,,,0.2890,0.3636,0.4554,black,asian
72,guitarist,0.0833,0.6598,0.4413,0.8750,,,0.2827,0.3620,0.4489,black,asian
9,army,0.2500,0.5598,0.4176,0.8750,,,0.3047,0.3612,0.4128,black,asian
30,CEO,0.1667,0.6095,0.4091,0.8750,,,0.3060,0.3576,0.4246,black,asian
52,director,0.1667,0.5747,0.3905,0.8750,,,0.3147,0.3526,0.4084,black,asian
57,editor,0.1667,0.5742,0.3862,0.8750,,,0.3159,0.3510,0.4021,black,asian
38,coach,0.1667,0.5958,0.4102,0.8750,,,0.2880,0.3491,0.4495,black,asian
91,magician,0.2500,0.5958,0.4091,0.8750,,,0.2862,0.3476,0.4538,black,asian
66,fireman,0.1667,0.6316,0.4291,0.8750,,,0.2656,0.3473,0.4878,black,asian
17,author,0.2500,0.4759,0.3398,0.8750,,,0.3549,0.3473,0.3087,black,asian
12,astronomer,0.1667,0.5395,0.3682,0.8750,,,0.3205,0.3444,0.3671,black,asian
115,postman,0.1667,0.6193,0.4177,0.8750,,,0.2710,0.3443,0.4853,black,asian
63,executive,0.1667,0.4953,0.3396,0.8750,,,0.3475,0.3436,0.3333,black,asian
13,athlete,0.2500,0.4965,0.3731,0.8750,,,0.3133,0.3432,0.3663,black,asian
26,butcher,0.1667,0.6642,0.4428,0.8750,,,0.2415,0.3421,0.5343,black,asian
114,politician,0.2500,0.5483,0.3815,0.8750,,,0.2955,0.3385,0.4223,black,asian
59,employee,0.2500,0.5033,0.3621,0.8750,,,0.3146,0.3383,0.4059,black,asian
5,agent,0.2500,0.5082,0.3724,0.8750,,,0.3031,0.3378,0.4326,black,asian
41,composer,0.2500,0.5776,0.3985,0.8750,,,0.2699,0.3342,0.4717,black,asian
8,architect,0.1667,0.5394,0.3760,0.8750,,,0.2874,0.3317,0.4442,black,asian
110,pilot,0.2500,0.6015,0.4215,0.8750,,,0.2417,0.3316,0.5288,black,asian
92,manager,0.1667,0.5443,0.3716,0.8750,,,0.2907,0.3311,0.4514,black,asian
46,dealer,0.2500,0.5467,0.3854,0.8750,,,0.2764,0.3309,0.4832,black,asian
24,builder,0.1667,0.6127,0.4230,0.8750,,,0.2377,0.3304,0.5402,black,asian
74,handball player,0.1667,0.6020,0.4107,0.8750,,,0.2493,0.3300,0.5208,black,asian
139,tennis player,0.1667,0.5904,0.3981,0.8750,,,0.2573,0.3277,0.5005,black,asian
60,employment,0.2500,0.4770,0.3381,0.8750,,,0.3164,0.3272,0.4014,black,asian
69,gambler,0.1667,0.5937,0.3974,0.8750,,,0.2569,0.3272,0.5158,black,asian
21,bartender,0.0833,0.4846,0.3230,0.8750,,,0.3302,0.3266,0.3781,black,asian
132,software engineer,0.1667,0.6120,0.4080,0.8750,,,0.2439,0.3259,0.5453,black,asian
29,cashier,0.1667,0.6045,0.4038,0.8750,,,0.2455,0.3247,0.5457,black,asian
135,surgeon,0.1667,0.5557,0.3740,0.8750,,,0.2747,0.3244,0.4656,black,asian
1,accountant,0.2500,0.5720,0.3912,0.8750,,,0.2572,0.3242,0.5134,black,asian
4,aeronautical engineer,0.1667,0.6325,0.4220,0.8750,,,0.2253,0.3236,0.5743,white,asian
16,auditor,0.2500,0.5899,0.4068,0.8750,,,0.2402,0.3235,0.5488,black,asian
33,chess player,0.2500,0.6200,0.4208,0.8750,,,0.2262,0.3235,0.5711,black,asian
98,musician,0.1667,0.5465,0.3725,0.8750,,,0.2711,0.3218,0.4752,black,asian
62,entrepreneur,0.2500,0.4787,0.3429,0.8750,,,0.2985,0.3207,0.4309,black,asian
27,butler,0.1667,0.5424,0.3622,0.8750,,,0.2776,0.3199,0.4768,black,asian
85,landlord,0.2500,0.5577,0.3833,0.8750,,,0.2557,0.3195,0.5049,black,asian
87,lawyer,0.2500,0.5057,0.3517,0.8750,,,0.2855,0.3186,0.4570,black,asian
11,assistant,0.2500,0.4816,0.3463,0.8750,,,0.2898,0.3180,0.4734,black,asian
28,carpenter,0.1667,0.5858,0.3924,0.8750,,,0.2427,0.3176,0.5440,black,asian
53,doctor,0.2500,0.5194,0.3580,0.8750,,,0.2761,0.3170,0.4798,black,asian
3,administrator,0.2500,0.5241,0.3616,0.8750,,,0.2717,0.3166,0.4883,black,asian
79,illustrator,0.0833,0.4119,0.2793,0.8750,,,0.3530,0.3162,0.3235,black,asian
116,producer,0.2500,0.5143,0.3521,0.8750,,,0.2779,0.3150,0.4734,black,asian
137,tailor,0.2500,0.5478,0.3744,0.8750,,,0.2554,0.3149,0.5251,black,asian
95,medical student,0.2500,0.5068,0.3488,0.8750,,,0.2796,0.3142,0.4738,black,asian
65,firefighter,0.2500,0.5493,0.3749,0.8750,,,0.2502,0.3125,0.5161,black,asian
125,scientist,0.2500,0.5268,0.3792,0.8750,,,0.2428,0.3110,0.5285,black,asian
32,chemist,0.1667,0.5873,0.3955,0.8750,,,0.2253,0.3104,0.5679,black,asian
64,farmer,0.2500,0.5361,0.3737,0.8750,,,0.2463,0.3100,0.5302,black,asian
83,judge,0.2500,0.4825,0.3491,0.8750,,,0.2706,0.3099,0.4939,black,asian
71,guard,0.2500,0.5833,0.3945,0.8750,,,0.2235,0.3090,0.5849,black,asian
112,poet,0.1667,0.4621,0.3221,0.8750,,,0.2943,0.3082,0.4108,black,asian
106,photographer,0.0833,0.4127,0.2857,0.8750,,,0.3306,0.3082,0.3625,black,asian
51,diplomat,0.2500,0.5241,0.3581,0.8750,,,0.2572,0.3076,0.5067,black,asian
118,prosecutor,0.2500,0.5570,0.3900,0.8750,,,0.2249,0.3074,0.5778,black,asian
35,civil,0.2500,0.5527,0.3837,0.8750,,,0.2310,0.3073,0.5550,black,asian
19,banker,0.2500,0.5386,0.3678,0.8750,,,0.2453,0.3066,0.5288,black,asian
37,clerk,0.2500,0.4882,0.3344,0.8750,,,0.2784,0.3064,0.4848,black,asian
