,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std,asian-nn,race-nn_max,race-nn_min
72,polite,0.5833,0.4958,0.3548,1.0000,,,0.0253,0.1900,0.9879,white,black
30,feminine,0.5833,-0.3862,0.3427,1.0000,,,0.0071,0.1749,0.9879,black,white
13,clean,0.5833,0.2868,0.2984,1.0000,,,0.0349,0.1667,0.9639,white,black
95,studious,0.7500,0.4613,0.3163,1.0000,,,0.0115,0.1639,0.9694,white,asian
88,slim,0.6667,0.3237,0.3111,1.0000,,,0.0054,0.1582,0.9847,white,hispanic
64,masculine,0.7500,0.2838,0.2899,1.0000,,,0.0265,0.1582,0.9450,black,hispanic
32,fine,0.7500,0.3878,0.3020,1.0000,,,0.0108,0.1564,0.9746,white,asian
86,silent,0.5833,0.2882,0.3061,1.0000,,,0.0030,0.1545,0.9905,black,hispanic
12,cautious,0.6667,0.4333,0.3040,1.0000,,,0.0041,0.1540,0.9879,white,black
36,free,0.7500,0.3145,0.3000,1.0000,,,0.0075,0.1537,0.9798,white,black
102,thin,0.6667,0.2907,0.3040,1.0000,,,0.0023,0.1531,0.9919,black,hispanic
80,retarded,0.6667,0.3416,0.3013,1.0000,,,0.0041,0.1527,0.9861,black,asian
78,ready,0.6667,0.3227,0.2919,1.0000,,,0.0126,0.1522,0.9862,white,black
108,uneducated,0.7500,0.3582,0.3000,1.0000,,,0.0032,0.1516,0.9906,hispanic,black
9,capable,0.7500,0.3030,0.2359,1.0000,,,0.0671,0.1515,0.9806,hispanic,black
77,quiet,0.6667,0.3042,0.2988,1.0000,,,0.0034,0.1511,0.9875,white,asian
103,timid,0.5833,0.4128,0.2978,1.0000,,,0.0030,0.1504,0.9917,black,hispanic
7,burly,0.7500,0.4270,0.2929,1.0000,,,0.0055,0.1492,0.9838,white,asian
76,quick,0.7500,0.3255,0.2873,1.0000,,,0.0063,0.1468,0.9842,white,black
34,flamboyant,0.7500,0.3861,0.2912,1.0000,,,0.0012,0.1462,0.9934,black,asian
16,comfortable,0.7500,0.3743,0.2674,1.0000,,,0.0241,0.1457,0.9803,white,black
18,confrontational,0.6667,0.3648,0.2861,1.0000,,,0.0034,0.1447,0.9906,black,white
83,rowdy,0.7500,0.3896,0.2745,1.0000,,,0.0141,0.1443,0.9664,black,asian
68,nervous,0.7500,0.3848,0.2871,1.0000,,,0.0014,0.1443,0.9937,black,hispanic
58,late,0.7500,0.3637,0.2836,1.0000,,,0.0042,0.1439,0.9853,black,asian
39,gifted,0.7500,0.3456,0.2799,1.0000,,,0.0078,0.1439,0.9839,asian,hispanic
57,irresponsible,0.6667,0.3118,0.2857,1.0000,,,0.0017,0.1437,0.9912,hispanic,asian
19,crafty,0.5833,0.3786,0.2793,1.0000,,,0.0070,0.1431,0.9799,white,asian
92,social,0.7500,0.2788,0.2664,1.0000,,,0.0177,0.1420,0.9821,hispanic,white
31,filthy,0.7500,0.3682,0.2771,1.0000,,,0.0063,0.1417,0.9883,black,hispanic
17,complex,0.7500,0.3590,0.2746,1.0000,,,0.0083,0.1415,0.9903,hispanic,white
15,colorful,0.5833,0.3416,0.2709,1.0000,,,0.0117,0.1413,0.9810,white,black
73,poor,0.7500,0.3334,0.2706,1.0000,,,0.0117,0.1412,0.9827,black,hispanic
87,skinny,0.6667,0.2823,0.2800,1.0000,,,0.0019,0.1410,0.9934,black,white
113,wealthy,0.7500,0.3967,0.2726,1.0000,,,0.0085,0.1405,0.9860,asian,black
46,healthy,0.6667,0.3120,0.2465,1.0000,,,0.0320,0.1393,0.9504,white,black
115,welcome,0.8333,0.3707,0.2685,1.0000,,,0.0085,0.1385,0.9821,white,black
28,excited,0.8333,0.3419,0.2746,1.0000,,,0.0022,0.1384,0.9911,white,hispanic
55,industrious,0.7500,0.3626,0.2649,1.0000,,,0.0118,0.1383,0.9932,asian,black
43,handsome,0.7500,0.3954,0.2699,1.0000,,,0.0059,0.1379,0.9917,white,black
107,uncare,0.8333,0.3463,0.2660,1.0000,,,0.0088,0.1374,0.9761,white,asian
29,fat,0.6667,0.2884,0.2671,1.0000,,,0.0075,0.1373,0.9942,asian,white
60,loud,0.6667,0.2828,0.2694,1.0000,,,0.0042,0.1368,0.9836,black,hispanic
69,nice,0.8333,0.3299,0.2419,1.0000,,,0.0317,0.1368,0.9787,white,black
81,rich,0.7500,0.3441,0.2587,1.0000,,,0.0148,0.1368,0.9814,asian,black
33,fit,0.7500,0.2604,0.2619,1.0000,,,0.0111,0.1365,0.9790,white,black
65,muscular,0.7500,0.3369,0.2696,1.0000,,,0.0026,0.1361,0.9875,hispanic,asian
