,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std,asian-nn,race-nn_max,race-nn_min
4,aeronautical engineer,0.4167,0.6925,0.4616,1.0000,,,0.0291,0.2454,0.9366,white,asian
103,pensioner,0.5833,0.5979,0.3987,1.0000,,,0.0673,0.2330,0.8539,white,asian
141,umpire,0.3333,0.5611,0.4343,1.0000,,,0.0250,0.2297,0.9433,white,asian
115,postman,0.6667,0.6418,0.4293,1.0000,,,0.0287,0.2290,0.9364,white,asian
133,soldier,0.4167,0.6312,0.4432,1.0000,,,0.0088,0.2260,0.9745,white,asian
66,fireman,0.5833,0.6098,0.4167,1.0000,,,0.0310,0.2238,0.9359,white,asian
19,banker,0.5000,0.6593,0.4396,1.0000,,,0.0065,0.2230,0.9829,hispanic,black
61,engineer,0.5833,0.6277,0.4184,1.0000,,,0.0272,0.2228,0.9280,white,asian
85,landlord,0.5000,0.6419,0.4345,1.0000,,,0.0091,0.2218,0.9703,hispanic,asian
140,theologian,0.5000,0.6266,0.4177,1.0000,,,0.0204,0.2190,0.9470,hispanic,asian
75,handyman,0.6667,0.6095,0.4095,1.0000,,,0.0277,0.2186,0.9397,white,asian
6,airman,0.6667,0.6126,0.4190,1.0000,,,0.0181,0.2185,0.9566,hispanic,asian
8,architect,0.5000,0.6046,0.4031,1.0000,,,0.0240,0.2135,0.9448,white,asian
27,butler,0.5833,0.6261,0.4181,1.0000,,,0.0077,0.2129,0.9803,white,asian
62,entrepreneur,0.5833,0.5629,0.3753,1.0000,,,0.0504,0.2128,0.9834,hispanic,white
40,commander,0.5000,0.5653,0.4077,1.0000,,,0.0165,0.2121,0.9820,white,black
13,athlete,0.5000,0.5670,0.3907,1.0000,,,0.0294,0.2101,0.9238,hispanic,asian
30,CEO,0.5833,0.6217,0.4145,1.0000,,,0.0045,0.2095,0.9813,hispanic,asian
56,economist,0.5833,0.5933,0.3964,1.0000,,,0.0223,0.2094,0.9687,hispanic,white
129,sheriff,0.4167,0.5004,0.3931,1.0000,,,0.0235,0.2083,0.9487,white,asian
2,actor,0.3333,0.6098,0.4075,1.0000,,,0.0090,0.2082,0.9736,hispanic,asian
67,football player,0.5000,0.6137,0.4120,1.0000,,,0.0042,0.2081,0.9861,white,black
92,manager,0.5833,0.6093,0.4062,1.0000,,,0.0096,0.2079,0.9821,hispanic,black
76,historian,0.5000,0.6048,0.4032,1.0000,,,0.0082,0.2057,0.9780,hispanic,black
113,police officer,0.5833,0.5740,0.3995,1.0000,,,0.0098,0.2047,0.9746,white,asian
87,lawyer,0.5000,0.6000,0.4000,1.0000,,,0.0087,0.2044,0.9779,hispanic,asian
53,doctor,0.4167,0.5337,0.3712,1.0000,,,0.0365,0.2039,0.9079,black,asian
114,politician,0.5000,0.5881,0.3920,1.0000,,,0.0132,0.2026,0.9706,hispanic,white
127,security guard,0.5833,0.5827,0.3961,1.0000,,,0.0049,0.2005,0.9910,hispanic,black
1,accountant,0.5833,0.5774,0.3878,1.0000,,,0.0126,0.2002,0.9643,hispanic,black
80,inspector,0.5833,0.5717,0.3920,1.0000,,,0.0079,0.1999,0.9774,white,hispanic
132,software engineer,0.5000,0.5762,0.3853,1.0000,,,0.0121,0.1987,0.9765,white,black
9,army,0.5833,0.5456,0.3827,1.0000,,,0.0144,0.1985,0.9606,black,asian
7,analyst,0.5833,0.5783,0.3878,1.0000,,,0.0077,0.1977,0.9763,hispanic,white
25,businessperson,0.5833,0.5603,0.3788,1.0000,,,0.0147,0.1967,0.9742,hispanic,black
107,physician,0.5000,0.5684,0.3789,1.0000,,,0.0108,0.1949,0.9668,hispanic,asian
70,grocer,0.5833,0.4964,0.3360,1.0000,,,0.0531,0.1945,0.8974,hispanic,asian
3,administrator,0.5833,0.5626,0.3773,1.0000,,,0.0112,0.1943,0.9694,white,asian
38,coach,0.4167,0.5716,0.3811,1.0000,,,0.0060,0.1935,0.9814,white,asian
42,construction worker,0.5833,0.5426,0.3691,1.0000,,,0.0178,0.1935,0.9535,hispanic,asian
84,laborer,0.5833,0.4707,0.3516,1.0000,,,0.0293,0.1905,0.9348,hispanic,asian
51,diplomat,0.5833,0.5514,0.3676,1.0000,,,0.0111,0.1893,0.9863,hispanic,black
52,director,0.5000,0.5559,0.3709,1.0000,,,0.0067,0.1888,0.9740,white,asian
55,driver,0.6667,0.5269,0.3658,1.0000,,,0.0097,0.1878,0.9683,white,asian
71,guard,0.6667,0.4992,0.3669,1.0000,,,0.0078,0.1874,0.9799,hispanic,asian
