,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std,asian-nn,race-nn_max,race-nn_min
15,colorful,0.6667,0.2184,0.2527,0.8750,,,0.3323,0.2925,0.9724,hispanic,black
64,masculine,0.7500,0.2823,0.2783,1.0000,,,0.1679,0.2231,0.6789,white,asian
11,careless,0.5833,0.3963,0.3474,1.0000,,,0.0327,0.1901,0.9297,white,asian
54,impoverish,0.5000,0.3212,0.3302,1.0000,,,0.0498,0.1900,0.9052,white,asian
53,impossible,0.4167,0.2443,0.3201,1.0000,,,0.0482,0.1841,0.9034,white,asian
30,feminine,0.6667,-0.2513,0.2711,1.0000,,,0.0756,0.1733,0.8365,white,asian
73,poor,0.6667,0.3258,0.2946,1.0000,,,0.0328,0.1637,0.9338,black,asian
12,cautious,0.6667,0.3043,0.3064,1.0000,,,0.0157,0.1610,0.9691,white,asian
63,manly,0.7500,0.3443,0.2840,1.0000,,,0.0315,0.1578,0.9379,black,asian
41,greedy,0.6667,0.2725,0.2875,1.0000,,,0.0273,0.1574,0.9413,white,asian
57,irresponsible,0.7500,0.3441,0.2868,1.0000,,,0.0265,0.1567,0.9520,white,asian
60,loud,0.5833,0.2667,0.2920,1.0000,,,0.0180,0.1550,0.9584,white,asian
92,social,0.6667,0.0961,0.2368,1.0000,,,0.0706,0.1537,0.8638,white,asian
76,quick,0.6667,0.2850,0.2876,1.0000,,,0.0128,0.1502,0.9725,white,asian
36,free,0.6667,0.2244,0.2442,1.0000,,,0.0554,0.1498,0.8923,white,asian
65,muscular,0.8333,0.3413,0.2707,1.0000,,,0.0287,0.1497,0.9352,white,asian
81,rich,0.7500,0.2953,0.2758,1.0000,,,0.0221,0.1490,0.9496,white,asian
21,dangerous,0.7500,0.3473,0.2829,1.0000,,,0.0134,0.1481,0.9736,white,asian
111,violent,0.7500,0.2722,0.2621,1.0000,,,0.0330,0.1475,0.9341,black,asian
115,welcome,0.6667,0.2175,0.2803,1.0000,,,0.0122,0.1462,0.9722,white,asian
29,fat,0.7500,0.1831,0.2139,1.0000,,,0.0762,0.1450,0.8392,white,asian
10,careful,0.6667,0.2573,0.2728,1.0000,,,0.0173,0.1450,0.9621,white,asian
83,rowdy,0.5833,0.2616,0.2663,1.0000,,,0.0217,0.1440,0.9522,black,asian
95,studious,0.7500,0.3464,0.2645,1.0000,,,0.0228,0.1436,0.9525,white,asian
22,defiant,0.6667,0.2464,0.2722,1.0000,,,0.0133,0.1427,0.9698,black,asian
59,lazy,0.6667,0.2296,0.2555,1.0000,,,0.0296,0.1426,0.9396,white,asian
34,flamboyant,0.6667,0.2621,0.2726,1.0000,,,0.0116,0.1421,0.9693,white,asian
13,clean,0.6667,0.2575,0.2566,1.0000,,,0.0274,0.1420,0.9558,white,asian
103,timid,0.6667,0.2157,0.2692,1.0000,,,0.0142,0.1417,0.9680,white,asian
52,important,0.6667,0.2106,0.2717,1.0000,,,0.0094,0.1406,0.9792,white,asian
87,skinny,0.6667,0.2047,0.2635,1.0000,,,0.0167,0.1401,0.9456,black,asian
79,respected,0.7500,0.2583,0.2570,1.0000,,,0.0226,0.1398,0.9535,white,asian
47,homeless,0.6667,0.2624,0.2549,1.0000,,,0.0243,0.1396,0.9502,black,asian
18,confrontational,0.6667,0.2087,0.2512,1.0000,,,0.0273,0.1393,0.9456,black,asian
113,wealthy,0.6667,0.3021,0.2633,1.0000,,,0.0147,0.1390,0.9655,white,asian
31,filthy,0.6667,0.2799,0.2598,1.0000,,,0.0175,0.1386,0.9602,black,asian
107,uncare,0.7500,0.1918,0.2131,1.0000,,,0.0628,0.1379,0.8798,white,asian
55,industrious,0.7500,0.2936,0.2512,1.0000,,,0.0240,0.1376,0.9510,white,asian
58,late,0.6667,0.2313,0.2635,1.0000,,,0.0103,0.1369,0.9753,white,asian
112,weak,0.6667,0.2718,0.2573,1.0000,,,0.0159,0.1366,0.9659,white,asian
45,harsh,0.6667,0.3001,0.2617,1.0000,,,0.0114,0.1365,0.9714,white,asian
23,desperate,0.6667,0.3014,0.2580,1.0000,,,0.0150,0.1365,0.9739,white,hispanic
102,thin,0.7500,0.1833,0.2506,1.0000,,,0.0206,0.1356,0.9467,white,asian
77,quiet,0.6667,0.2015,0.2641,1.0000,,,0.0067,0.1354,0.9822,white,asian
108,uneducated,0.6667,0.2589,0.2599,1.0000,,,0.0106,0.1353,0.9763,black,asian
48,hopeless,0.6667,0.2026,0.2264,1.0000,,,0.0441,0.1352,0.9134,white,asian
50,ignorant,0.6667,0.2910,0.2563,1.0000,,,0.0116,0.1340,0.9737,black,asian
9,capable,0.7500,0.2678,0.2440,1.0000,,,0.0239,0.1340,0.9526,white,asian
72,polite,0.6667,0.1728,0.2366,1.0000,,,0.0305,0.1336,0.9362,white,asian
17,complex,0.6667,0.1989,0.2338,1.0000,,,0.0327,0.1332,0.9272,white,asian
100,talkative,0.6667,0.2013,0.2539,1.0000,,,0.0111,0.1325,0.9736,white,asian
67,naive,0.7500,0.2692,0.2412,1.0000,,,0.0195,0.1303,0.9575,white,asian
24,dirty,0.7500,0.2649,0.2447,1.0000,,,0.0150,0.1298,0.9651,white,asian
27,emotional,0.7500,0.0775,0.2178,1.0000,,,0.0414,0.1296,0.9162,white,asian
110,uptight,0.6667,0.2690,0.2434,1.0000,,,0.0152,0.1293,0.9655,black,asian
0,angry,0.6667,0.2413,0.2443,1.0000,,,0.0143,0.1293,0.9680,black,asian
7,burly,0.7500,0.2703,0.2467,1.0000,,,0.0111,0.1289,0.9711,black,asian
61,luxurious,0.6667,0.2041,0.2430,1.0000,,,0.0145,0.1287,0.9713,white,hispanic
91,sneaky,0.6667,0.2709,0.2519,1.0000,,,0.0056,0.1287,0.9818,white,asian
68,nervous,0.6667,0.2007,0.2445,1.0000,,,0.0128,0.1286,0.9701,white,asian
86,silent,0.7500,0.1371,0.2464,1.0000,,,0.0093,0.1279,0.9752,white,asian
97,successful,0.7500,0.2067,0.2275,1.0000,,,0.0266,0.1270,0.9467,white,asian
99,suspicious,0.7500,0.2533,0.2425,1.0000,,,0.0109,0.1267,0.9745,white,asian
37,friendly,0.6667,0.2108,0.2481,1.0000,,,0.0052,0.1266,0.9843,white,asian
80,retarded,0.8333,0.1993,0.2007,1.0000,,,0.0520,0.1263,0.8978,black,asian
85,sad,0.7500,0.1934,0.2332,1.0000,,,0.0190,0.1261,0.9565,white,asian
43,handsome,0.8333,0.2931,0.2287,1.0000,,,0.0229,0.1258,0.9737,white,black
25,dishonest,0.8333,0.3073,0.2367,1.0000,,,0.0134,0.1251,0.9725,white,asian
71,odd,0.8333,0.2365,0.2384,1.0000,,,0.0103,0.1244,0.9713,black,asian
93,strange,0.6667,0.2220,0.2405,1.0000,,,0.0076,0.1240,0.9757,white,asian
75,proud,0.8333,0.2390,0.2348,1.0000,,,0.0113,0.1230,0.9733,white,asian
19,crafty,0.7500,0.2131,0.2325,1.0000,,,0.0130,0.1227,0.9723,white,asian
74,powerful,0.8333,0.2220,0.2301,1.0000,,,0.0142,0.1221,0.9720,white,asian
16,comfortable,0.6667,0.1584,0.2150,1.0000,,,0.0245,0.1198,0.9484,white,asian
104,tough,0.8333,0.2814,0.2322,1.0000,,,0.0069,0.1196,0.9826,white,asian
66,naggy,0.7500,0.2006,0.2036,1.0000,,,0.0351,0.1194,0.9209,black,asian
39,gifted,0.7500,0.1869,0.2259,1.0000,,,0.0111,0.1185,0.9717,white,asian
35,fragile,0.6667,0.0623,0.2157,1.0000,,,0.0199,0.1178,0.9538,white,asian
26,dumb,0.8333,0.2546,0.2133,1.0000,,,0.0191,0.1162,0.9604,black,asian
62,mad,0.8333,0.2512,0.2223,1.0000,,,0.0101,0.1162,0.9752,white,asian
70,normal,0.8333,0.1311,0.1845,1.0000,,,0.0474,0.1160,0.9375,white,hispanic
78,ready,0.8333,0.1952,0.2137,1.0000,,,0.0176,0.1156,0.9637,white,asian
51,immature,0.8333,0.1749,0.2073,1.0000,,,0.0212,0.1143,0.9557,white,asian
28,excited,0.7500,0.1799,0.2154,1.0000,,,0.0130,0.1142,0.9697,white,asian
90,smelly,0.7500,0.1979,0.2151,1.0000,,,0.0121,0.1136,0.9697,black,asian
101,terrible,0.8333,0.2532,0.2095,1.0000,,,0.0161,0.1128,0.9631,black,asian
40,good,0.8333,0.2215,0.2024,1.0000,,,0.0232,0.1128,0.9524,white,asian
105,trustworthy,0.7500,0.2372,0.2115,1.0000,,,0.0137,0.1126,0.9702,white,asian
94,strong,0.7500,0.1992,0.2138,1.0000,,,0.0109,0.1123,0.9760,white,asian
8,callous,0.8333,0.2502,0.2091,1.0000,,,0.0131,0.1111,0.9694,black,asian
38,gentle,0.7500,0.1431,0.2094,1.0000,,,0.0125,0.1109,0.9699,white,asian
96,stupid,0.8333,0.2457,0.2017,1.0000,,,0.0177,0.1097,0.9623,white,asian
33,fit,0.7500,0.1347,0.1719,1.0000,,,0.0445,0.1082,0.9105,white,asian
42,gross,0.8333,0.0935,0.1738,1.0000,,,0.0423,0.1081,0.9155,white,asian
88,slim,0.7500,0.1948,0.1989,1.0000,,,0.0156,0.1072,0.9637,white,black
4,bad,0.8333,0.2394,0.2007,1.0000,,,0.0134,0.1071,0.9700,white,asian
84,rude,0.7500,0.1686,0.1882,1.0000,,,0.0258,0.1070,0.9450,white,asian
46,healthy,0.7500,0.1147,0.1799,1.0000,,,0.0339,0.1069,0.9349,white,asian
109,upset,0.7500,0.1721,0.2033,1.0000,,,0.0091,0.1062,0.9782,white,asian
44,happy,0.7500,0.1780,0.1927,1.0000,,,0.0169,0.1048,0.9617,white,asian
14,clever,0.8333,0.2374,0.1959,1.0000,,,0.0116,0.1037,0.9728,white,asian
6,brave,0.7500,0.1669,0.1898,1.0000,,,0.0087,0.0992,0.9775,white,asian
98,supportive,0.8333,0.0745,0.1871,1.0000,,,0.0065,0.0968,0.9828,white,asian
3,awful,0.8333,0.1961,0.1767,1.0000,,,0.0146,0.0957,0.9660,black,asian
114,weird,0.9167,0.1668,0.1813,1.0000,,,0.0073,0.0943,0.9758,black,asian
106,ugly,0.8333,0.1440,0.1672,1.0000,,,0.0211,0.0942,0.9531,black,asian
69,nice,0.8333,0.0879,0.1686,1.0000,,,0.0195,0.0941,0.9555,white,asian
2,attractive,0.8333,0.0457,0.1675,1.0000,,,0.0197,0.0936,0.9589,white,asian
5,beautiful,0.8333,-0.0029,0.1366,1.0000,,,0.0492,0.0929,0.9608,white,black
20,crazy,0.8333,0.2191,0.1774,1.0000,,,0.0081,0.0928,0.9769,white,asian
32,fine,0.8333,0.1321,0.1616,1.0000,,,0.0167,0.0892,0.9674,white,asian
89,smart,0.8333,0.1792,0.1606,1.0000,,,0.0125,0.0866,0.9766,white,hispanic
1,annoying,0.8333,0.1023,0.1619,1.0000,,,0.0078,0.0849,0.9791,white,asian
49,horrible,0.8333,0.1743,0.1569,1.0000,,,0.0123,0.0846,0.9705,black,asian
56,intelligent,0.9167,0.1356,0.1380,1.0000,,,0.0202,0.0791,0.9585,white,asian
82,right,0.9167,0.1590,0.1518,1.0000,,,0.0063,0.0790,0.9845,black,asian
