,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std,asian-nn,race-nn_max,race-nn_min
58,electrician,0.6667,0.4137,0.3256,1.0000,,,0.2602,0.2929,0.5299,white,asian
140,theologian,0.6667,0.3726,0.3097,1.0000,,,0.2348,0.2723,0.5742,white,asian
115,postman,0.5000,0.5871,0.4316,1.0000,,,0.0641,0.2479,0.8770,black,asian
28,carpenter,0.3333,0.5617,0.4283,1.0000,,,0.0577,0.2430,0.8867,white,asian
66,fireman,0.5000,0.5677,0.4183,1.0000,,,0.0393,0.2288,0.9201,white,asian
75,handyman,0.5000,0.5288,0.3928,1.0000,,,0.0499,0.2214,0.9021,white,asian
111,plumber,0.5833,0.4794,0.3344,1.0000,,,0.1028,0.2186,0.8081,white,asian
9,army,0.5833,0.2874,0.3051,1.0000,,,0.1306,0.2178,0.8033,white,hispanic
93,mathematician,0.5000,0.3341,0.3156,1.0000,,,0.1179,0.2167,0.8246,white,hispanic
86,lawn mower,0.4167,0.4087,0.3166,1.0000,,,0.1164,0.2165,0.7660,white,asian
129,sheriff,0.5833,0.4894,0.3751,1.0000,,,0.0530,0.2141,0.8988,white,asian
54,drawer,0.4167,0.2445,0.3186,1.0000,,,0.1057,0.2121,0.7842,white,asian
47,delivery,0.5833,0.2277,0.2938,1.0000,,,0.1261,0.2099,0.7499,white,asian
6,airman,0.5833,0.4622,0.3308,1.0000,,,0.0884,0.2096,0.8331,white,asian
24,builder,0.5833,0.3564,0.3383,1.0000,,,0.0770,0.2077,0.8453,white,asian
67,football player,0.5000,0.4804,0.3511,1.0000,,,0.0585,0.2048,0.8865,white,asian
40,commander,0.6667,0.4463,0.3769,1.0000,,,0.0322,0.2045,0.9443,white,asian
108,physicist,0.7500,0.3693,0.2993,1.0000,,,0.1067,0.2030,0.7835,white,asian
60,employment,0.6667,0.1894,0.2658,1.0000,,,0.1398,0.2028,0.7358,white,asian
48,dentist,0.5000,0.4554,0.3291,1.0000,,,0.0756,0.2023,0.8532,white,asian
35,civil,0.6667,0.2286,0.2574,1.0000,,,0.1452,0.2013,0.7905,white,hispanic
