,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std,asian-nn,race-nn_max,race-nn_min
63,manly,0.5000,0.7757,0.5171,1.0000,,,0.0002,0.2587,0.9981,asian,white
64,masculine,0.6667,0.5066,0.4016,1.0000,,,0.0009,0.2013,0.9972,asian,black
30,feminine,0.5000,-0.3781,0.3589,1.0000,,,0.0014,0.1802,0.9977,asian,white
7,burly,0.5833,0.4028,0.3428,1.0000,,,0.0003,0.1715,0.9984,black,hispanic
43,handsome,0.5833,0.3131,0.3248,1.0000,,,0.0008,0.1628,0.9985,asian,white
111,violent,0.5833,0.2896,0.3191,1.0000,,,0.0002,0.1597,0.9984,black,asian
21,dangerous,0.5833,0.2160,0.3119,1.0000,,,0.0002,0.1560,0.9987,black,asian
5,beautiful,0.5000,-0.2579,0.3095,1.0000,,,0.0012,0.1553,0.9986,asian,black
53,impossible,0.5833,0.1804,0.3096,1.0000,,,0.0003,0.1550,0.9979,black,asian
85,sad,0.5833,-0.1375,0.3041,1.0000,,,0.0003,0.1522,0.9985,black,white
97,successful,0.5833,0.2277,0.3020,1.0000,,,0.0004,0.1512,0.9983,white,hispanic
48,hopeless,0.5833,0.1673,0.3021,1.0000,,,0.0003,0.1512,0.9981,black,asian
22,defiant,0.5833,0.1789,0.3012,1.0000,,,0.0003,0.1508,0.9982,black,white
54,impoverish,0.5833,0.1718,0.3011,1.0000,,,0.0003,0.1507,0.9984,black,hispanic
55,industrious,0.5833,0.2232,0.3007,1.0000,,,0.0004,0.1506,0.9982,asian,white
23,desperate,0.5833,0.1622,0.2984,1.0000,,,0.0004,0.1494,0.9985,black,hispanic
36,free,0.5000,0.2839,0.2982,1.0000,,,0.0002,0.1492,0.9981,hispanic,black
104,tough,0.5833,0.2139,0.2981,1.0000,,,0.0002,0.1491,0.9984,black,asian
10,careful,0.5833,0.1996,0.2972,1.0000,,,0.0002,0.1487,0.9981,hispanic,black
44,happy,0.5833,-0.0077,0.2958,1.0000,,,0.0004,0.1481,0.9981,asian,black
9,capable,0.5833,0.2651,0.2960,1.0000,,,0.0001,0.1481,0.9986,black,asian
78,ready,0.5833,0.2303,0.2958,1.0000,,,0.0002,0.1480,0.9986,black,hispanic
81,rich,0.5833,0.2371,0.2948,1.0000,,,0.0004,0.1476,0.9982,white,black
61,luxurious,0.5833,0.1596,0.2936,1.0000,,,0.0008,0.1472,0.9983,asian,white
28,excited,0.5833,-0.0912,0.2935,1.0000,,,0.0003,0.1469,0.9983,black,white
12,cautious,0.5833,0.1602,0.2916,1.0000,,,0.0002,0.1459,0.9982,black,asian
108,uneducated,0.6667,0.0963,0.2894,1.0000,,,0.0004,0.1449,0.9980,white,hispanic
57,irresponsible,0.5833,0.2342,0.2890,1.0000,,,0.0004,0.1447,0.9981,white,asian
73,poor,0.6667,0.1601,0.2890,1.0000,,,0.0003,0.1446,0.9983,black,asian
76,quick,0.5833,0.1708,0.2879,1.0000,,,0.0003,0.1441,0.9984,white,hispanic
27,emotional,0.5833,-0.1006,0.2849,1.0000,,,0.0004,0.1427,0.9978,black,white
95,studious,0.5833,0.1769,0.2844,1.0000,,,0.0003,0.1423,0.9983,asian,black
47,homeless,0.6667,0.0818,0.2842,1.0000,,,0.0005,0.1423,0.9980,black,asian
107,uncare,0.6667,0.1028,0.2838,1.0000,,,0.0003,0.1420,0.9980,black,asian
41,greedy,0.5833,0.1513,0.2825,1.0000,,,0.0003,0.1414,0.9981,white,asian
109,upset,0.6667,-0.0426,0.2822,1.0000,,,0.0002,0.1412,0.9984,black,white
16,comfortable,0.5833,-0.0571,0.2816,1.0000,,,0.0004,0.1410,0.9984,asian,white
68,nervous,0.6667,-0.0144,0.2815,1.0000,,,0.0003,0.1409,0.9984,black,hispanic
74,powerful,0.5833,0.1819,0.2812,1.0000,,,0.0002,0.1407,0.9985,black,white
