,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std,asian-nn,race-nn_max,race-nn_min
77,hostess,0.2500,-0.4318,0.5395,1.0000,,,0.0004,0.2700,0.9982,black,white
75,handyman,0.5000,0.6164,0.4514,1.0000,,,0.0003,0.2259,0.9983,asian,black
66,fireman,0.5000,0.4587,0.4023,1.0000,,,0.0004,0.2013,0.9975,hispanic,black
22,boxer,0.5000,0.4618,0.3890,1.0000,,,0.0004,0.1947,0.9981,hispanic,white
129,sheriff,0.5000,0.4944,0.3858,1.0000,,,0.0009,0.1933,0.9964,hispanic,asian
27,butler,0.5833,0.5026,0.3839,1.0000,,,0.0005,0.1922,0.9980,hispanic,white
26,butcher,0.5000,0.4488,0.3810,1.0000,,,0.0005,0.1908,0.9980,hispanic,black
111,plumber,0.6667,0.4682,0.3794,1.0000,,,0.0014,0.1904,0.9978,asian,white
133,soldier,0.5000,0.4373,0.3753,1.0000,,,0.0003,0.1878,0.9982,black,white
67,football player,0.5000,0.4088,0.3736,1.0000,,,0.0003,0.1869,0.9978,black,asian
72,guitarist,0.5000,0.4195,0.3716,1.0000,,,0.0006,0.1861,0.9979,hispanic,white
80,inspector,0.5000,0.3934,0.3706,1.0000,,,0.0003,0.1855,0.9981,white,asian
115,postman,0.7500,0.4587,0.3654,1.0000,,,0.0008,0.1831,0.9966,white,asian
50,detective,0.5000,0.3932,0.3638,1.0000,,,0.0004,0.1821,0.9976,black,asian
4,aeronautical engineer,0.5000,0.3647,0.3628,1.0000,,,0.0005,0.1817,0.9972,white,asian
110,pilot,0.5000,0.3899,0.3626,1.0000,,,0.0004,0.1815,0.9983,white,black
113,police officer,0.5000,0.3951,0.3613,1.0000,,,0.0005,0.1809,0.9977,white,asian
94,mechanic,0.5000,0.3785,0.3607,1.0000,,,0.0003,0.1805,0.9980,white,asian
65,firefighter,0.5000,0.3732,0.3602,1.0000,,,0.0004,0.1803,0.9979,white,black
137,tailor,0.5000,0.3897,0.3578,1.0000,,,0.0009,0.1794,0.9979,asian,white
38,coach,0.5000,0.3853,0.3553,1.0000,,,0.0003,0.1778,0.9983,black,white
34,chief,0.5000,0.4074,0.3534,1.0000,,,0.0005,0.1770,0.9976,black,white
58,electrician,0.5000,0.3439,0.3529,1.0000,,,0.0007,0.1768,0.9970,white,asian
28,carpenter,0.5000,0.3886,0.3518,1.0000,,,0.0004,0.1761,0.9978,black,white
127,security guard,0.5000,0.3457,0.3478,1.0000,,,0.0003,0.1740,0.9981,black,asian
89,lifeguard,0.5000,0.3373,0.3476,1.0000,,,0.0003,0.1740,0.9982,hispanic,black
120,radiologist,0.5000,0.3495,0.3471,1.0000,,,0.0006,0.1739,0.9973,white,black
6,airman,0.5000,0.3434,0.3468,1.0000,,,0.0004,0.1736,0.9977,white,black
141,umpire,0.5000,0.3891,0.3457,1.0000,,,0.0004,0.1731,0.9977,white,asian
61,engineer,0.5000,0.3551,0.3456,1.0000,,,0.0004,0.1730,0.9980,white,black
76,historian,0.5000,0.3551,0.3444,1.0000,,,0.0005,0.1724,0.9969,black,asian
78,housekeeper,0.5833,-0.2349,0.3442,1.0000,,,0.0005,0.1723,0.9984,hispanic,white
91,magician,0.5000,0.3496,0.3425,1.0000,,,0.0019,0.1722,0.9975,hispanic,white
55,driver,0.5000,0.3466,0.3425,1.0000,,,0.0004,0.1714,0.9983,black,hispanic
71,guard,0.5000,0.3904,0.3425,1.0000,,,0.0004,0.1714,0.9982,black,white
109,pianist,0.5000,0.3101,0.3418,1.0000,,,0.0005,0.1711,0.9976,white,asian
69,gambler,0.5833,0.2790,0.3416,1.0000,,,0.0003,0.1710,0.9980,black,hispanic
82,journalist,0.5000,0.3270,0.3410,1.0000,,,0.0004,0.1707,0.9977,black,asian
86,lawn mower,0.5000,0.3439,0.3389,1.0000,,,0.0024,0.1707,0.9927,white,asian
118,prosecutor,0.5000,0.3109,0.3400,1.0000,,,0.0005,0.1702,0.9976,black,asian
18,baker,0.5000,0.3197,0.3395,1.0000,,,0.0004,0.1700,0.9982,white,black
122,receptionist,0.5000,-0.2737,0.3394,1.0000,,,0.0003,0.1698,0.9984,white,hispanic
13,athlete,0.5000,0.2941,0.3392,1.0000,,,0.0003,0.1697,0.9979,black,asian
135,surgeon,0.5000,0.3415,0.3384,1.0000,,,0.0004,0.1694,0.9980,white,black
