,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std,asian-nn,race-nn_max,race-nn_min
34,flamboyant,0.7206,0.0497,0.1013,0.8750,,,0.3035,0.2024,0.6809,white,hispanic
83,rowdy,0.5882,-0.0005,0.0876,0.8750,,,0.2486,0.1681,0.6839,black,hispanic
64,masculine,0.4779,-0.0954,0.1177,1.0000,,,0.1887,0.1532,0.6507,black,asian
70,normal,0.4044,0.0200,0.1046,0.8750,,,0.2006,0.1526,0.7911,black,hispanic
30,feminine,0.2941,-0.1404,0.1199,0.8750,,,0.1839,0.1519,0.7343,black,hispanic
88,slim,0.5882,-0.0433,0.0920,1.0000,,,0.2115,0.1518,0.6392,black,asian
58,late,0.5882,-0.0317,0.1013,0.8750,,,0.1846,0.1430,0.7669,white,hispanic
29,fat,0.6250,-0.0798,0.0942,1.0000,,,0.1728,0.1335,0.8325,black,hispanic
7,burly,0.8088,0.0243,0.0828,1.0000,,,0.1811,0.1319,0.7604,black,hispanic
66,naggy,0.6471,0.0114,0.0970,1.0000,,,0.1659,0.1314,0.6917,black,asian
8,callous,0.8676,0.0098,0.0655,1.0000,,,0.1925,0.1290,0.9521,white,hispanic
110,uptight,0.6103,0.0162,0.1091,1.0000,,,0.1327,0.1209,0.9431,black,hispanic
95,studious,0.7794,0.0091,0.0774,1.0000,,,0.1517,0.1145,0.8920,black,hispanic
82,right,0.5221,-0.0407,0.0800,1.0000,,,0.1402,0.1101,0.8670,white,hispanic
71,odd,0.9412,0.0464,0.0704,1.0000,,,0.1436,0.1070,0.8101,white,hispanic
108,uneducated,0.8897,0.0345,0.0710,1.0000,,,0.1429,0.1070,0.8633,black,hispanic
63,manly,0.9191,0.0599,0.0858,1.0000,,,0.1236,0.1047,0.8571,black,hispanic
54,impoverish,0.8015,0.0291,0.0798,1.0000,,,0.1290,0.1044,0.7364,black,asian
115,welcome,0.7721,0.0156,0.0940,1.0000,,,0.1134,0.1037,0.9476,white,hispanic
69,nice,0.9779,0.0114,0.0717,1.0000,,,0.1335,0.1026,0.9105,black,hispanic
65,muscular,0.9118,0.0079,0.0896,1.0000,,,0.1135,0.1016,0.8972,black,hispanic
31,filthy,0.8088,-0.0219,0.1020,1.0000,,,0.0955,0.0987,0.9387,white,hispanic
78,ready,0.4779,0.0098,0.0975,1.0000,,,0.0989,0.0982,0.9319,black,hispanic
114,weird,0.9191,0.0495,0.0771,1.0000,,,0.1192,0.0982,0.8214,white,hispanic
107,uncare,0.6618,-0.0105,0.1067,1.0000,,,0.0885,0.0976,0.9573,black,hispanic
39,gifted,0.8309,0.0390,0.0863,1.0000,,,0.1072,0.0967,0.7892,white,asian
51,immature,0.7647,0.0424,0.0824,1.0000,,,0.1082,0.0953,0.8698,white,hispanic
36,free,0.5515,-0.0210,0.1022,1.0000,,,0.0881,0.0951,0.8900,white,hispanic
42,gross,0.8529,0.0016,0.0918,1.0000,,,0.0927,0.0923,0.9169,black,hispanic
90,smelly,0.6324,0.0050,0.0928,1.0000,,,0.0914,0.0921,0.8593,black,hispanic
92,social,0.9191,0.0197,0.0813,1.0000,,,0.1015,0.0914,0.9330,white,hispanic
43,handsome,0.9412,0.0724,0.0958,1.0000,,,0.0862,0.0910,0.8775,white,hispanic
32,fine,0.8897,-0.0218,0.0636,1.0000,,,0.1100,0.0868,0.9081,black,hispanic
102,thin,0.6985,-0.0070,0.0977,1.0000,,,0.0723,0.0850,0.8688,black,asian
19,crafty,0.8897,-0.0132,0.0800,1.0000,,,0.0865,0.0833,0.9331,black,hispanic
