,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std,asian-nn,race-nn_max,race-nn_min
35,civil,0.6985,-0.0062,0.0794,0.8750,,,0.2872,0.1833,0.8770,asian,hispanic
65,firefighter,0.6618,0.0064,0.1011,0.8750,,,0.2448,0.1729,0.8890,black,hispanic
6,airman,0.6618,-0.0085,0.1022,0.8750,,,0.2232,0.1627,0.8359,black,hispanic
66,fireman,0.6250,-0.0141,0.1066,1.0000,,,0.1982,0.1524,0.8833,black,hispanic
101,opera singer,0.6618,0.0059,0.0761,1.0000,,,0.2270,0.1516,0.7211,white,hispanic
22,boxer,0.7647,0.0389,0.0907,1.0000,,,0.2103,0.1505,0.7188,white,hispanic
133,soldier,0.9118,0.0326,0.0890,1.0000,,,0.2075,0.1483,0.8430,black,hispanic
42,construction worker,0.7353,-0.0191,0.0893,1.0000,,,0.2016,0.1454,0.7507,black,hispanic
10,artist,0.7206,0.0249,0.0766,1.0000,,,0.2050,0.1408,0.7239,white,hispanic
102,painter,0.7794,0.0306,0.0803,1.0000,,,0.1981,0.1392,0.8462,white,hispanic
41,composer,0.7647,0.0515,0.0971,1.0000,,,0.1795,0.1383,0.7831,white,hispanic
90,linguist,0.8897,0.0048,0.0764,1.0000,,,0.1967,0.1366,0.7228,white,hispanic
70,grocer,0.5882,-0.0317,0.0854,1.0000,,,0.1868,0.1361,0.9202,white,hispanic
100,office worker,0.7206,-0.0059,0.0844,1.0000,,,0.1838,0.1341,0.7858,black,hispanic
15,attourney,0.5882,0.0194,0.1246,1.0000,,,0.1436,0.1341,0.8636,black,hispanic
113,police officer,0.7206,-0.0187,0.0907,1.0000,,,0.1734,0.1321,0.8404,black,hispanic
115,postman,0.6838,0.0063,0.0863,1.0000,,,0.1726,0.1294,0.8238,white,hispanic
76,historian,0.7574,-0.0204,0.0846,1.0000,,,0.1740,0.1293,0.8530,white,hispanic
5,agent,0.6838,-0.0163,0.0894,1.0000,,,0.1692,0.1293,0.9125,white,hispanic
104,performing artist,0.7426,0.0265,0.0940,1.0000,,,0.1639,0.1290,0.8651,white,hispanic
130,singer,0.8456,0.0156,0.0698,1.0000,,,0.1852,0.1275,0.7689,white,hispanic
129,sheriff,0.8309,0.0328,0.1132,1.0000,,,0.1375,0.1253,0.9042,white,hispanic
71,guard,0.7426,0.0021,0.1006,1.0000,,,0.1494,0.1250,0.9528,black,hispanic
9,army,0.7868,0.0070,0.0858,1.0000,,,0.1632,0.1245,0.8472,black,hispanic
24,builder,0.8088,0.0382,0.1028,1.0000,,,0.1431,0.1229,0.9108,white,hispanic
2,actor,0.8676,0.0806,0.0936,1.0000,,,0.1521,0.1229,0.8371,white,hispanic
51,diplomat,0.9338,0.0345,0.0788,1.0000,,,0.1643,0.1215,0.8377,white,hispanic
98,musician,0.8529,0.0477,0.0890,1.0000,,,0.1479,0.1185,0.8545,white,hispanic
8,architect,0.8088,0.0567,0.0852,1.0000,,,0.1500,0.1176,0.8551,white,hispanic
13,athlete,0.8088,0.0465,0.1007,1.0000,,,0.1336,0.1172,0.8348,white,hispanic
127,security guard,0.6838,-0.0282,0.0972,1.0000,,,0.1351,0.1162,0.8848,black,hispanic
84,laborer,0.7574,0.0002,0.0952,1.0000,,,0.1371,0.1161,0.9424,black,hispanic
27,butler,0.8309,0.0184,0.0900,1.0000,,,0.1413,0.1157,0.8928,white,hispanic
39,comedian,0.7206,0.0221,0.0808,1.0000,,,0.1503,0.1156,0.8548,white,hispanic
105,pharmacist,0.5882,-0.0375,0.0938,1.0000,,,0.1364,0.1151,0.8286,white,hispanic
4,aeronautical engineer,0.9118,0.0338,0.0730,1.0000,,,0.1555,0.1143,0.7528,white,hispanic
