,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std
0,angry,0.0000,0.0172,0.0272,1.0000,white,asian,0.0829
1,annoying,0.6607,0.0192,0.0386,1.0000,hispanic,white,0.0523
2,attractive,0.5000,0.0010,0.0401,1.0000,asian,black,0.1159
3,awful,0.4167,0.0171,0.0448,1.0000,asian,black,0.0661
4,bad,0.6029,0.0237,0.0451,1.0000,white,black,0.0810
5,beautiful,0.2941,-0.0111,0.0345,1.0000,asian,black,0.0997
6,brave,0.6071,-0.0106,0.0445,0.7500,hispanic,black,0.0837
7,burly,0.0000,0.0403,0.0391,1.0000,hispanic,black,0.0637
8,callous,0.1406,0.0368,0.0402,1.0000,black,asian,0.0945
9,capable,0.7875,-0.0031,0.0375,1.0000,white,hispanic,0.0589
10,careful,0.5139,0.0614,0.0516,1.0000,asian,hispanic,0.0448
11,careless,0.7333,0.0151,0.0459,1.0000,black,asian,0.1240
12,cautious,0.5000,0.0607,0.0561,1.0000,white,hispanic,0.0778
13,clean,0.9062,-0.0241,0.0374,1.0000,white,black,0.0995
14,clever,0.7692,0.0311,0.0410,1.0000,asian,hispanic,0.0462
15,colorful,0.0294,0.0145,0.0337,1.0000,white,black,0.0920
16,comfortable,0.5781,0.0069,0.0326,1.0000,asian,black,0.0825
17,complex,0.1944,0.0076,0.0419,1.0000,white,hispanic,0.0672
18,confrontational,0.2143,0.0004,0.0368,0.8750,black,hispanic,0.1051
19,crafty,0.4219,0.0359,0.0386,0.8750,asian,black,0.0724
20,crazy,0.4583,0.0149,0.0364,1.0000,hispanic,black,0.0827
21,dangerous,0.7000,-0.0075,0.0525,1.0000,asian,black,0.0421
22,defiant,0.7647,-0.0180,0.0412,1.0000,white,asian,0.0869
23,desperate,0.5000,0.0027,0.0350,1.0000,black,asian,0.0542
24,dirty,0.1447,0.0162,0.0383,1.0000,hispanic,black,0.0488
25,dishonest,0.6196,0.0159,0.0409,1.0000,black,white,0.1245
26,dumb,0.5735,0.0124,0.0396,1.0000,black,asian,0.0703
27,emotional,0.2667,0.0013,0.0560,1.0000,white,asian,0.0875
