,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
31,chef,0.0000,0.0564,0.0593,0.2500,asian,black,0.1852,0.1222
75,handyman,0.0000,-0.0023,0.0427,0.7500,asian,white,0.1925,0.1176
72,guitarist,0.1786,0.0330,0.0495,0.5000,asian,white,0.1730,0.1113
99,nurse,0.0000,-0.0232,0.0489,0.5000,asian,black,0.1664,0.1076
48,dentist,0.0000,0.0293,0.0440,0.5000,asian,black,0.1704,0.1072
21,bartender,0.0455,0.0239,0.0374,0.5000,hispanic,black,0.1735,0.1054
28,carpenter,0.2321,0.0349,0.0522,0.6250,hispanic,black,0.1573,0.1047
14,attendant,0.0682,0.0178,0.0317,0.7500,asian,black,0.1765,0.1041
26,butcher,0.0156,0.0378,0.0506,0.6250,hispanic,black,0.1572,0.1039
101,opera singer,0.0000,0.0088,0.0458,0.5000,asian,white,0.1580,0.1019
39,comedian,0.0357,0.0236,0.0470,0.5000,hispanic,white,0.1537,0.1004
54,drawer,0.0000,0.0387,0.0390,1.0000,asian,black,0.1600,0.0995
137,tailor,0.2647,0.0405,0.0546,0.7500,asian,black,0.1427,0.0987
79,illustrator,0.0000,0.0524,0.0492,0.5000,asian,white,0.1472,0.0982
45,dancer,0.0000,0.0110,0.0450,0.5000,hispanic,black,0.1509,0.0979
110,pilot,0.0833,0.0412,0.0526,0.5000,asian,black,0.1417,0.0971
91,magician,0.1094,0.0075,0.0487,0.5000,asian,black,0.1445,0.0966
61,engineer,0.1406,0.0312,0.0477,0.5000,asian,white,0.1448,0.0963
64,farmer,0.0455,0.0461,0.0657,0.5000,asian,white,0.1248,0.0953
89,lifeguard,0.0333,0.0477,0.0388,0.8750,hispanic,black,0.1504,0.0946
132,software engineer,0.2333,0.0348,0.0556,0.7500,asian,white,0.1333,0.0944
57,editor,0.0625,0.0525,0.0506,0.3750,asian,white,0.1381,0.0944
4,aeronautical engineer,0.4167,0.0108,0.0507,0.6250,asian,white,0.1380,0.0943
49,designer,0.0000,0.0189,0.0359,0.6250,asian,black,0.1515,0.0937
16,auditor,0.1250,0.0477,0.0521,0.7500,asian,black,0.1347,0.0934
94,mechanic,0.2206,0.0353,0.0531,0.7500,asian,black,0.1334,0.0932
43,cook,0.0000,0.0114,0.0301,0.6250,hispanic,black,0.1558,0.0929
20,barber,0.1111,0.0144,0.0472,0.8750,hispanic,black,0.1386,0.0929
66,fireman,0.0000,0.0570,0.0519,0.3750,asian,white,0.1330,0.0924
22,boxer,0.0156,0.0225,0.0484,0.5000,asian,white,0.1363,0.0924
130,singer,0.0000,-0.0229,0.0454,0.5000,asian,white,0.1387,0.0920
98,musician,0.2083,0.0114,0.0537,0.5000,asian,white,0.1301,0.0919
37,clerk,0.0000,0.0242,0.0400,0.5000,asian,black,0.1431,0.0915
