,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std
0,angry,0.8846,0.0279,0.0559,1.0000,hispanic,black,0.0231
1,annoying,1.0000,-0.0118,0.0403,1.0000,hispanic,white,0.0109
2,attractive,1.0000,-0.0305,0.0576,1.0000,asian,white,0.0411
3,awful,0.9306,-0.0182,0.0633,1.0000,hispanic,white,0.0198
4,bad,0.8382,0.0056,0.0623,1.0000,hispanic,white,0.0132
5,beautiful,1.0000,-0.0355,0.0619,1.0000,hispanic,black,0.0560
6,brave,0.9107,-0.0035,0.0563,1.0000,hispanic,white,0.0673
7,burly,0.7885,0.0244,0.0823,1.0000,hispanic,black,0.1811
8,callous,0.8281,-0.0026,0.0575,1.0000,hispanic,white,0.1925
9,capable,0.8750,-0.0300,0.0617,1.0000,hispanic,white,0.0271
10,careful,0.7917,0.0309,0.0792,1.0000,hispanic,black,0.0318
11,careless,0.9500,0.0331,0.0706,1.0000,hispanic,black,0.0281
12,cautious,0.8235,0.0186,0.0848,1.0000,hispanic,black,0.0232
13,clean,0.5469,-0.0424,0.0907,1.0000,hispanic,black,0.0367
14,clever,0.9808,0.0068,0.0470,1.0000,hispanic,white,0.0206
15,colorful,0.9412,-0.0165,0.0807,1.0000,hispanic,black,0.0599
16,comfortable,0.9688,-0.0301,0.0558,1.0000,hispanic,black,0.0681
17,complex,0.9583,0.0141,0.0673,1.0000,hispanic,black,0.0736
18,confrontational,0.7143,-0.0255,0.0778,1.0000,hispanic,white,0.0275
19,crafty,0.9062,-0.0408,0.0778,1.0000,hispanic,black,0.0865
20,crazy,0.9167,0.0161,0.0669,1.0000,hispanic,white,0.0607
21,dangerous,0.9667,-0.0004,0.0610,1.0000,hispanic,white,0.0271
22,defiant,0.9412,-0.0250,0.0576,1.0000,hispanic,black,0.0329
23,desperate,0.8571,-0.0030,0.0579,1.0000,hispanic,white,0.0310
24,dirty,0.7763,0.0352,0.1060,1.0000,hispanic,black,0.0451
25,dishonest,0.8804,0.0088,0.0644,1.0000,hispanic,black,0.0413
26,dumb,0.8676,0.0299,0.0711,1.0000,hispanic,black,0.0682
27,emotional,0.8667,-0.0144,0.0932,1.0000,hispanic,white,0.0246
28,excited,0.9167,0.0010,0.0746,1.0000,hispanic,white,0.0486
29,fat,0.6667,-0.0795,0.0832,1.0000,hispanic,black,0.1728
30,feminine,0.3472,-0.1053,0.1005,0.8750,hispanic,black,0.1839
31,filthy,0.9062,-0.0642,0.0865,1.0000,hispanic,white,0.0955
32,fine,0.8846,-0.0446,0.0506,1.0000,hispanic,black,0.1100
33,fit,0.7794,0.0053,0.0722,1.0000,hispanic,black,0.0604
34,flamboyant,0.6739,0.0292,0.0900,0.8750,hispanic,white,0.3035
35,fragile,0.6471,0.0234,0.0667,1.0000,hispanic,white,0.0192
36,free,0.5694,-0.0672,0.0899,1.0000,hispanic,white,0.0881
37,friendly,1.0000,0.0094,0.0391,1.0000,hispanic,black,0.0683
38,gentle,0.9643,-0.0005,0.0564,1.0000,hispanic,white,0.0215
39,gifted,0.8611,0.0221,0.0663,1.0000,asian,white,0.1072
40,good,0.8929,-0.0097,0.0613,1.0000,hispanic,white,0.0658
41,greedy,0.9444,-0.0099,0.0555,1.0000,hispanic,white,0.0465
42,gross,0.8824,-0.0302,0.0967,1.0000,hispanic,white,0.0927
43,handsome,1.0000,0.0238,0.0743,1.0000,hispanic,white,0.0862
44,happy,0.9474,-0.0241,0.0596,1.0000,hispanic,black,0.0345
45,harsh,0.9306,0.0392,0.0558,1.0000,hispanic,white,0.0095
46,healthy,0.5588,-0.0941,0.1102,1.0000,hispanic,black,0.0453
47,homeless,0.8816,0.0240,0.0824,1.0000,hispanic,white,0.0239
48,hopeless,0.9091,0.0287,0.0682,1.0000,hispanic,white,0.0143
49,horrible,0.9107,-0.0145,0.0487,1.0000,hispanic,white,0.0118
50,ignorant,0.9868,0.0040,0.0527,1.0000,hispanic,white,0.0480
51,immature,0.8158,0.0470,0.0693,1.0000,hispanic,white,0.1082
52,important,0.9531,-0.0755,0.0772,1.0000,hispanic,white,0.0538
53,impossible,0.8088,-0.0083,0.0670,1.0000,hispanic,white,0.0472
54,impoverish,0.7885,0.0280,0.0634,1.0000,asian,black,0.1290
55,industrious,0.9118,0.0041,0.0568,1.0000,hispanic,white,0.0766
56,intelligent,1.0000,-0.0124,0.0453,1.0000,hispanic,white,0.0551
57,irresponsible,1.0000,-0.0125,0.0461,1.0000,hispanic,white,0.0110
58,late,0.5500,-0.0393,0.0972,0.8750,hispanic,white,0.1846
59,lazy,1.0000,-0.0057,0.0406,1.0000,hispanic,white,0.0136
60,loud,0.8906,0.0205,0.0763,1.0000,hispanic,white,0.0294
61,luxurious,0.8194,-0.0260,0.0566,1.0000,hispanic,black,0.0885
62,mad,0.9286,-0.0132,0.0563,1.0000,hispanic,black,0.0164
63,manly,1.0000,0.0188,0.0625,1.0000,hispanic,black,0.1236
64,masculine,0.4750,-0.1160,0.1035,1.0000,asian,black,0.1887
65,muscular,0.8971,-0.0146,0.0836,1.0000,hispanic,black,0.1135
66,naggy,0.6875,0.0309,0.0817,1.0000,asian,black,0.1659
67,naive,0.9079,-0.0309,0.0592,1.0000,hispanic,white,0.0975
68,nervous,0.9342,-0.0027,0.0628,1.0000,hispanic,white,0.0284
69,nice,0.9706,-0.0092,0.0602,1.0000,hispanic,black,0.1335
70,normal,0.4432,-0.0259,0.0823,0.8750,hispanic,black,0.2006
71,odd,0.9844,0.0031,0.0509,1.0000,hispanic,white,0.1436
72,polite,0.8750,-0.0232,0.0691,1.0000,hispanic,black,0.0711
73,poor,1.0000,-0.0046,0.0393,1.0000,hispanic,white,0.0225
74,powerful,0.8971,0.0442,0.0637,1.0000,hispanic,white,0.0415
75,proud,0.9861,0.0221,0.0540,1.0000,hispanic,white,0.0822
76,quick,0.8235,0.0243,0.0613,1.0000,hispanic,black,0.0423
77,quiet,0.9107,-0.0205,0.0876,1.0000,hispanic,white,0.0632
78,ready,0.5156,-0.0179,0.0922,1.0000,hispanic,black,0.0989
79,respected,0.9722,-0.0096,0.0498,1.0000,hispanic,white,0.0582
80,retarded,0.9853,-0.0240,0.0668,1.0000,hispanic,black,0.0950
81,rich,0.9306,-0.0173,0.0455,1.0000,asian,white,0.0770
82,right,0.4875,-0.0498,0.0760,1.0000,hispanic,white,0.1402
83,rowdy,0.6364,-0.0183,0.0780,0.8750,hispanic,black,0.2486
84,rude,1.0000,0.0201,0.0421,1.0000,hispanic,white,0.0121
85,sad,0.9706,-0.0143,0.0606,1.0000,hispanic,white,0.0225
86,silent,0.8750,0.0359,0.0816,1.0000,hispanic,black,0.0278
87,skinny,0.7105,-0.0353,0.0799,1.0000,asian,black,0.0562
88,slim,0.6196,-0.0701,0.0900,1.0000,asian,black,0.2115
89,smart,1.0000,0.0119,0.0415,1.0000,hispanic,white,0.0368
90,smelly,0.6250,-0.0150,0.0895,1.0000,hispanic,black,0.0914
91,sneaky,0.8833,-0.0469,0.0521,1.0000,hispanic,white,0.0546
