,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
115,postman,0.8462,0.1960,0.1683,1.0000,asian,black,0.0035,0.0859
86,lawn mower,0.7333,0.0732,0.1216,1.0000,asian,white,0.0492,0.0854
111,plumber,0.7969,0.0904,0.1611,1.0000,asian,hispanic,0.0030,0.0821
122,receptionist,0.7857,-0.1299,0.1492,1.0000,asian,black,0.0026,0.0759
78,housekeeper,0.8182,-0.1922,0.1458,1.0000,white,hispanic,0.0031,0.0744
6,airman,0.8333,0.1471,0.1389,1.0000,white,hispanic,0.0023,0.0706
141,umpire,0.7250,0.1438,0.1233,1.0000,asian,black,0.0036,0.0635
71,guard,0.9079,0.1402,0.1197,1.0000,white,asian,0.0016,0.0607
104,performing artist,0.7115,-0.0301,0.1010,1.0000,asian,black,0.0192,0.0601
77,hostess,0.8971,-0.1293,0.1174,1.0000,white,black,0.0028,0.0601
22,boxer,0.9375,0.0531,0.1155,1.0000,asian,black,0.0041,0.0598
85,landlord,0.9091,0.0532,0.1126,1.0000,white,hispanic,0.0045,0.0585
12,astronomer,0.8333,0.1626,0.1115,1.0000,white,black,0.0040,0.0578
17,author,0.8333,0.0062,0.1043,1.0000,white,black,0.0111,0.0577
9,army,0.9038,0.0888,0.0894,1.0000,black,asian,0.0247,0.0571
75,handyman,0.8824,0.1289,0.1096,1.0000,asian,black,0.0038,0.0567
34,chief,0.8571,0.1322,0.1077,1.0000,white,hispanic,0.0055,0.0566
66,fireman,0.8462,0.1301,0.1092,1.0000,asian,black,0.0040,0.0566
70,grocer,0.8393,0.0623,0.0783,1.0000,asian,black,0.0317,0.0550
112,poet,0.8529,0.0743,0.1016,1.0000,white,black,0.0084,0.0550
98,musician,0.7500,0.0973,0.1054,1.0000,white,black,0.0035,0.0545
80,inspector,0.8750,0.0973,0.1055,1.0000,white,hispanic,0.0026,0.0541
54,drawer,0.9107,0.0517,0.0974,1.0000,white,hispanic,0.0108,0.0541
60,employment,0.8750,0.0155,0.0994,1.0000,white,hispanic,0.0079,0.0537
132,software engineer,0.8000,0.1360,0.1047,1.0000,white,hispanic,0.0026,0.0537
25,businessperson,0.6786,0.0702,0.1006,1.0000,white,hispanic,0.0061,0.0534
99,nurse,0.8333,-0.1018,0.1024,1.0000,white,asian,0.0026,0.0525
137,tailor,0.8971,0.0726,0.1014,1.0000,asian,black,0.0026,0.0520
8,architect,0.8333,0.1197,0.0980,1.0000,white,black,0.0058,0.0519
136,swimmer,0.7833,-0.0882,0.0950,1.0000,white,black,0.0079,0.0515
114,politician,0.8750,0.1023,0.0929,1.0000,asian,black,0.0077,0.0503
40,commander,0.8864,0.0289,0.0937,1.0000,white,hispanic,0.0062,0.0500
