,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std
0,angry,0.8654,0.0847,0.0824,0.8750,asian,black,0.2867
1,annoying,0.8393,0.1476,0.1069,0.8750,asian,black,0.1932
2,attractive,0.8684,0.0261,0.0530,0.8750,asian,black,0.2455
3,awful,0.9444,0.0466,0.0606,0.8750,asian,white,0.2245
4,bad,0.9412,0.0797,0.0638,0.8750,asian,black,0.2711
5,beautiful,0.9412,0.0459,0.0458,0.8750,asian,black,0.2681
6,brave,0.8750,0.0945,0.0804,0.8750,asian,black,0.2839
7,burly,0.7692,0.2109,0.1560,0.8750,asian,white,0.1886
8,callous,0.8906,0.0915,0.0859,0.8750,asian,black,0.2137
9,capable,0.8375,0.1050,0.1028,0.8750,asian,white,0.2781
10,careful,0.7639,0.1659,0.1240,0.8750,asian,black,0.2016
11,careless,0.8167,0.0800,0.0727,0.8750,asian,black,0.2422
12,cautious,0.7647,0.1684,0.1357,1.0000,asian,black,0.1695
13,clean,0.9375,0.0446,0.0469,0.8750,asian,white,0.2833
14,clever,0.9423,0.0806,0.0663,0.8750,asian,black,0.1833
15,colorful,0.9559,0.0696,0.0740,0.8750,asian,black,0.2315
16,comfortable,0.8438,0.0948,0.0785,0.8750,asian,black,0.2410
17,complex,0.8611,0.0667,0.0718,0.8750,asian,black,0.2764
18,confrontational,0.8452,0.1039,0.0986,0.8750,asian,black,0.2527
19,crafty,0.8125,0.1311,0.1108,0.8750,asian,black,0.2351
20,crazy,0.9306,0.0850,0.0727,1.0000,asian,black,0.1824
21,dangerous,0.8167,0.1736,0.1262,0.8750,asian,black,0.2324
22,defiant,0.9412,0.0722,0.0696,0.8750,asian,black,0.2563
23,desperate,0.8571,0.0754,0.0828,0.8750,asian,black,0.2807
24,dirty,0.8553,0.1224,0.0961,0.8750,asian,white,0.2407
25,dishonest,0.8152,0.1736,0.1322,1.0000,asian,black,0.1792
26,dumb,0.8824,0.1005,0.0920,0.8750,asian,black,0.2887
27,emotional,0.8333,0.0586,0.0576,0.8750,asian,black,0.2958
28,excited,0.8611,0.0909,0.0852,0.8750,asian,black,0.2750
29,fat,0.7833,0.0848,0.1043,0.8750,asian,black,0.3184
30,feminine,0.8611,-0.0785,0.0844,0.7500,asian,black,0.3995
31,filthy,0.8906,0.0994,0.0818,0.8750,asian,white,0.2310
32,fine,0.7885,0.1306,0.1069,0.8750,asian,white,0.2680
33,fit,0.8382,0.1040,0.0960,0.8750,asian,black,0.2586
