,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
58,electrician,0.9107,0.0629,0.0876,0.7500,asian,black,0.4720,0.2798
38,coach,0.5833,0.2763,0.2260,0.8750,asian,black,0.3285,0.2773
12,astronomer,0.4722,0.2695,0.2056,0.8750,asian,black,0.3373,0.2714
133,soldier,0.7500,0.2200,0.2003,0.8750,asian,black,0.3351,0.2677
141,umpire,0.6750,0.3045,0.2235,0.8750,asian,white,0.3115,0.2675
68,foster parent,0.8077,0.0859,0.2698,0.8750,asian,black,0.2652,0.2675
114,politician,0.6406,0.1902,0.2002,0.8750,asian,black,0.3252,0.2627
6,airman,0.7083,0.2622,0.2122,0.8750,asian,black,0.3031,0.2577
8,architect,0.6875,0.2320,0.1852,0.8750,asian,black,0.3210,0.2531
112,poet,0.7206,0.1761,0.1583,0.7500,asian,black,0.3458,0.2520
55,driver,0.7917,0.1700,0.1563,0.8750,asian,black,0.3470,0.2516
46,dealer,0.7333,0.2403,0.1941,0.8750,asian,black,0.3087,0.2514
79,illustrator,0.6765,0.1760,0.1462,0.7500,asian,black,0.3558,0.2510
95,medical student,0.6250,0.2362,0.1884,0.8750,asian,black,0.3109,0.2496
9,army,0.7115,0.1912,0.1801,0.8750,asian,black,0.3135,0.2468
129,sheriff,0.8056,0.1317,0.1291,0.7500,asian,black,0.3642,0.2467
21,bartender,0.6136,0.1876,0.1511,0.8750,asian,white,0.3413,0.2462
61,engineer,0.7031,0.1623,0.1596,0.8750,asian,white,0.3315,0.2455
22,boxer,0.6875,0.1647,0.1640,0.8750,asian,black,0.3256,0.2448
91,magician,0.7812,0.2063,0.1713,0.8750,asian,black,0.3172,0.2442
106,photographer,0.6944,0.1131,0.1393,0.8750,asian,black,0.3463,0.2428
59,employee,0.7500,0.1752,0.1507,0.8750,asian,black,0.3311,0.2409
135,surgeon,0.6136,0.1789,0.1619,0.8750,asian,black,0.3183,0.2401
34,chief,0.7679,0.2030,0.1604,0.8750,asian,black,0.3167,0.2386
64,farmer,0.7045,0.2288,0.1942,0.8750,asian,black,0.2814,0.2378
72,guitarist,0.7857,0.1325,0.1580,0.8750,asian,black,0.3168,0.2374
2,actor,0.7917,0.1354,0.1369,0.8750,asian,black,0.3375,0.2372
98,musician,0.6875,0.1912,0.1565,0.8750,asian,black,0.3173,0.2369
41,composer,0.6346,0.2188,0.1696,0.8750,asian,black,0.3032,0.2364
26,butcher,0.7031,0.2032,0.1903,0.8750,asian,black,0.2817,0.2360
35,civil,0.7500,0.2255,0.1847,0.8750,asian,black,0.2867,0.2357
115,postman,0.7115,0.2012,0.1836,0.8750,asian,black,0.2877,0.2356
25,businessperson,0.5714,0.1627,0.1704,0.8750,asian,black,0.3000,0.2352
85,landlord,0.6591,0.2343,0.1830,0.8750,asian,black,0.2861,0.2346
109,pianist,0.6250,0.2467,0.1767,0.8750,asian,black,0.2924,0.2345
111,plumber,0.7344,0.1387,0.1380,0.8750,asian,black,0.3301,0.2341
30,CEO,0.8438,0.1599,0.1553,0.8750,asian,black,0.3114,0.2334
63,executive,0.7361,0.1002,0.1201,0.8750,asian,black,0.3458,0.2329
24,builder,0.7500,0.2308,0.1906,0.8750,asian,black,0.2748,0.2327
107,physician,0.6786,0.1556,0.1381,0.8750,asian,white,0.3249,0.2315
49,designer,0.7794,0.0799,0.1276,0.8750,asian,white,0.3340,0.2308
110,pilot,0.7222,0.2140,0.1833,0.8750,asian,black,0.2781,0.2307
136,swimmer,0.7000,0.1062,0.1375,0.8750,asian,black,0.3229,0.2302
40,commander,0.8864,0.1235,0.1294,0.8750,asian,black,0.3265,0.2279
3,administrator,0.7143,0.2200,0.1625,0.8750,asian,black,0.2933,0.2279
13,athlete,0.9318,0.0419,0.0969,0.8750,asian,black,0.3580,0.2275
125,scientist,0.8182,0.1994,0.1582,0.8750,asian,black,0.2960,0.2271
17,author,0.8958,0.0435,0.0846,0.7500,asian,black,0.3696,0.2271
116,producer,0.6806,0.1556,0.1422,0.8750,asian,black,0.3103,0.2262
37,clerk,0.8235,0.1117,0.1259,0.8750,asian,black,0.3258,0.2259
57,editor,0.8281,0.1159,0.1133,0.8750,asian,black,0.3360,0.2246
67,football player,0.7692,0.1550,0.1428,0.8750,asian,black,0.3062,0.2245
118,prosecutor,0.7308,0.2247,0.1750,0.8750,asian,black,0.2738,0.2244
5,agent,0.8167,0.1537,0.1278,0.8750,asian,black,0.3209,0.2244
92,manager,0.7667,0.1421,0.1365,0.8750,asian,black,0.3106,0.2236
102,painter,0.8269,0.1330,0.1360,0.8750,asian,black,0.3077,0.2218
71,guard,0.7895,0.2225,0.1652,0.8750,asian,black,0.2779,0.2215
11,assistant,0.7206,0.1192,0.1186,0.8750,asian,black,0.3233,0.2210
27,butler,0.7812,0.1477,0.1242,0.8750,asian,black,0.3174,0.2208
139,tennis player,0.7941,0.1855,0.1549,0.8750,asian,black,0.2866,0.2207
138,teacher,0.7321,0.1292,0.1265,0.8750,asian,black,0.3149,0.2207
124,salesperson,0.6429,0.1599,0.1604,0.8750,asian,black,0.2791,0.2197
52,director,0.8571,0.0900,0.1060,0.8750,asian,black,0.3328,0.2194
83,judge,0.7708,0.1625,0.1310,0.8750,asian,white,0.3069,0.2189
60,employment,0.7969,0.1504,0.1391,0.8750,asian,black,0.2983,0.2187
80,inspector,0.7500,0.1771,0.1596,0.8750,asian,black,0.2758,0.2177
74,handball player,0.7167,0.2006,0.1684,0.8750,asian,black,0.2654,0.2169
0,academic,0.7250,0.1501,0.1517,0.8750,asian,black,0.2811,0.2164
128,servant,0.7333,0.1627,0.1318,0.8750,asian,black,0.3005,0.2161
62,entrepreneur,0.7708,0.0784,0.1091,0.8750,asian,black,0.3221,0.2156
132,software engineer,0.6333,0.2202,0.1693,0.8750,asian,black,0.2616,0.2154
19,banker,0.8167,0.1782,0.1491,0.8750,asian,black,0.2777,0.2134
42,construction worker,0.8194,0.1267,0.1430,0.8750,asian,black,0.2831,0.2130
14,attendant,0.6818,0.1046,0.1107,0.8750,asian,black,0.3133,0.2120
65,firefighter,0.6458,0.2078,0.1640,0.8750,asian,black,0.2593,0.2116
31,chef,0.7917,0.1567,0.1458,0.8750,asian,black,0.2773,0.2116
66,fireman,0.7115,0.1560,0.1436,0.8750,asian,black,0.2787,0.2112
28,carpenter,0.7679,0.1617,0.1462,0.8750,asian,black,0.2747,0.2105
69,gambler,0.7794,0.1826,0.1504,0.8750,asian,white,0.2705,0.2104
32,chemist,0.8281,0.1477,0.1506,0.8750,asian,black,0.2698,0.2102
93,mathematician,0.7333,0.1888,0.1474,0.8750,asian,white,0.2701,0.2087
51,diplomat,0.7000,0.1455,0.1177,0.8750,asian,black,0.2974,0.2075
137,tailor,0.7647,0.1791,0.1491,0.8750,asian,black,0.2656,0.2073
45,dancer,0.7188,0.1391,0.1226,0.8750,asian,black,0.2915,0.2070
10,artist,0.7885,0.0531,0.0924,0.8750,asian,black,0.3208,0.2066
1,accountant,0.8750,0.1029,0.1201,0.8750,asian,white,0.2889,0.2045
87,lawyer,0.8289,0.0793,0.0936,0.8750,asian,black,0.3146,0.2041
126,secretary,0.7361,0.1228,0.1104,0.8750,asian,black,0.2975,0.2040
53,doctor,0.8667,0.0939,0.0903,0.8750,asian,black,0.3172,0.2037
20,barber,0.7361,0.1405,0.1273,0.8750,asian,black,0.2799,0.2036
76,historian,0.9000,0.1160,0.1156,0.8750,asian,black,0.2901,0.2029
94,mechanic,0.7647,0.2348,0.1910,0.8750,asian,black,0.2119,0.2014
44,counselor,0.8750,0.1124,0.1003,0.8750,asian,black,0.3011,0.2007
