,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std
0,angry,0.8654,0.0818,0.1043,0.8750,asian,black,0.2427
1,annoying,0.8393,0.1272,0.1022,1.0000,asian,black,0.1444
2,attractive,0.8684,0.0180,0.0681,1.0000,asian,black,0.1822
3,awful,0.9861,0.0303,0.0683,0.8750,asian,white,0.1920
4,bad,0.9412,0.0593,0.0752,0.8750,asian,black,0.2153
5,beautiful,0.9559,0.0396,0.0495,0.8750,asian,black,0.2231
6,brave,0.8571,0.0927,0.0997,0.8750,asian,black,0.2449
7,burly,0.7885,0.2299,0.1689,1.0000,asian,white,0.1307
8,callous,0.8438,0.1015,0.0978,1.0000,asian,black,0.1618
9,capable,0.8375,0.1237,0.1364,0.8750,asian,white,0.2274
10,careful,0.7361,0.1731,0.1376,1.0000,asian,black,0.1509
11,careless,0.8333,0.0923,0.0808,1.0000,asian,black,0.1980
12,cautious,0.7647,0.1723,0.1337,1.0000,asian,black,0.1008
13,clean,0.9375,0.0453,0.0588,0.8750,asian,white,0.2340
14,clever,0.9423,0.0748,0.0753,1.0000,asian,black,0.1320
15,colorful,0.9853,0.0459,0.0767,1.0000,asian,black,0.1605
16,comfortable,0.8438,0.0994,0.0950,1.0000,asian,black,0.1768
17,complex,0.8333,0.0587,0.0887,0.8750,asian,black,0.1953
18,confrontational,0.7976,0.1055,0.1202,0.8750,asian,black,0.2222
19,crafty,0.8281,0.1229,0.1125,1.0000,asian,black,0.1623
20,crazy,0.9444,0.0657,0.0900,1.0000,asian,black,0.1171
21,dangerous,0.8333,0.1805,0.1506,0.8750,asian,black,0.1838
22,defiant,0.9265,0.0683,0.0729,0.8750,asian,black,0.2350
23,desperate,0.8690,0.0740,0.0967,0.8750,asian,black,0.2346
24,dirty,0.8816,0.1270,0.1105,0.8750,asian,white,0.1983
25,dishonest,0.7826,0.1771,0.1491,1.0000,asian,black,0.1186
26,dumb,0.8676,0.0937,0.0995,1.0000,asian,black,0.1893
27,emotional,0.8833,0.0516,0.0715,0.8750,asian,black,0.2399
28,excited,0.8889,0.0896,0.0937,0.8750,asian,black,0.2258
29,fat,0.7833,0.0925,0.1214,0.8750,asian,black,0.2961
30,feminine,0.8889,-0.1016,0.1086,0.7500,asian,black,0.3672
31,filthy,0.8906,0.1013,0.0949,0.8750,asian,white,0.1867
32,fine,0.7885,0.1429,0.1328,0.8750,asian,white,0.2108
33,fit,0.7941,0.1061,0.1184,0.8750,asian,black,0.1956
34,flamboyant,0.8261,0.1889,0.1426,1.0000,asian,white,0.1672
35,fragile,0.6471,0.0948,0.1117,0.8750,asian,black,0.2099
36,free,0.8194,0.1142,0.1104,0.8750,asian,black,0.2358
37,friendly,0.8611,0.1151,0.0955,1.0000,asian,black,0.1346
38,gentle,0.8571,0.0642,0.0661,0.8750,asian,black,0.2267
39,gifted,0.8194,0.1064,0.0994,1.0000,asian,black,0.1706
40,good,0.8571,0.0855,0.0828,0.8750,asian,white,0.2526
41,greedy,0.8472,0.1075,0.1000,0.8750,asian,black,0.2056
42,gross,0.8382,0.1127,0.1277,1.0000,asian,black,0.1774
43,handsome,0.9000,0.0780,0.0904,0.8750,asian,black,0.2469
44,happy,0.8947,0.0668,0.0691,0.8750,asian,black,0.2702
45,harsh,0.8472,0.1460,0.1096,0.8750,asian,black,0.2263
46,healthy,0.8382,0.1411,0.1311,0.8750,asian,white,0.1880
47,homeless,0.8684,0.1214,0.1292,0.8750,asian,black,0.1948
48,hopeless,0.8523,0.1233,0.1261,0.8750,asian,black,0.2377
49,horrible,0.9643,0.0062,0.0829,1.0000,asian,black,0.1597
50,ignorant,0.8026,0.1686,0.1328,1.0000,asian,black,0.2176
51,immature,0.8026,0.0753,0.0982,1.0000,asian,black,0.1492
52,important,0.9062,0.0577,0.0897,1.0000,asian,black,0.1413
53,impossible,0.8824,0.0846,0.1192,1.0000,asian,black,0.1872
54,impoverish,0.8654,0.0489,0.0743,1.0000,asian,black,0.1306
55,industrious,0.8235,0.0700,0.0767,0.8750,asian,black,0.2061
56,intelligent,0.9000,0.0673,0.0887,0.8750,asian,black,0.1773
57,irresponsible,0.8971,0.1036,0.0966,1.0000,asian,black,0.0810
58,late,0.8125,0.1371,0.1331,0.8750,asian,black,0.2581
59,lazy,0.8375,0.1451,0.1223,1.0000,asian,black,0.1813
60,loud,0.8281,0.1605,0.1352,0.8750,asian,black,0.2537
61,luxurious,0.8611,0.0493,0.0677,1.0000,asian,black,0.1728
62,mad,0.9107,0.0870,0.0952,1.0000,asian,black,0.1842
63,manly,0.8542,0.1354,0.1245,0.8750,asian,black,0.2332
64,masculine,0.7875,0.0959,0.0882,0.8750,asian,black,0.3281
65,muscular,0.8088,0.1676,0.1331,0.8750,asian,black,0.2309
66,naggy,0.9375,0.0940,0.0910,1.0000,asian,black,0.1507
67,naive,0.7763,0.0817,0.1123,1.0000,asian,black,0.1363
68,nervous,0.8684,0.0709,0.0807,0.8750,asian,black,0.2286
69,nice,0.9412,0.0547,0.0601,1.0000,asian,white,0.1625
70,normal,0.9091,0.0648,0.0797,0.8750,asian,white,0.2598
71,odd,0.9531,0.0355,0.0573,1.0000,asian,black,0.1491
72,polite,0.8281,0.0326,0.0869,0.8750,asian,black,0.2624
73,poor,0.7794,0.1179,0.1134,1.0000,asian,black,0.1809
74,powerful,0.7941,0.1347,0.1304,0.8750,asian,black,0.1725
75,proud,0.9028,0.0829,0.0917,0.8750,asian,black,0.1917
76,quick,0.8088,0.1579,0.1254,0.8750,asian,black,0.2029
77,quiet,0.9464,0.0661,0.0746,1.0000,asian,black,0.1336
78,ready,0.8125,0.1040,0.0962,0.8750,asian,white,0.2454
79,respected,0.8472,0.1605,0.1423,1.0000,asian,black,0.1531
80,retarded,0.9265,0.0422,0.0677,1.0000,asian,black,0.1369
81,rich,0.9028,0.0644,0.0777,0.8750,asian,black,0.2362
82,right,0.9125,0.0898,0.0877,0.8750,asian,black,0.2052
83,rowdy,0.8068,0.1423,0.1378,0.8750,asian,black,0.2671
84,rude,0.9062,0.1022,0.0934,0.8750,asian,black,0.2237
85,sad,0.8676,0.0357,0.0624,0.8750,asian,black,0.2220
86,silent,0.8250,0.1268,0.1157,0.8750,asian,black,0.2431
87,skinny,0.7632,0.0822,0.1042,0.8750,asian,black,0.2644
