,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
141,umpire,0.6750,0.3221,0.2539,0.8750,asian,white,0.3087,0.2813
12,astronomer,0.5278,0.3204,0.2384,0.8750,asian,black,0.3205,0.2794
58,electrician,0.9107,0.0668,0.1093,0.7500,asian,black,0.4445,0.2769
38,coach,0.5667,0.2908,0.2491,0.8750,asian,black,0.2880,0.2686
133,soldier,0.7206,0.2162,0.2293,0.8750,asian,black,0.3041,0.2667
21,bartender,0.5909,0.2169,0.2001,0.8750,asian,white,0.3302,0.2651
9,army,0.7308,0.1780,0.2251,0.8750,asian,black,0.3047,0.2649
6,airman,0.7361,0.2608,0.2311,0.8750,asian,black,0.2850,0.2580
114,politician,0.6562,0.1957,0.2144,0.8750,asian,black,0.2955,0.2550
25,businessperson,0.5357,0.1816,0.2065,0.8750,asian,black,0.3033,0.2549
61,engineer,0.7031,0.1855,0.1882,0.8750,asian,black,0.3203,0.2543
129,sheriff,0.8333,0.1282,0.1589,0.8750,asian,black,0.3476,0.2532
79,illustrator,0.6176,0.1726,0.1534,0.8750,asian,black,0.3530,0.2532
63,executive,0.7083,0.1229,0.1580,0.8750,asian,black,0.3475,0.2528
106,photographer,0.6944,0.1178,0.1730,0.8750,asian,black,0.3306,0.2518
55,driver,0.8125,0.1602,0.1728,0.8750,asian,black,0.3269,0.2499
59,employee,0.7115,0.1854,0.1850,0.8750,asian,black,0.3146,0.2498
111,plumber,0.7500,0.1304,0.1455,0.8750,asian,black,0.3514,0.2484
8,architect,0.7292,0.2396,0.2069,0.8750,asian,black,0.2874,0.2472
22,boxer,0.6875,0.1602,0.1968,0.8750,asian,black,0.2974,0.2471
46,dealer,0.6833,0.2411,0.2105,0.8750,asian,black,0.2764,0.2435
72,guitarist,0.6607,0.1198,0.2012,0.8750,asian,black,0.2827,0.2419
91,magician,0.7188,0.1976,0.1956,0.8750,asian,black,0.2862,0.2409
95,medical student,0.6750,0.2415,0.1979,0.8750,asian,black,0.2796,0.2388
60,employment,0.7812,0.1492,0.1555,0.8750,asian,black,0.3164,0.2359
2,actor,0.7083,0.1146,0.1645,0.8750,asian,black,0.3069,0.2357
26,butcher,0.6719,0.2153,0.2293,0.8750,asian,black,0.2415,0.2354
115,postman,0.6923,0.2115,0.1980,0.8750,asian,black,0.2710,0.2345
135,surgeon,0.6818,0.2064,0.1932,0.8750,asian,black,0.2747,0.2340
34,chief,0.7500,0.2010,0.1787,0.8750,asian,black,0.2890,0.2338
112,poet,0.7353,0.1652,0.1648,0.8750,asian,black,0.2943,0.2296
85,landlord,0.6818,0.2346,0.2027,0.8750,asian,black,0.2557,0.2292
30,CEO,0.8281,0.1462,0.1519,0.8750,asian,black,0.3060,0.2290
3,administrator,0.6964,0.2266,0.1825,0.8750,asian,black,0.2717,0.2271
67,football player,0.7885,0.1193,0.1778,0.8750,asian,black,0.2763,0.2271
132,software engineer,0.6833,0.2602,0.2080,0.8750,asian,black,0.2439,0.2260
49,designer,0.7794,0.0889,0.1431,0.8750,asian,white,0.3088,0.2259
116,producer,0.7639,0.1714,0.1718,0.8750,asian,black,0.2779,0.2248
109,pianist,0.6250,0.2601,0.1983,0.8750,asian,black,0.2510,0.2247
5,agent,0.8167,0.1480,0.1461,0.8750,asian,black,0.3031,0.2246
66,fireman,0.7115,0.1766,0.1836,0.8750,asian,black,0.2656,0.2246
124,salesperson,0.6786,0.1747,0.1804,0.8750,asian,black,0.2678,0.2241
17,author,0.8333,0.0381,0.0918,0.8750,asian,black,0.3549,0.2233
52,director,0.8571,0.0835,0.1311,0.8750,asian,black,0.3147,0.2229
41,composer,0.7500,0.2220,0.1719,0.8750,asian,black,0.2699,0.2209
57,editor,0.8594,0.1238,0.1255,0.8750,asian,black,0.3159,0.2207
24,builder,0.7353,0.2103,0.2014,0.8750,asian,black,0.2377,0.2196
98,musician,0.7292,0.1928,0.1681,0.8750,asian,black,0.2711,0.2196
68,foster parent,0.8846,0.1089,0.2068,0.8750,asian,black,0.2321,0.2194
92,manager,0.7667,0.1458,0.1478,0.8750,asian,black,0.2907,0.2192
11,assistant,0.7647,0.1462,0.1465,0.8750,asian,black,0.2898,0.2181
64,farmer,0.7727,0.2151,0.1895,0.8750,asian,black,0.2463,0.2179
74,handball player,0.7833,0.1830,0.1852,0.8750,asian,black,0.2493,0.2173
40,commander,0.8636,0.1134,0.1292,0.8750,asian,black,0.3002,0.2147
83,judge,0.7292,0.1774,0.1567,0.8750,asian,white,0.2706,0.2137
110,pilot,0.6944,0.1991,0.1856,0.8750,asian,black,0.2417,0.2137
69,gambler,0.7647,0.1884,0.1703,0.8750,asian,white,0.2569,0.2136
107,physician,0.7143,0.1610,0.1456,0.8750,asian,black,0.2790,0.2123
62,entrepreneur,0.7917,0.0976,0.1234,0.8750,asian,black,0.2985,0.2109
13,athlete,0.9091,0.0306,0.1081,0.8750,asian,black,0.3133,0.2107
139,tennis player,0.7794,0.1599,0.1641,0.8750,asian,black,0.2573,0.2107
128,servant,0.7667,0.1595,0.1360,0.8750,asian,black,0.2847,0.2104
137,tailor,0.7647,0.1890,0.1630,0.8750,asian,black,0.2554,0.2092
102,painter,0.7885,0.1075,0.1447,0.8750,asian,black,0.2733,0.2090
118,prosecutor,0.7308,0.2325,0.1923,0.8750,asian,black,0.2249,0.2086
29,cashier,0.7262,0.1957,0.1715,0.8750,asian,white,0.2455,0.2085
37,clerk,0.8382,0.1122,0.1373,0.8750,asian,white,0.2784,0.2078
28,carpenter,0.7679,0.1775,0.1721,0.8750,asian,black,0.2427,0.2074
65,firefighter,0.7292,0.2194,0.1641,0.8750,asian,black,0.2502,0.2071
136,swimmer,0.7500,0.0887,0.1409,0.8750,asian,black,0.2729,0.2069
20,barber,0.7500,0.1411,0.1438,0.8750,asian,white,0.2691,0.2065
47,delivery,0.8167,0.0782,0.1083,0.8750,asian,black,0.3033,0.2058
35,civil,0.7083,0.2261,0.1797,0.8750,asian,black,0.2310,0.2053
19,banker,0.8333,0.1565,0.1642,0.8750,asian,black,0.2453,0.2047
80,inspector,0.7500,0.1767,0.1929,0.8750,asian,black,0.2162,0.2046
71,guard,0.7105,0.2294,0.1838,0.8750,asian,black,0.2235,0.2036
125,scientist,0.7500,0.1993,0.1636,0.8750,asian,black,0.2428,0.2032
89,lifeguard,0.7000,0.1782,0.1673,0.8750,asian,black,0.2375,0.2024
87,lawyer,0.8684,0.0757,0.1190,0.8750,asian,black,0.2855,0.2023
93,mathematician,0.7500,0.1821,0.1669,0.8750,asian,black,0.2358,0.2013
0,academic,0.7625,0.1598,0.1662,0.8750,asian,black,0.2358,0.2010
16,auditor,0.8125,0.1586,0.1617,0.8750,asian,white,0.2402,0.2009
97,mover,0.7237,0.1877,0.1641,0.8750,asian,black,0.2370,0.2006
14,attendant,0.7727,0.1177,0.1149,0.8750,asian,black,0.2849,0.1999
10,artist,0.8462,0.0543,0.1083,0.8750,asian,black,0.2902,0.1992
51,diplomat,0.7833,0.1610,0.1410,0.8750,asian,black,0.2572,0.1991
42,construction worker,0.8472,0.1158,0.1496,0.8750,asian,black,0.2478,0.1987
1,accountant,0.8542,0.0903,0.1360,0.8750,asian,white,0.2572,0.1966
126,secretary,0.7917,0.1378,0.1348,0.8750,asian,black,0.2536,0.1942
27,butler,0.8125,0.1255,0.1107,0.8750,asian,black,0.2776,0.1942
48,dentist,0.7273,0.1772,0.1557,0.8750,asian,black,0.2321,0.1939
31,chef,0.8125,0.1527,0.1548,0.8750,asian,black,0.2321,0.1934
32,chemist,0.8438,0.1382,0.1600,0.8750,asian,black,0.2253,0.1927
138,teacher,0.7857,0.1185,0.1268,0.8750,asian,black,0.2579,0.1923
103,pensioner,0.7500,0.1832,0.1552,0.8750,asian,black,0.2266,0.1909
53,doctor,0.8667,0.0917,0.1019,0.8750,asian,black,0.2761,0.1890
56,economist,0.8250,0.1125,0.1326,0.8750,asian,black,0.2414,0.1870
45,dancer,0.7344,0.1232,0.1302,0.8750,asian,black,0.2400,0.1851
33,chess player,0.9167,0.1380,0.1371,0.8750,asian,black,0.2262,0.1817
76,historian,0.9000,0.1008,0.1270,0.8750,asian,black,0.2359,0.1814
108,physicist,0.8088,0.1708,0.1579,0.8750,asian,black,0.2043,0.1811
78,housekeeper,0.6364,-0.0441,0.0964,0.8750,asian,black,0.2610,0.1787
121,realtor,0.7917,0.1901,0.1611,1.0000,asian,black,0.1962,0.1787
