,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std
0,angry,0.8846,-0.0244,0.0972,1.0000,asian,hispanic,0.1310
1,annoying,0.8750,0.0472,0.1274,1.0000,asian,white,0.1823
2,attractive,0.9079,0.0191,0.0608,0.8750,asian,black,0.2516
3,awful,0.8889,-0.0097,0.1061,0.8750,asian,white,0.2034
4,bad,0.8971,0.0735,0.0897,0.8750,asian,white,0.1998
5,beautiful,0.8529,-0.0323,0.1149,0.8750,asian,white,0.3392
6,brave,0.9107,0.0075,0.0714,0.8750,asian,white,0.2197
7,burly,0.8462,0.0803,0.1273,1.0000,asian,black,0.2079
8,callous,0.8750,0.0271,0.0869,1.0000,asian,white,0.1385
9,capable,0.7875,-0.0411,0.1043,0.8750,asian,white,0.2436
10,careful,0.7917,0.1168,0.1302,1.0000,asian,black,0.1698
11,careless,0.9167,0.0446,0.0696,1.0000,asian,black,0.2044
12,cautious,0.8235,0.0998,0.1151,1.0000,asian,black,0.1547
13,clean,0.9531,-0.0130,0.0416,0.8750,asian,black,0.2759
14,clever,0.9231,0.0160,0.0394,1.0000,asian,black,0.1585
15,colorful,0.9118,0.0611,0.1102,0.8750,asian,white,0.2583
16,comfortable,0.7969,0.0323,0.0770,0.8750,asian,black,0.2623
17,complex,0.8750,-0.0142,0.0824,1.0000,asian,white,0.1283
18,confrontational,0.8929,0.0105,0.0953,1.0000,asian,white,0.1512
19,crafty,0.8906,0.0847,0.0750,1.0000,asian,black,0.1232
20,crazy,0.9306,0.0582,0.0951,1.0000,asian,white,0.0787
21,dangerous,0.9000,0.0879,0.1070,1.0000,asian,white,0.1902
22,defiant,0.9265,0.0034,0.0561,1.0000,asian,hispanic,0.1924
23,desperate,0.8929,0.0278,0.1202,1.0000,asian,black,0.1373
24,dirty,0.8684,-0.0034,0.1226,1.0000,asian,white,0.1416
25,dishonest,0.8587,0.0727,0.1142,1.0000,asian,hispanic,0.1743
26,dumb,0.9265,0.0172,0.1060,1.0000,asian,black,0.1117
27,emotional,0.8667,-0.0260,0.0770,1.0000,asian,white,0.1866
28,excited,0.8611,-0.0029,0.1096,1.0000,asian,black,0.1616
29,fat,0.8333,-0.0495,0.1133,0.8750,hispanic,black,0.2513
30,feminine,0.9167,-0.1429,0.1088,0.8750,asian,black,0.2418
31,filthy,0.8906,0.0363,0.1163,1.0000,asian,white,0.1604
32,fine,0.8846,0.0894,0.1311,0.8750,asian,black,0.1939
33,fit,0.8235,0.0185,0.1115,1.0000,asian,black,0.1681
34,flamboyant,0.8478,0.0724,0.1072,0.8750,asian,white,0.3096
35,fragile,0.8088,0.0747,0.1425,1.0000,asian,black,0.2030
36,free,0.9028,0.0564,0.0771,1.0000,asian,white,0.1954
37,friendly,0.9306,0.0256,0.0745,0.8750,asian,black,0.1874
38,gentle,0.8929,0.0455,0.0845,0.8750,asian,black,0.2828
39,gifted,0.8472,0.0501,0.1253,1.0000,asian,black,0.1821
40,good,0.8571,0.0123,0.0818,0.8750,asian,black,0.2154
41,greedy,0.8750,0.0318,0.1005,1.0000,asian,white,0.1758
42,gross,0.8382,0.0550,0.1457,1.0000,asian,black,0.2117
43,handsome,0.9125,0.0334,0.0777,0.8750,asian,black,0.2736
44,happy,0.9079,0.0184,0.1082,1.0000,asian,black,0.1810
45,harsh,0.8750,0.1018,0.1015,0.8750,asian,white,0.2267
46,healthy,0.8824,0.0102,0.0515,0.8750,asian,black,0.2369
47,homeless,0.8947,0.1130,0.1309,1.0000,asian,white,0.1691
48,hopeless,0.8750,0.0124,0.0852,1.0000,asian,white,0.1851
49,horrible,0.8214,0.0553,0.1008,0.8750,asian,white,0.1826
50,ignorant,0.8553,0.0696,0.1032,1.0000,asian,black,0.1506
51,immature,0.8816,-0.0220,0.1384,1.0000,asian,white,0.1917
52,important,0.9062,-0.0038,0.1066,1.0000,asian,white,0.1520
53,impossible,0.8971,0.0148,0.1040,1.0000,asian,black,0.1914
54,impoverish,0.8846,-0.0277,0.0843,0.8750,asian,black,0.2500
55,industrious,0.8971,0.0191,0.0805,1.0000,asian,white,0.2943
56,intelligent,0.9375,-0.0054,0.0855,1.0000,asian,black,0.1877
57,irresponsible,0.9118,0.0670,0.1087,1.0000,asian,black,0.1612
58,late,0.8500,0.0593,0.1394,0.8750,asian,black,0.2460
59,lazy,0.8750,-0.0271,0.0840,1.0000,asian,black,0.2082
60,loud,0.8750,0.0226,0.0785,0.8750,asian,white,0.1965
61,luxurious,0.8889,0.0346,0.1136,0.8750,asian,black,0.3440
62,mad,0.9286,0.0378,0.1041,1.0000,asian,white,0.1173
63,manly,0.8958,0.0677,0.1492,1.0000,asian,black,0.1637
64,masculine,0.8125,0.0275,0.1067,1.0000,asian,black,0.1321
65,muscular,0.8235,0.0476,0.0993,0.8750,asian,black,0.2225
66,naggy,0.9375,0.0738,0.1021,1.0000,asian,white,0.1824
67,naive,0.8816,0.0395,0.1281,1.0000,asian,black,0.1144
68,nervous,0.9342,-0.0042,0.0699,1.0000,asian,black,0.1315
69,nice,0.8529,-0.0264,0.0902,0.8750,asian,black,0.2178
70,normal,0.9091,0.0477,0.1078,0.8750,asian,black,0.1838
71,odd,0.9219,0.0515,0.0640,1.0000,asian,white,0.1763
72,polite,0.9219,0.0668,0.0884,1.0000,asian,black,0.2166
73,poor,0.8235,0.0907,0.1372,1.0000,asian,white,0.2085
74,powerful,0.8676,0.0974,0.1150,0.8750,asian,white,0.1806
75,proud,0.8750,0.0181,0.1283,1.0000,asian,hispanic,0.1687
76,quick,0.8529,-0.0208,0.0778,1.0000,asian,black,0.1865
77,quiet,0.9464,-0.0190,0.0664,0.8750,asian,black,0.2506
78,ready,0.9219,0.0878,0.0967,1.0000,asian,black,0.1776
79,respected,0.7778,0.0086,0.0974,0.8750,asian,white,0.2341
80,retarded,0.9559,-0.0314,0.0849,1.0000,asian,white,0.1879
81,rich,0.9306,0.0244,0.0758,1.0000,asian,black,0.1451
82,right,0.9375,0.0400,0.0706,1.0000,asian,white,0.1374
83,rowdy,0.9432,0.0777,0.0944,1.0000,asian,black,0.1021
84,rude,0.9062,0.0209,0.1187,0.8750,asian,white,0.2131
85,sad,0.8529,0.0379,0.1086,1.0000,asian,hispanic,0.1764
86,silent,0.8625,0.0394,0.1134,0.8750,asian,hispanic,0.1960
87,skinny,0.8421,-0.0124,0.1101,1.0000,asian,black,0.2507
88,slim,0.8696,-0.0210,0.1044,0.8750,asian,black,0.2415
89,smart,0.8478,0.0306,0.1017,1.0000,asian,black,0.1621
90,smelly,0.8750,-0.0118,0.0857,1.0000,asian,black,0.1767
91,sneaky,0.8500,0.0361,0.1109,1.0000,asian,hispanic,0.1320
92,social,0.9500,0.0604,0.0867,1.0000,asian,white,0.2169
93,strange,1.0000,-0.0604,0.0910,1.0000,asian,white,0.1745
94,strong,0.8250,0.0396,0.1199,0.8750,asian,white,0.2158
95,studious,0.9219,0.0580,0.0874,1.0000,asian,white,0.1750
96,stupid,0.9821,0.0109,0.0592,1.0000,asian,black,0.1218
97,successful,0.8889,-0.0372,0.0840,0.8750,asian,white,0.2728
98,supportive,0.8333,-0.0543,0.1097,0.8750,asian,white,0.2247
99,suspicious,0.8625,0.0287,0.1116,1.0000,asian,white,0.1412
100,talkative,0.9773,0.0405,0.0432,1.0000,asian,black,0.0909
101,terrible,0.9265,0.0092,0.1006,1.0000,asian,white,0.1745
102,thin,0.9412,-0.0036,0.0609,0.8750,asian,black,0.2225
103,timid,0.8235,0.0401,0.0831,1.0000,asian,black,0.1639
104,tough,0.9028,0.0599,0.1033,0.8750,asian,white,0.2461
105,trustworthy,0.9583,0.0459,0.0603,1.0000,asian,black,0.1122
106,ugly,0.9000,0.0485,0.0879,1.0000,asian,white,0.1792
107,uncare,0.8654,0.0672,0.1014,1.0000,asian,black,0.1454
