,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
58,electrician,0.9107,-0.0646,0.0670,0.7500,asian,white,0.3992,0.2331
85,landlord,0.8636,0.1087,0.1715,0.8750,asian,white,0.2853,0.2284
140,theologian,0.8846,-0.0675,0.0704,0.7500,asian,white,0.3711,0.2207
38,coach,0.7667,0.0816,0.1661,0.7500,asian,white,0.2719,0.2190
31,chef,0.8333,0.1006,0.1337,0.7500,asian,white,0.2997,0.2167
60,employment,0.8594,0.0992,0.1322,0.7500,asian,white,0.2990,0.2156
98,musician,0.7917,0.0723,0.1600,0.8750,asian,white,0.2684,0.2142
21,bartender,0.8409,0.1486,0.1457,0.8750,asian,white,0.2751,0.2104
130,singer,0.9167,0.1233,0.1287,0.8750,asian,white,0.2863,0.2075
26,butcher,0.8281,0.1179,0.1504,0.8750,asian,white,0.2522,0.2013
64,farmer,0.9318,0.1567,0.1339,0.8750,asian,white,0.2679,0.2009
12,astronomer,0.8056,0.0511,0.1983,0.8750,asian,white,0.2013,0.1998
109,pianist,0.8214,0.1549,0.1325,0.8750,asian,white,0.2665,0.1995
83,judge,0.8333,0.0205,0.1372,0.8750,asian,white,0.2615,0.1993
106,photographer,0.9444,0.0707,0.1154,0.8750,asian,white,0.2825,0.1989
41,composer,0.7885,-0.0299,0.1249,0.8750,asian,white,0.2713,0.1981
116,producer,0.8194,0.0315,0.1221,0.8750,asian,white,0.2738,0.1980
45,dancer,0.8750,0.0588,0.1196,0.8750,asian,white,0.2727,0.1962
65,firefighter,0.7917,0.0968,0.1430,0.8750,asian,white,0.2478,0.1954
20,barber,0.8611,0.1057,0.1109,0.7500,asian,white,0.2790,0.1949
6,airman,0.8333,0.2082,0.1604,0.8750,asian,white,0.2286,0.1945
35,civil,0.8333,0.1365,0.1459,0.8750,asian,white,0.2391,0.1925
46,dealer,0.8000,0.1207,0.1314,0.8750,asian,white,0.2530,0.1922
3,administrator,0.8571,0.1158,0.1351,0.8750,asian,white,0.2470,0.1910
49,designer,0.8529,0.0498,0.1152,0.8750,asian,black,0.2658,0.1905
71,guard,0.8158,0.0909,0.1383,0.8750,asian,white,0.2415,0.1899
59,employee,0.8269,0.0381,0.1282,0.7500,asian,white,0.2515,0.1898
72,guitarist,0.9464,0.0466,0.0927,0.8750,asian,white,0.2849,0.1888
103,pensioner,0.8462,0.0225,0.1423,1.0000,asian,white,0.2344,0.1884
62,entrepreneur,0.9375,-0.0138,0.1038,0.7500,asian,white,0.2713,0.1875
112,poet,0.8971,0.0779,0.1489,0.8750,asian,white,0.2248,0.1868
11,assistant,0.8235,-0.0297,0.1239,0.8750,asian,white,0.2450,0.1844
27,butler,0.8438,0.0678,0.0972,0.8750,asian,white,0.2712,0.1842
89,lifeguard,0.8167,0.0821,0.1114,0.8750,asian,white,0.2559,0.1836
25,businessperson,0.7500,0.0660,0.1768,1.0000,asian,white,0.1901,0.1835
8,architect,0.7500,0.1326,0.1192,0.8750,asian,white,0.2474,0.1833
80,inspector,0.9000,0.1685,0.1409,0.8750,asian,white,0.2251,0.1830
118,prosecutor,0.8269,0.1734,0.1251,0.8750,asian,white,0.2388,0.1819
77,hostess,0.9412,-0.0082,0.0939,0.8750,asian,white,0.2697,0.1818
14,attendant,0.8636,-0.0952,0.1306,0.8750,asian,white,0.2323,0.1815
124,salesperson,0.8036,0.0947,0.1730,1.0000,asian,white,0.1885,0.1807
55,driver,0.8958,0.0249,0.0944,0.8750,asian,white,0.2662,0.1803
24,builder,0.9118,0.0972,0.0885,0.8750,asian,white,0.2718,0.1802
138,teacher,0.9107,0.0295,0.1079,0.8750,asian,white,0.2487,0.1783
66,fireman,0.8077,0.0127,0.0934,0.8750,asian,white,0.2613,0.1774
10,artist,0.9038,-0.0667,0.0719,0.8750,asian,white,0.2822,0.1770
40,commander,0.9091,0.0062,0.1094,0.8750,asian,white,0.2445,0.1770
2,actor,0.9167,-0.0051,0.1329,0.8750,asian,hispanic,0.2201,0.1765
136,swimmer,0.8667,-0.0338,0.0839,0.8750,asian,white,0.2676,0.1757
43,cook,0.9773,0.0238,0.0646,0.8750,asian,white,0.2856,0.1751
92,manager,0.9000,0.0556,0.0597,0.8750,asian,black,0.2904,0.1750
13,athlete,0.9545,-0.0131,0.0698,0.7500,asian,white,0.2796,0.1747
133,soldier,0.9118,0.0986,0.0951,0.8750,asian,white,0.2533,0.1742
73,hairdresser,0.8125,0.0800,0.0869,0.8750,asian,white,0.2596,0.1732
115,postman,0.8462,0.1137,0.1582,1.0000,asian,white,0.1883,0.1732
79,illustrator,0.8676,0.1336,0.1285,0.8750,asian,white,0.2166,0.1726
91,magician,0.8125,0.0333,0.1115,0.8750,asian,white,0.2332,0.1723
47,delivery,0.9167,0.0106,0.0806,0.8750,asian,white,0.2640,0.1723
9,army,0.9423,0.0989,0.0890,0.8750,asian,white,0.2545,0.1718
135,surgeon,0.7273,0.0264,0.1261,0.8750,asian,white,0.2163,0.1712
97,mover,0.8553,0.0792,0.1289,0.8750,asian,white,0.2126,0.1707
99,nurse,0.9000,-0.0373,0.1070,0.8750,asian,white,0.2344,0.1707
54,drawer,0.8393,0.1191,0.1363,0.8750,asian,white,0.2049,0.1706
22,boxer,0.8906,-0.0353,0.0774,0.8750,asian,white,0.2620,0.1697
17,author,0.9583,-0.0715,0.0606,0.8750,asian,white,0.2780,0.1693
94,mechanic,0.8235,0.0375,0.1097,0.8750,asian,white,0.2262,0.1679
57,editor,0.8750,0.0248,0.0585,0.8750,asian,white,0.2766,0.1676
5,agent,0.9333,0.0774,0.0845,0.8750,asian,white,0.2506,0.1676
29,cashier,0.8810,0.0694,0.1174,1.0000,asian,white,0.2176,0.1675
128,servant,0.8167,0.0919,0.1219,0.8750,asian,white,0.2122,0.1671
69,gambler,0.8824,0.1330,0.1001,0.8750,asian,white,0.2316,0.1659
114,politician,0.8438,0.1358,0.1146,0.6250,asian,white,0.2169,0.1657
16,auditor,0.8750,0.1031,0.0953,0.8750,asian,white,0.2359,0.1656
129,sheriff,0.9444,0.0971,0.1037,0.7500,asian,hispanic,0.2230,0.1633
48,dentist,0.7955,0.0869,0.1052,0.8750,asian,white,0.2213,0.1632
39,comedian,0.9643,0.0376,0.0738,0.8750,asian,white,0.2499,0.1618
127,security guard,0.8636,-0.0252,0.1076,0.8750,asian,white,0.2138,0.1607
95,medical student,0.8500,0.1012,0.2066,1.0000,asian,white,0.1140,0.1603
107,physician,0.8571,0.0551,0.1231,1.0000,asian,white,0.1954,0.1593
19,banker,0.9667,0.0785,0.0795,0.8750,asian,white,0.2377,0.1586
141,umpire,0.7750,0.0901,0.1155,0.8750,asian,white,0.2012,0.1584
52,director,1.0000,-0.0053,0.0447,0.8750,asian,white,0.2715,0.1581
102,painter,0.9038,0.0398,0.0607,0.8750,asian,white,0.2544,0.1575
86,lawn mower,0.8667,0.0889,0.0990,1.0000,asian,white,0.2160,0.1575
121,realtor,0.8542,0.0874,0.0996,0.8750,asian,white,0.2153,0.1574
104,performing artist,0.8846,0.0611,0.0848,0.8750,asian,white,0.2297,0.1572
67,football player,0.9615,-0.0609,0.0812,0.8750,asian,white,0.2327,0.1570
111,plumber,0.8438,0.1015,0.1063,0.8750,asian,white,0.2076,0.1569
18,baker,0.9167,-0.0465,0.0669,0.8750,asian,black,0.2462,0.1566
126,secretary,0.8750,0.0276,0.1050,0.8750,asian,white,0.2080,0.1565
70,grocer,0.8929,-0.0012,0.1016,0.8750,asian,white,0.2103,0.1560
78,housekeeper,0.8182,0.0225,0.0813,0.8750,asian,white,0.2287,0.1550
139,tennis player,0.9118,0.0383,0.0951,1.0000,asian,white,0.2132,0.1541
110,pilot,0.8611,0.0821,0.0855,0.8750,asian,white,0.2226,0.1541
23,broker,0.8750,0.0081,0.0816,0.8750,asian,white,0.2265,0.1540
1,accountant,0.9583,0.0732,0.0788,0.8750,asian,white,0.2289,0.1539
30,CEO,0.9375,0.0288,0.0674,0.7500,asian,white,0.2386,0.1530
15,attourney,0.8750,0.0070,0.0817,0.8750,asian,white,0.2221,0.1519
117,professor,0.9643,-0.0629,0.1102,0.8750,asian,white,0.1929,0.1516
137,tailor,0.7941,0.0762,0.1094,0.8750,asian,black,0.1936,0.1515
51,diplomat,0.8333,-0.0060,0.0842,0.8750,asian,white,0.2186,0.1514
134,supervisor,0.8929,0.0559,0.0887,0.8750,asian,white,0.2124,0.1505
131,sociologist,0.9615,0.0550,0.0727,0.8750,asian,hispanic,0.2280,0.1503
87,lawyer,0.9474,0.0111,0.0693,0.8750,asian,white,0.2312,0.1502
63,executive,0.8333,0.0081,0.0850,0.8750,asian,white,0.2114,0.1482
44,counselor,0.9643,0.0554,0.0630,0.8750,asian,white,0.2297,0.1464
37,clerk,0.9559,0.0753,0.0845,0.8750,asian,white,0.2033,0.1439
61,engineer,0.8750,-0.0049,0.0897,0.8750,asian,white,0.1975,0.1436
82,journalist,0.9821,0.0367,0.0446,0.8750,asian,white,0.2425,0.1436
90,linguist,0.8594,0.1488,0.1428,1.0000,asian,white,0.1420,0.1424
34,chief,0.8571,0.1164,0.1042,0.8750,asian,white,0.1795,0.1418
0,academic,0.8625,0.0618,0.0891,0.7500,asian,white,0.1930,0.1410
125,scientist,0.7727,-0.0147,0.1167,1.0000,asian,black,0.1653,0.1410
122,receptionist,0.7857,0.1212,0.0917,1.0000,asian,white,0.1897,0.1407
123,researcher,0.9167,0.1371,0.1120,1.0000,asian,hispanic,0.1689,0.1405
113,police officer,0.9286,0.0260,0.0603,0.8750,asian,white,0.2179,0.1391
96,model,0.9615,0.0002,0.0973,0.8750,asian,white,0.1805,0.1389
36,cleaner,0.9773,0.0293,0.0402,0.8750,asian,white,0.2325,0.1364
7,analyst,0.9062,0.0815,0.0838,0.8750,asian,white,0.1888,0.1363
32,chemist,0.8906,0.0899,0.0959,1.0000,asian,white,0.1767,0.1363
119,psychologist,0.9706,-0.0416,0.0676,1.0000,asian,white,0.2049,0.1363
81,janitor,0.9423,0.0927,0.1086,1.0000,asian,white,0.1607,0.1347
42,construction worker,0.9028,0.0897,0.0831,1.0000,asian,white,0.1855,0.1343
105,pharmacist,0.9792,0.0406,0.0525,0.8750,asian,black,0.2140,0.1333
101,opera singer,0.9643,-0.0690,0.0912,1.0000,asian,white,0.1745,0.1328
76,historian,0.9750,0.0580,0.0773,0.8750,asian,white,0.1852,0.1312
56,economist,0.9000,0.0054,0.0425,0.8750,asian,white,0.2155,0.1290
84,laborer,0.8462,0.0238,0.0812,1.0000,asian,white,0.1752,0.1282
120,radiologist,0.8594,0.0495,0.1176,1.0000,asian,black,0.1378,0.1277
53,doctor,0.9333,0.0180,0.0332,0.8750,asian,white,0.2206,0.1269
132,software engineer,0.7667,0.0473,0.1416,1.0000,asian,white,0.1096,0.1256
100,office worker,0.9333,0.0147,0.0923,1.0000,asian,white,0.1578,0.1250
28,carpenter,0.8571,0.0337,0.1312,1.0000,asian,white,0.1160,0.1236
50,detective,0.8833,-0.0152,0.0395,0.8750,asian,white,0.2060,0.1228
93,mathematician,0.9167,0.0333,0.1308,1.0000,hispanic,white,0.1012,0.1160
88,librarian,1.0000,-0.0100,0.0408,1.0000,asian,white,0.1585,0.0996
108,physicist,0.8824,0.0994,0.1022,1.0000,asian,white,0.0964,0.0993
68,foster parent,1.0000,-0.0034,0.0359,1.0000,asian,black,0.1598,0.0979
74,handball player,0.8667,0.1139,0.0908,1.0000,asian,black,0.1019,0.0963
4,aeronautical engineer,0.9167,0.0209,0.0342,1.0000,asian,white,0.1516,0.0929
75,handyman,0.9118,0.0007,0.0496,1.0000,asian,black,0.1269,0.0882
33,chess player,0.8542,-0.0082,0.0355,1.0000,asian,white,0.1052,0.0703
