,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
template,A1,A2,A3,A4,A,B1,B2,B3,B4,B,C1,C2,C3,C4,C,Gender,Race-AB,Race-C
en1,0.13542736320465337,0.14118576623965054,0.052874381903191686,0.015282234562368229,0.08619243647746597,0.16262565414296115,0.1563355808731576,0.0041913549107512535,0.002648882179496938,0.08145036802659172,0.08033973797214554,0.0317677264723567,0.08753805709781495,0.061475804046673806,0.06528033139724775,0.1272420265883972,0.018749213388952024,0.04662176525951525
nn1,0.8250840337332338,0.8162825690694153,0.8930019425674224,0.9318439539136558,0.8665531248209318,0.8110801325663924,0.7999636696428061,0.9872877673364021,0.981453957228825,0.8949463816936065,0.7751127199289647,0.8620740478350357,0.7571929928554176,0.7827032890073482,0.7942707624066916,0.7974526862993717,0.9483969052615764,0.822388668421192
cn1,0.03948860222613439,0.04253166314028203,0.054123675942578366,0.052873810233371656,0.04725443788559161,0.02629421560280025,0.043700748024741186,0.008520881019034227,0.01589716022336406,0.023603251217484928,0.14454753970370648,0.10615822712795554,0.1552689512152502,0.15582090858336667,0.1404489066575697,0.07530528665215243,0.032853881854587076,0.1309895678556611
en2,0.11666642845026218,0.1751721446707379,0.10050894077998442,0.018556682035680217,0.10272604898416618,0.07918835792783648,0.06381865390474559,0.006848016086454228,0.0026300041595120624,0.03812125801963709,0.11268158266667594,0.029266174496363172,0.07429181297804222,0.06355116551316553,0.06994768391356171,0.10363649676638338,0.03213591076540773,0.046408670004764355
nn2,0.8137252270281314,0.7672395240664482,0.8680243538299077,0.9485328413289169,0.8493804865633511,0.8642164390049875,0.8550727639123797,0.9808852634799312,0.9803692939980276,0.9201359400988315,0.7051942348480225,0.836867930367589,0.7184700508936778,0.8078094179010625,0.7670854085025879,0.7873197066256078,0.9444529381591958,0.8223386741343257
cn2,0.0696083426370751,0.05758833207504358,0.031466705209746114,0.03291047730980891,0.047893464307918424,0.05659520107717253,0.08110858176345936,0.01226671789379292,0.017000702727618146,0.041742800865510736,0.18212418347359338,0.1338658909980123,0.20723813487465054,0.1286394158190977,0.16296690629133848,0.10904379598349907,0.023411150785241523,0.13125265340855502
en3,,,0.2032657829244477,0.08577337366898127,0.14451957829671447,,,0.01003369201191137,0.004474827670492232,0.007254259841201801,,,,,,,0.07588691906895813,
nn3,,,0.6679875821294919,0.8193893607320457,0.7436884714307688,,,0.9060182315363011,0.8784180599553831,0.8922181457458421,,,,,,,0.8179533085883055,
cn3,,,0.12874663184383806,0.09483726721674461,0.11179194953029134,,,0.08394807413167937,0.11710712006155016,0.10052759709661477,,,,,,,0.10615977331345305,
en4,,,0.5107778353800236,0.3745976993492965,0.4426877673646601,,,0.1360797581695755,0.08437172318648162,0.11022574067802855,,,,,,,0.2764567540213443,
nn4,,,0.3380977662516312,0.4821877981825122,0.4101427822170717,,,0.740617219621027,0.815798843729085,0.7782080316750559,,,,,,,0.5941754069460639,
cn4,,,0.15112439380355283,0.14321450222733206,0.14716944801544246,,,0.12330302045169012,0.0998294329238606,0.11156622668777536,,,,,,,0.1293678373516089,
en_avg,0.12604689582745776,0.15817895545519423,0.21685673524691185,0.12355249740408156,0.15615877098341135,0.1209070060353988,0.1100771173889516,0.039288205294673084,0.023531359298995712,0.0734509220045048,0.09651066031941075,0.03051695048435993,0.08091493503792858,0.06251348477991966,0.06761400765540473,0.11543926167739031,0.10080719931116555,0.046515217632139796
