,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
15,colorful,0.9265,0.0659,0.0593,0.8750,asian,black,0.3323,0.1958
64,masculine,0.9375,0.0560,0.0749,1.0000,asian,white,0.1679,0.1214
73,poor,0.8529,0.1561,0.1485,1.0000,asian,black,0.0328,0.0907
115,welcome,0.8077,0.0780,0.1590,1.0000,asian,black,0.0122,0.0856
12,cautious,0.8676,0.1199,0.1421,1.0000,asian,hispanic,0.0157,0.0789
21,dangerous,0.9167,0.1469,0.1375,1.0000,asian,white,0.0134,0.0754
53,impossible,0.8529,0.0512,0.0941,1.0000,asian,white,0.0482,0.0711
111,violent,0.8947,0.1190,0.1086,1.0000,asian,white,0.0330,0.0708
10,careful,0.8472,0.1579,0.1199,1.0000,asian,white,0.0173,0.0686
113,wealthy,0.8636,0.1238,0.1210,1.0000,asian,black,0.0147,0.0679
110,uptight,0.8077,0.1089,0.1193,1.0000,asian,hispanic,0.0152,0.0672
107,uncare,0.9231,0.0864,0.0671,1.0000,asian,black,0.0628,0.0649
57,irresponsible,0.9412,0.1124,0.1016,1.0000,asian,white,0.0265,0.0640
58,late,0.8750,0.1057,0.1175,1.0000,asian,hispanic,0.0103,0.0639
74,powerful,0.9412,0.1055,0.1091,1.0000,asian,white,0.0142,0.0616
30,feminine,0.9722,-0.0603,0.0455,1.0000,asian,black,0.0756,0.0605
54,impoverish,0.9038,-0.0075,0.0707,1.0000,asian,black,0.0498,0.0603
29,fat,0.9167,-0.0182,0.0436,1.0000,asian,white,0.0762,0.0599
45,harsh,0.8889,0.1220,0.1063,1.0000,asian,white,0.0114,0.0589
67,naive,0.9079,0.1250,0.0950,1.0000,asian,hispanic,0.0195,0.0572
34,flamboyant,0.8804,0.0829,0.1028,1.0000,asian,hispanic,0.0116,0.0572
52,important,0.9531,0.0388,0.1047,1.0000,asian,white,0.0094,0.0571
25,dishonest,0.9348,0.1263,0.1006,1.0000,asian,white,0.0134,0.0570
42,gross,0.9559,0.0544,0.0697,1.0000,asian,black,0.0423,0.0560
36,free,0.9167,0.0790,0.0565,1.0000,asian,black,0.0554,0.0560
92,social,0.9750,0.0517,0.0400,1.0000,asian,black,0.0706,0.0553
35,fragile,0.8529,0.0715,0.0889,1.0000,asian,hispanic,0.0199,0.0544
