,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
template,A1,A2,A3,A4,A,B1,B2,B3,B4,B,C1,C2,C3,C4,C,Gender,Race-AB,Race-C
en1,0.08750078654638492,0.05426257315062685,0.003596213939730865,0.003118440923321157,0.03711950364001595,0.18025099015905288,0.1401248458199552,0.0037498645907477804,0.0032104395454396204,0.08183403502879888,0.003264626302320431,0.002546890580561012,0.015156047295322949,0.005911544964307768,0.006719777285628039,0.08009331154561054,0.003418739749809856,0.004229217772434389
nn1,0.8875512220486999,0.9323809418082237,0.9906052195690047,0.9906600986061425,0.9502993705080177,0.7844761981973425,0.8473883472774177,0.9929073965045768,0.9922181357597483,0.9042475194347713,0.9300587028264999,0.927133099895648,0.9039397222136171,0.8787476910634484,0.9099698039998033,0.8809658557286335,0.9915977126098681,0.9029403954795482
cn1,0.02494799142680131,0.0133564853896969,0.005798564815539605,0.006221453810777065,0.01258112386070372,0.03527281268278602,0.012486808679183014,0.0033427324641207364,0.004571425328071326,0.013918444788540275,0.06667666958565725,0.0703200091375038,0.08090423114457329,0.11534076356331409,0.08331041835776211,0.03894083315144963,0.004983544104627183,0.09283038635040894
en2,0.031003582755220124,0.021736021719814744,0.0029494997768164414,0.002985605464220561,0.014668677429017967,0.06675540786038618,0.058794914345256986,0.003298068953625543,0.003179883158862077,0.0330070685795327,0.0031460034574302747,0.002006864057462239,0.008241485839797192,0.006552918101660311,0.004986817864087504,0.03161290266298425,0.0031032643383811552,0.004279891079561275
nn2,0.9114282723516226,0.9518894765675068,0.983866574478821,0.9781130055158302,0.9563243322284452,0.7814608485624194,0.8918307366371154,0.9891851028086434,0.9869314647954086,0.9123520382008967,0.9147893034238764,0.8989329228008335,0.7986179073033316,0.8887891316650193,0.8752823162982653,0.875002757474312,0.9845240368996758,0.8938610272329264
cn2,0.05756814397126436,0.026374502183520235,0.013183928829368571,0.01890139027643178,0.02900699131514624,0.15178374274307863,0.049374347826931626,0.00751682695552287,0.009888650777203769,0.05464089207568422,0.08206468828993434,0.09906020657879046,0.1931406089743553,0.10465794989920782,0.11973086343557199,0.09338433899818076,0.01237269920963175,0.10185907823899915
en3,,,0.0032215996073152293,0.003312871251496133,0.0032672354294056814,,,0.00300206260388376,0.0031997577251127824,0.003100910164498271,,,,,,,0.0031840727969519762,
nn3,,,0.9500514957266795,0.9784494196546489,0.9642504576906642,,,0.971703764418481,0.9803824640553573,0.9760431142369193,,,,,,,0.9701467859637917,
cn3,,,0.04672689936582891,0.018237708204682786,0.03248230378525585,,,0.025294173390827547,0.016417781601595724,0.020855977496211636,,,,,,,0.02666914064073374,
en4,,,0.029852073810155123,0.02289696539158066,0.02637451960086789,,,0.013692528029090502,0.012890474304781649,0.013291501166936075,,,,,,,0.01983301038390198,
nn4,,,0.8466061399856084,0.942737358397451,0.8946717491915297,,,0.952871065744212,0.9624427670034869,0.9576569163738494,,,,,,,0.9261643327826895,
cn4,,,0.1235417865452842,0.03436567870787634,0.07895373262658026,,,0.03343640286868937,0.024666758743917633,0.0290515808063035,,,,,,,0.05400265671644188,
en_avg,0.05925218465080252,0.0379992974352208,0.009904846783504414,0.008078470757654627,0.02880869990679559,0.12350319900971954,0.0994598800826061,0.005935631044336896,0.005620138683549032,0.05862971220505289,0.0032053148798753526,0.0022768773190116258,0.011698766567560071,0.006232231532984039,0.005853297574857772,0.055853107104297396,0.007384771817261241,0.004254554425997832
nn_avg,0.8994897472001612,0.9421352091878653,0.9427823574400284,0.9724899705435182,0.9392243210928932,0.782968523379881,0.8696095419572666,0.9766668323689783,0.9804937079035002,0.9024346514024065,0.9224240031251882,0.9130330113482408,0.8512788147584743,0.8837684113642339,0.8926260601490343,0.8779843066014729,0.9681082170640063,0.8984007113562373
cn_avg,0.041258067699032834,0.019865493786608568,0.04731279488900532,0.019431557749941993,0.031966978531147175,0.09352827771293232,0.03093057825305732,0.01739753391979013,0.013886154112697113,0.03893563599961922,0.0743706789377958,0.08469010785814714,0.1370224200594643,0.10999935673126096,0.10152064089666704,0.06616258607481519,0.02450701016785864,0.09734473229470406
en_std,0.03978407182049705,0.025349069100106134,0.011533704895476374,0.008575378936287296,0.021310556188091714,0.06772262961431988,0.05779660312758642,0.004513551257116706,0.004216053680951642,0.03356220941999366,0.00021779709904296127,0.0003868524892657826,0.006976638748808398,0.0035370641282915145,0.002779588116352164,0.032974468251726806,0.0072096721924580056,0.0019619583087786487
nn_std,0.04689890430495143,0.030121571734547613,0.059848077638717655,0.023462119394617814,0.04008266826820863,0.09740327453939245,0.06610024259518832,0.017491970414754525,0.013708580418093322,0.048676016991857154,0.026916089249735185,0.041635012021288276,0.1038006934171835,0.08181465022786798,0.06354161122901873,0.06187346264016642,0.028627686966545832,0.061724831124578126
cn_std,0.020385774894733914,0.00961027424831991,0.04912954862445844,0.01633162823359576,0.02386430650027701,0.06354204791405936,0.019236311050190125,0.013819796630635667,0.010219263109746137,0.02670435467615782,0.027008570426024815,0.041737586090510544,0.10001937104009039,0.08151946320760514,0.06257124769105772,0.03996705826223642,0.022375059149608998,0.06162852464905784
accstd,,,,,,,,,,,,,,,,,,
acc,0.94025,0.976,1.0,0.9978448275862069,0.9785237068965517,0.86925,0.88925,1.0,1.0,0.9396249999999999,0.9680851063829787,0.9715909090909091,0.8650137741046833,0.8975409836065574,0.9255576932962821,0.9179748134146104,0.9994612068965517,0.9345659463487332
