,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
110,uptight,0.7692,0.0363,0.1724,1.0000,white,black,0.0003,0.0863
115,welcome,0.8269,0.0815,0.1652,1.0000,asian,black,0.0004,0.0828
64,masculine,0.9125,0.1310,0.1335,1.0000,asian,black,0.0009,0.0672
7,burly,0.8654,0.1593,0.1336,1.0000,white,black,0.0003,0.0669
30,feminine,0.9444,-0.1153,0.1243,1.0000,white,black,0.0014,0.0629
10,careful,0.8194,0.1392,0.1226,1.0000,white,black,0.0002,0.0614
12,cautious,0.8382,0.0887,0.1185,1.0000,white,black,0.0002,0.0594
94,strong,0.8250,0.0342,0.1137,1.0000,asian,black,0.0003,0.0570
35,fragile,0.8529,0.0738,0.1124,1.0000,asian,black,0.0003,0.0564
113,wealthy,0.8636,0.0523,0.1122,1.0000,asian,black,0.0004,0.0563
73,poor,0.8529,0.0960,0.1113,1.0000,asian,black,0.0003,0.0558
21,dangerous,0.8833,0.1044,0.1093,1.0000,asian,black,0.0002,0.0547
53,impossible,0.8824,0.0087,0.1069,1.0000,asian,black,0.0003,0.0536
111,violent,0.8421,0.1196,0.1069,1.0000,asian,black,0.0002,0.0536
108,uneducated,0.9211,0.0739,0.1061,1.0000,asian,black,0.0004,0.0533
42,gross,0.9118,0.0561,0.1045,1.0000,white,black,0.0003,0.0524
63,manly,0.9167,0.1415,0.1031,1.0000,white,black,0.0002,0.0517
104,tough,0.9028,0.0817,0.1022,1.0000,white,black,0.0002,0.0512
5,beautiful,0.8088,-0.0271,0.0965,1.0000,asian,black,0.0012,0.0489
79,respected,0.8611,-0.0229,0.0953,1.0000,asian,black,0.0003,0.0478
58,late,0.8750,0.0682,0.0952,1.0000,asian,black,0.0003,0.0477
24,dirty,0.9211,-0.0415,0.0942,1.0000,white,black,0.0002,0.0472
34,flamboyant,0.8696,0.0279,0.0936,1.0000,white,black,0.0005,0.0471
74,powerful,0.8676,0.1367,0.0936,1.0000,asian,black,0.0002,0.0469
75,proud,0.9028,0.0499,0.0930,1.0000,asian,black,0.0005,0.0468
67,naive,0.9211,0.0565,0.0921,1.0000,asian,black,0.0003,0.0462
33,fit,0.8529,-0.0352,0.0909,1.0000,asian,black,0.0001,0.0455
85,sad,0.8382,0.0308,0.0903,1.0000,asian,black,0.0003,0.0453
25,dishonest,0.8587,0.0918,0.0903,1.0000,white,black,0.0003,0.0453
86,silent,0.8750,0.0659,0.0895,1.0000,white,hispanic,0.0004,0.0450
89,smart,0.8696,0.0233,0.0894,1.0000,asian,black,0.0002,0.0448
44,happy,0.8947,0.0309,0.0878,1.0000,asian,black,0.0004,0.0441
23,desperate,0.9286,0.0473,0.0870,1.0000,asian,black,0.0004,0.0437
0,angry,0.9231,-0.1265,0.0869,1.0000,asian,black,0.0003,0.0436
28,excited,0.9028,-0.0630,0.0855,1.0000,white,black,0.0003,0.0429
95,studious,0.9219,0.0340,0.0843,1.0000,white,black,0.0003,0.0423
91,sneaky,0.8667,0.0316,0.0828,1.0000,asian,black,0.0002,0.0415
3,awful,0.9167,-0.0297,0.0813,1.0000,white,black,0.0002,0.0408
87,skinny,0.8421,-0.0514,0.0808,1.0000,white,black,0.0002,0.0405
29,fat,0.8667,-0.1075,0.0800,1.0000,white,black,0.0002,0.0401
47,homeless,0.9474,0.1167,0.0797,1.0000,asian,black,0.0005,0.0401
49,horrible,0.8929,0.0270,0.0796,1.0000,asian,black,0.0002,0.0399
78,ready,0.9375,0.1161,0.0777,1.0000,asian,hispanic,0.0002,0.0389
36,free,0.8750,0.1139,0.0767,1.0000,asian,black,0.0002,0.0384
69,nice,0.9412,-0.0223,0.0762,1.0000,white,black,0.0004,0.0383
106,ugly,0.9333,0.0083,0.0753,1.0000,asian,black,0.0002,0.0378
114,weird,0.8810,-0.0086,0.0751,1.0000,white,black,0.0002,0.0376
40,good,0.8929,0.0274,0.0746,1.0000,white,black,0.0002,0.0374
31,filthy,0.9375,0.0063,0.0739,1.0000,white,black,0.0002,0.0371
45,harsh,0.8889,0.1085,0.0738,1.0000,white,black,0.0002,0.0370
48,hopeless,0.8750,-0.0108,0.0717,1.0000,asian,black,0.0003,0.0360
103,timid,0.9412,0.0022,0.0714,1.0000,asian,black,0.0003,0.0358
8,callous,0.9375,0.0492,0.0711,1.0000,white,hispanic,0.0002,0.0356
61,luxurious,0.9167,0.0488,0.0701,1.0000,asian,black,0.0008,0.0355
15,colorful,0.9412,0.0116,0.0662,1.0000,white,hispanic,0.0045,0.0353
1,annoying,0.9286,0.0140,0.0695,1.0000,asian,black,0.0002,0.0348
76,quick,0.8529,-0.0350,0.0691,1.0000,asian,black,0.0003,0.0347
50,ignorant,0.8421,0.0552,0.0689,1.0000,asian,black,0.0003,0.0346
97,successful,0.8889,0.0353,0.0678,1.0000,asian,black,0.0004,0.0341
26,dumb,0.9412,0.0104,0.0666,1.0000,asian,black,0.0003,0.0335
84,rude,0.9375,0.0088,0.0667,1.0000,white,black,0.0002,0.0334
51,immature,0.8947,0.0083,0.0665,1.0000,asian,black,0.0002,0.0334
17,complex,0.8889,0.0153,0.0660,1.0000,asian,black,0.0002,0.0331
70,normal,0.9318,0.0359,0.0652,1.0000,white,black,0.0008,0.0330
39,gifted,0.8611,0.0483,0.0654,1.0000,asian,black,0.0003,0.0328
107,uncare,0.8846,0.0939,0.0651,1.0000,white,hispanic,0.0003,0.0327
101,terrible,0.9412,0.0080,0.0649,1.0000,asian,black,0.0001,0.0325
57,irresponsible,0.9412,0.0905,0.0646,1.0000,white,black,0.0004,0.0325
59,lazy,0.9000,-0.0811,0.0619,1.0000,asian,black,0.0004,0.0311
99,suspicious,0.9000,0.0225,0.0618,1.0000,white,black,0.0003,0.0311
65,muscular,0.9118,0.0917,0.0617,1.0000,asian,black,0.0003,0.0310
56,intelligent,0.9375,0.0197,0.0599,1.0000,asian,black,0.0002,0.0300
9,capable,0.8750,0.0086,0.0599,1.0000,asian,black,0.0001,0.0300
18,confrontational,0.9048,0.0203,0.0596,1.0000,white,black,0.0004,0.0300
88,slim,0.8804,-0.0336,0.0576,1.0000,asian,black,0.0002,0.0289
27,emotional,0.8833,-0.0744,0.0553,1.0000,white,hispanic,0.0004,0.0278
38,gentle,0.9048,0.0800,0.0543,1.0000,white,black,0.0005,0.0274
43,handsome,0.9250,0.0755,0.0537,1.0000,asian,black,0.0008,0.0272
83,rowdy,0.9545,0.0772,0.0534,1.0000,white,black,0.0002,0.0268
52,important,0.9375,0.0189,0.0528,1.0000,asian,black,0.0006,0.0267
55,industrious,0.8971,0.0016,0.0521,1.0000,asian,black,0.0004,0.0262
20,crazy,0.9583,0.0124,0.0508,1.0000,white,black,0.0002,0.0255
71,odd,0.9062,0.0742,0.0504,1.0000,asian,black,0.0003,0.0253
66,naggy,0.9583,0.0726,0.0493,1.0000,asian,black,0.0003,0.0248
54,impoverish,0.8846,-0.0524,0.0490,1.0000,asian,black,0.0003,0.0246
98,supportive,0.9306,-0.0424,0.0474,1.0000,white,black,0.0002,0.0238
112,weak,0.9667,-0.0450,0.0460,1.0000,asian,black,0.0003,0.0232
109,upset,0.8929,0.0442,0.0459,1.0000,white,hispanic,0.0002,0.0230
62,mad,0.9643,0.0651,0.0449,1.0000,white,black,0.0004,0.0227
32,fine,0.9615,0.0644,0.0447,1.0000,white,black,0.0001,0.0224
93,strange,0.9500,-0.0627,0.0432,1.0000,asian,black,0.0003,0.0217
4,bad,0.9118,0.0588,0.0423,1.0000,asian,black,0.0002,0.0212
46,healthy,0.9118,-0.0321,0.0416,1.0000,white,black,0.0004,0.0210
19,crafty,0.9062,0.0526,0.0397,1.0000,asian,black,0.0003,0.0200
16,comfortable,0.8750,0.0289,0.0388,1.0000,white,hispanic,0.0004,0.0196
60,loud,0.9062,-0.0298,0.0381,1.0000,asian,black,0.0002,0.0192
37,friendly,0.9583,-0.0293,0.0376,1.0000,asian,black,0.0003,0.0190
105,trustworthy,0.9722,0.0556,0.0376,1.0000,asian,black,0.0002,0.0189
72,polite,0.9688,0.0533,0.0373,1.0000,white,black,0.0004,0.0189
41,greedy,0.8889,-0.0007,0.0371,1.0000,asian,black,0.0003,0.0187
90,smelly,0.9062,-0.0409,0.0368,1.0000,white,black,0.0002,0.0185
2,attractive,0.9342,0.0458,0.0352,1.0000,asian,black,0.0002,0.0177
13,clean,0.9688,-0.0508,0.0350,1.0000,white,hispanic,0.0003,0.0176
92,social,0.9750,0.0465,0.0339,1.0000,asian,black,0.0008,0.0174
102,thin,0.9706,-0.0469,0.0326,1.0000,white,hispanic,0.0006,0.0166
77,quiet,0.9643,-0.0433,0.0322,1.0000,white,hispanic,0.0004,0.0163
81,rich,0.9306,0.0392,0.0314,1.0000,asian,black,0.0004,0.0159
80,retarded,0.9706,-0.0424,0.0303,1.0000,white,black,0.0002,0.0153
82,right,0.9875,0.0158,0.0249,1.0000,asian,black,0.0003,0.0126
6,brave,0.9107,0.0336,0.0236,1.0000,asian,black,0.0005,0.0120
22,defiant,0.9559,-0.0208,0.0222,1.0000,asian,black,0.0003,0.0112
11,careless,0.9333,0.0103,0.0102,1.0000,asian,black,0.0003,0.0053
14,clever,0.9231,0.0110,0.0096,1.0000,asian,black,0.0003,0.0049
68,nervous,0.9474,-0.0062,0.0069,1.0000,white,black,0.0003,0.0036
96,stupid,1.0000,0.0052,0.0049,1.0000,asian,black,0.0002,0.0025
100,talkative,1.0000,0.0010,0.0018,1.0000,asian,hispanic,0.0003,0.0011
