,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
template,A1,A2,A3,A4,A,B1,B2,B3,B4,B,C1,C2,C3,C4,C,Gender,Race,Race-AB,Race-C
en1,0.3070137412436306,0.24987763443775474,0.019840490000820915,0.01609792955849994,0.14820744881017656,0.258386746420525,0.23643742291163652,0.008094819746321251,0.009786178076896688,0.12817629178884485,0.35530298385531345,0.1485444577304985,0.20492155995019826,0.1368982868529589,0.21141682209724227,0.2686566814698431,0.05654369366099937,0.013454854345634698,0.1427213722917287
nn1,0.5919576511383057,0.6696448428370059,0.9741048804471191,0.9752358614370741,0.8027358089648762,0.6132128181457519,0.6473011929281056,0.9894252444656801,0.9869964888383602,0.8092339360944745,0.547649511631499,0.7844669808718291,0.743110438085292,0.8103594435073558,0.721396593523994,0.63547940912766,0.920098149927903,0.9814406187970584,0.7974132121895925
cn1,0.1010286082951352,0.080477523928741,0.006054629698808921,0.008666211870651499,0.049056743448334154,0.1284004348749295,0.116261385794729,0.0024799386475523803,0.0032173324605161003,0.06258977294443174,0.09704750637583276,0.06698855877832764,0.05196800277941699,0.05274226863822732,0.06718658414295119,0.09586391034146406,0.02335815668234731,0.005104528169382225,0.059865413708277485
en2,0.3359845784381032,0.2543130885530263,0.02227556414436549,0.012814687689413028,0.15634697970622702,0.25523708426579833,0.2397197604626417,0.011305098512052546,0.007861533902730021,0.12853086928580565,0.36250097637480877,0.09872293008745393,0.20426679311766605,0.17011769514909725,0.2089020986822565,0.27533704686867405,0.05384958491418538,0.013564221062140272,0.13442031261827558
nn2,0.5546869594007731,0.6739447468519211,0.9726001448194745,0.9835510171692947,0.7961957170603658,0.6251381761357189,0.6630518373847007,0.9843874183339132,0.9897284456368151,0.8155764693727869,0.5657679203184361,0.8294374895366755,0.7304609901587332,0.777713174684561,0.7258448936746015,0.6355084383750472,0.9229029483634558,0.9825667564898743,0.8035753321106183
cn2,0.10932846228405833,0.07174216493917629,0.005124294326122535,0.0036343026571056068,0.047457306051615696,0.11962474027462304,0.09722840243950487,0.004307480874917352,0.0024100236207294954,0.0558926618024437,0.0717311036138934,0.07183958013245667,0.06527221889796951,0.052169129136674486,0.06525300794524852,0.08915451540820424,0.023247468458001023,0.0038690253697187477,0.06200435463456558
en3,,,0.25974681677008177,0.17699091842976108,0.2183688675999214,,,0.11739372556478204,0.06672235754125848,0.09205804155302026,,,,,,,0.15521345457647082,0.15521345457647082,
nn3,,,0.7172713079293009,0.8074107743028937,0.7623410411160974,,,0.8603550237669072,0.9255274960706974,0.8929412599188022,,,,,,,0.8276411505174499,0.8276411505174499,
cn3,,,0.022981875177643354,0.015598306336022657,0.019290090756833005,,,0.022251256062767247,0.0077501459284043265,0.015000700995585786,,,,,,,0.017145395876209397,0.017145395876209397,
en4,,,0.13001922785606182,0.09132603216707579,0.1106726300115688,,,0.057704231049209624,0.04813265053410854,0.05291844079165908,,,,,,,0.08179553540161394,0.08179553540161394,
nn4,,,0.8616885849287812,0.9000581919119276,0.8808733884203543,,,0.9365281021930802,0.9472711070858199,0.9418996046394501,,,,,,,0.9113864965299022,0.9113864965299022,
cn4,,,0.008292187766899998,0.0086157712623766,0.0084539795146383,,,0.005767669770571495,0.004596253177592659,0.005181961474082077,,,,,,,0.006817970494360188,0.006817970494360188,
en_avg,0.3214991598408669,0.2520953614953905,0.10797052469283251,0.07430739196118746,0.18896810949756937,0.25681191534316167,0.23807859168713913,0.04862446871809137,0.03312568001374843,0.14416016394053513,0.35890198011506114,0.12363369390897622,0.20459417653393216,0.15350799100102808,0.2101594603897494,0.27199686416925856,0.09019495838264402,0.06600701634646494,0.13857084245500215
nn_avg,0.5733223052695393,0.6717947948444635,0.8814162295311689,0.9165639612052975,0.7607743227126174,0.6191754971407354,0.6551765151564032,0.9426739471898952,0.9623808844079231,0.7948517109737392,0.5567087159749675,0.8069522352042523,0.7367857141220127,0.7940363090959583,0.7236207435992977,0.6354939237513536,0.8840039277724158,0.9257587555835711,0.8004942721501054
cn_avg,0.10517853528959677,0.07610984443395864,0.010613246742368703,0.00912864803153909,0.050257568624365805,0.12401258757477626,0.10674489411711693,0.008701586338952119,0.004493438796810645,0.06098812670691399,0.08438930499486308,0.06941406945539215,0.05862011083869325,0.0524556988874509,0.06621979604409985,0.09250921287483416,0.025801114708752265,0.00823422997741764,0.060934884171421524
en_std,0.05102862046100199,0.042297308228909966,0.10170646440818717,0.07017972437291084,0.0663030293677525,0.046140611140523105,0.04254666666453704,0.04593373808051208,0.027313317098325445,0.04048358324597441,0.04077874373723852,0.04372268274362961,0.05937264061317402,0.05220550823048784,0.0490198938311325,0.04702743180756411,0.056843572489008835,0.06128331098998388,0.047964095487058725
nn_std,0.04886179465055466,0.03986687725223601,0.10895889926740177,0.07536863894874474,0.06826405252973429,0.047952628817409276,0.0487231947015971,0.05338186308444258,0.029590645678183213,0.04491208307040804,0.044559193140965826,0.060067869892174545,0.06942937053616874,0.06182719109203957,0.05897090616533717,0.04989884318315527,0.0648658513271644,0.06682501174469307,0.060947530492107056
cn_std,0.014900798306334763,0.012239106666413136,0.008111338858264419,0.006884342883517179,0.010533896678632373,0.01837972514005378,0.020698520286008715,0.00803834488254913,0.002671939207891967,0.012447132379125897,0.024338852916348803,0.024871538644550707,0.02167814270033278,0.02066754656749015,0.02288902020718061,0.018705857669248663,0.011874175174043926,0.006426491458055674,0.02276954260602043
accstd,,,,,,,,,,,,,,,,,,,
acc,0.78275,0.88425,0.9947183098591549,0.9892241379310345,0.9127356119475474,0.77775,0.83425,1.0,1.0,0.903,0.6914893617021277,0.9602272727272727,0.8842975206611571,0.9262295081967213,0.8655609158218197,0.8091311470605475,0.978399871452364,0.9959856119475473,0.943228390461997
std,0.0765274756119276,0.06293552809837274,0.14585113502256888,0.10162180413678183,0.09673398571741278,0.07498197673199078,0.07464558776809523,0.07156929736500253,0.039717267989600416,0.06522853246367225,0.07311785986303544,0.08577472752023657,0.10032010256645037,0.08980016392667838,0.08725321346910019,0.07708808843997869,0.08905573266014477,0.08968987612848842,0.08778744572345748
