,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
15,colorful,0.9722,0.0081,0.0725,0.8750,white,hispanic,0.1738,0.1232
13,clean,0.8971,-0.0346,0.0656,1.0000,white,asian,0.0834,0.0745
42,gross,1.0000,-0.1160,0.1302,1.0000,white,hispanic,0.0148,0.0725
30,feminine,0.9167,-0.0975,0.1276,1.0000,white,asian,0.0089,0.0682
97,successful,0.7391,0.0756,0.0772,1.0000,white,asian,0.0479,0.0625
34,flamboyant,0.5789,0.0579,0.0945,1.0000,white,black,0.0181,0.0563
75,proud,0.6875,0.0672,0.0926,1.0000,white,hispanic,0.0183,0.0554
10,careful,1.0000,0.0211,0.0831,1.0000,black,asian,0.0256,0.0543
86,silent,0.9118,-0.0197,0.1015,1.0000,white,asian,0.0048,0.0531
43,handsome,0.8594,0.1285,0.1004,1.0000,white,asian,0.0056,0.0530
76,quick,0.9286,-0.0392,0.0986,1.0000,white,hispanic,0.0052,0.0519
65,muscular,0.9125,0.1119,0.0988,1.0000,white,hispanic,0.0016,0.0502
66,naggy,0.9375,0.0357,0.0968,1.0000,asian,black,0.0034,0.0501
29,fat,0.9405,0.0311,0.0773,1.0000,white,hispanic,0.0228,0.0501
92,social,0.8393,-0.0012,0.0795,1.0000,white,hispanic,0.0185,0.0490
55,industrious,0.6944,0.0615,0.0909,1.0000,white,hispanic,0.0050,0.0480
53,impossible,1.0000,-0.0096,0.0757,1.0000,white,hispanic,0.0199,0.0478
54,impoverish,0.9881,-0.0124,0.0574,1.0000,white,hispanic,0.0369,0.0472
61,luxurious,0.9583,-0.0181,0.0862,1.0000,white,hispanic,0.0059,0.0461
60,loud,0.9464,-0.0955,0.0899,1.0000,white,asian,0.0018,0.0458
95,studious,0.6912,0.0377,0.0845,1.0000,white,asian,0.0053,0.0449
16,comfortable,0.7500,-0.0728,0.0860,1.0000,white,hispanic,0.0035,0.0448
109,upset,0.8594,-0.0698,0.0857,1.0000,white,asian,0.0038,0.0447
77,quiet,0.9615,0.0372,0.0852,1.0000,white,hispanic,0.0040,0.0446
40,good,0.9833,-0.0673,0.0670,1.0000,white,asian,0.0218,0.0444
12,cautious,0.9412,0.0395,0.0806,1.0000,white,asian,0.0061,0.0433
106,ugly,1.0000,-0.0328,0.0470,1.0000,white,asian,0.0383,0.0426
28,excited,0.8500,-0.0401,0.0835,1.0000,white,hispanic,0.0016,0.0426
48,hopeless,0.9737,-0.0166,0.0672,1.0000,white,asian,0.0178,0.0425
104,tough,0.8824,0.0558,0.0774,1.0000,white,black,0.0055,0.0414
88,slim,0.9028,-0.0712,0.0764,1.0000,white,asian,0.0059,0.0412
100,talkative,0.9412,-0.0630,0.0783,1.0000,white,black,0.0023,0.0403
35,fragile,0.9524,-0.0887,0.0677,1.0000,white,asian,0.0124,0.0401
79,respected,0.9219,0.0340,0.0764,1.0000,white,asian,0.0033,0.0399
3,awful,1.0000,-0.0721,0.0612,1.0000,white,hispanic,0.0176,0.0394
64,masculine,0.9250,0.0691,0.0717,1.0000,white,asian,0.0055,0.0386
63,manly,0.9265,0.0486,0.0698,1.0000,white,hispanic,0.0055,0.0377
5,beautiful,0.9000,-0.0462,0.0622,1.0000,white,asian,0.0126,0.0374
46,healthy,0.8382,0.0106,0.0621,1.0000,white,hispanic,0.0125,0.0373
73,poor,0.9211,0.0087,0.0658,1.0000,white,hispanic,0.0079,0.0368
19,crafty,0.8571,0.0294,0.0700,1.0000,white,asian,0.0028,0.0364
72,polite,0.8289,-0.0482,0.0699,1.0000,white,hispanic,0.0028,0.0364
62,mad,0.9125,0.0136,0.0641,1.0000,white,asian,0.0066,0.0353
36,free,0.9474,-0.0303,0.0604,1.0000,white,asian,0.0103,0.0353
94,strong,0.9667,-0.0348,0.0631,1.0000,white,black,0.0071,0.0351
22,defiant,0.9333,-0.0100,0.0661,1.0000,white,asian,0.0036,0.0349
24,dirty,1.0000,0.0116,0.0378,1.0000,white,asian,0.0309,0.0343
56,intelligent,0.9762,0.0164,0.0661,1.0000,white,black,0.0026,0.0343
7,burly,0.9167,0.0898,0.0668,1.0000,asian,black,0.0017,0.0343
83,rowdy,0.9688,0.0416,0.0650,1.0000,white,hispanic,0.0036,0.0343
44,happy,0.9265,-0.0575,0.0632,1.0000,white,asian,0.0050,0.0341
38,gentle,0.8690,0.0384,0.0631,1.0000,white,hispanic,0.0048,0.0339
2,attractive,0.9028,-0.0561,0.0619,1.0000,white,asian,0.0057,0.0338
52,important,1.0000,0.0055,0.0633,1.0000,white,asian,0.0041,0.0337
68,nervous,0.8750,-0.0344,0.0569,1.0000,black,asian,0.0095,0.0332
107,uncare,0.9750,-0.0291,0.0611,1.0000,white,hispanic,0.0048,0.0330
27,emotional,0.9000,-0.0305,0.0481,1.0000,white,asian,0.0177,0.0329
84,rude,0.9688,-0.0412,0.0606,1.0000,white,asian,0.0045,0.0326
69,nice,0.8125,-0.0076,0.0590,1.0000,white,hispanic,0.0051,0.0321
33,fit,0.8235,0.0125,0.0593,1.0000,white,hispanic,0.0042,0.0318
9,capable,0.9531,0.0210,0.0612,1.0000,white,asian,0.0021,0.0317
81,rich,0.8625,0.0264,0.0465,1.0000,white,hispanic,0.0163,0.0314
6,brave,0.9688,-0.0042,0.0576,1.0000,white,asian,0.0051,0.0313
70,normal,0.9750,-0.0001,0.0504,1.0000,white,asian,0.0116,0.0310
32,fine,1.0000,-0.0231,0.0480,1.0000,white,hispanic,0.0139,0.0309
18,confrontational,0.9167,0.0279,0.0596,1.0000,white,black,0.0018,0.0307
11,careless,1.0000,-0.0120,0.0437,1.0000,black,asian,0.0173,0.0305
115,welcome,0.9000,0.0039,0.0598,1.0000,white,asian,0.0010,0.0304
8,callous,0.9833,0.0158,0.0553,1.0000,white,asian,0.0044,0.0298
91,sneaky,0.9545,0.0239,0.0521,1.0000,white,hispanic,0.0070,0.0295
47,homeless,0.9667,-0.0147,0.0544,1.0000,white,hispanic,0.0031,0.0288
58,late,0.9844,-0.0281,0.0507,1.0000,white,black,0.0055,0.0281
103,timid,0.9545,-0.0158,0.0505,1.0000,white,hispanic,0.0053,0.0279
102,thin,1.0000,-0.0330,0.0409,1.0000,black,hispanic,0.0141,0.0275
49,horrible,1.0000,-0.0353,0.0414,1.0000,white,asian,0.0134,0.0274
31,filthy,0.9833,-0.0031,0.0384,1.0000,white,hispanic,0.0162,0.0273
17,complex,0.9737,0.0157,0.0364,1.0000,white,hispanic,0.0179,0.0271
14,clever,1.0000,0.0006,0.0491,1.0000,white,asian,0.0050,0.0270
113,wealthy,0.8676,0.0494,0.0446,1.0000,white,hispanic,0.0091,0.0268
39,gifted,0.9750,-0.0225,0.0501,1.0000,white,black,0.0033,0.0267
37,friendly,0.9821,-0.0145,0.0508,1.0000,white,hispanic,0.0025,0.0266
57,irresponsible,1.0000,-0.0063,0.0336,1.0000,white,hispanic,0.0195,0.0265
90,smelly,1.0000,0.0012,0.0466,1.0000,black,hispanic,0.0064,0.0265
50,ignorant,0.9773,0.0222,0.0493,1.0000,white,hispanic,0.0033,0.0263
45,harsh,0.9762,0.0000,0.0464,1.0000,white,hispanic,0.0051,0.0258
98,supportive,1.0000,0.0021,0.0501,1.0000,white,black,0.0006,0.0254
112,weak,1.0000,-0.0356,0.0415,1.0000,white,asian,0.0092,0.0253
1,annoying,0.9833,0.0017,0.0423,1.0000,white,asian,0.0082,0.0253
78,ready,0.9118,0.0194,0.0486,1.0000,white,asian,0.0018,0.0252
71,odd,1.0000,-0.0438,0.0403,1.0000,white,hispanic,0.0086,0.0245
0,angry,0.9125,-0.0227,0.0448,1.0000,white,asian,0.0024,0.0236
85,sad,1.0000,-0.0331,0.0415,1.0000,white,asian,0.0052,0.0233
89,smart,0.9853,0.0107,0.0433,1.0000,white,hispanic,0.0032,0.0232
4,bad,1.0000,-0.0263,0.0396,1.0000,white,asian,0.0066,0.0231
108,uneducated,0.9844,-0.0017,0.0338,1.0000,white,black,0.0119,0.0228
101,terrible,1.0000,-0.0132,0.0329,1.0000,white,asian,0.0126,0.0228
110,uptight,0.8194,-0.0154,0.0335,1.0000,white,hispanic,0.0100,0.0217
87,skinny,1.0000,-0.0190,0.0406,1.0000,white,hispanic,0.0026,0.0216
114,weird,1.0000,-0.0252,0.0356,1.0000,white,asian,0.0066,0.0211
99,suspicious,1.0000,-0.0134,0.0397,1.0000,white,hispanic,0.0020,0.0208
59,lazy,0.9853,0.0125,0.0389,1.0000,white,hispanic,0.0026,0.0207
25,dishonest,1.0000,-0.0193,0.0322,1.0000,white,asian,0.0090,0.0206
20,crazy,1.0000,-0.0396,0.0372,1.0000,white,asian,0.0030,0.0201
93,strange,1.0000,-0.0192,0.0338,1.0000,white,hispanic,0.0054,0.0196
41,greedy,0.9773,0.0099,0.0350,1.0000,black,hispanic,0.0038,0.0194
111,violent,1.0000,-0.0328,0.0328,1.0000,white,asian,0.0060,0.0194
80,retarded,1.0000,-0.0182,0.0259,1.0000,white,hispanic,0.0107,0.0183
105,trustworthy,1.0000,0.0309,0.0337,1.0000,white,asian,0.0019,0.0178
26,dumb,1.0000,0.0102,0.0305,1.0000,white,hispanic,0.0045,0.0175
96,stupid,1.0000,0.0055,0.0298,1.0000,white,asian,0.0045,0.0171
67,naive,1.0000,-0.0002,0.0271,1.0000,white,hispanic,0.0057,0.0164
82,right,1.0000,-0.0188,0.0245,1.0000,white,asian,0.0079,0.0162
23,desperate,1.0000,0.0205,0.0251,1.0000,white,hispanic,0.0067,0.0159
21,dangerous,1.0000,0.0080,0.0215,1.0000,white,asian,0.0096,0.0155
74,powerful,1.0000,-0.0117,0.0286,1.0000,white,asian,0.0016,0.0151
51,immature,1.0000,-0.0113,0.0214,1.0000,white,hispanic,0.0080,0.0147
