,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
30,feminine,0.8500,-0.0793,0.0889,0.7500,asian,black,0.3995,0.2442
95,studious,0.6912,0.1925,0.1555,0.8750,asian,black,0.3242,0.2398
58,late,0.7969,0.1534,0.1226,0.8750,asian,black,0.3301,0.2264
112,weak,0.8472,0.0814,0.0704,0.7500,asian,black,0.3740,0.2222
106,ugly,0.8056,0.0761,0.0709,0.8750,asian,black,0.3557,0.2133
72,polite,0.6711,0.1030,0.1032,0.8750,asian,black,0.3234,0.2133
29,fat,0.7619,0.0963,0.1034,0.8750,asian,black,0.3184,0.2109
102,thin,0.8375,0.0954,0.0922,0.8750,asian,black,0.3287,0.2105
64,masculine,0.8750,0.0543,0.0602,0.7500,asian,black,0.3604,0.2103
45,harsh,0.8095,0.1581,0.1198,0.8750,asian,black,0.2995,0.2096
46,healthy,0.7647,0.1611,0.1317,0.8750,asian,white,0.2859,0.2088
83,rowdy,0.8750,0.1219,0.1108,0.8750,asian,black,0.3059,0.2083
86,silent,0.7794,0.1303,0.1196,0.8750,asian,black,0.2943,0.2069
50,ignorant,0.8295,0.1838,0.1360,0.8750,asian,black,0.2778,0.2069
65,muscular,0.8375,0.1508,0.1148,0.8750,asian,black,0.2967,0.2058
73,poor,0.8421,0.0868,0.0798,0.8750,asian,black,0.3297,0.2047
115,welcome,0.8667,0.1113,0.1013,0.8750,asian,black,0.3022,0.2017
63,manly,0.8676,0.1694,0.1435,0.8750,asian,black,0.2595,0.2015
68,nervous,0.7361,0.1501,0.1258,0.8750,asian,black,0.2764,0.2011
36,free,0.8289,0.1102,0.1034,0.8750,asian,black,0.2986,0.2010
81,rich,0.8375,0.1287,0.1044,0.8750,asian,black,0.2972,0.2008
59,lazy,0.8088,0.1849,0.1387,0.8750,asian,black,0.2623,0.2005
60,loud,0.8750,0.0616,0.0751,0.8750,asian,black,0.3218,0.1985
9,capable,0.8438,0.1165,0.1133,0.8750,asian,white,0.2781,0.1957
88,slim,0.7917,0.0778,0.1102,0.8750,asian,black,0.2794,0.1948
26,dumb,0.8906,0.1184,0.0995,0.8750,asian,black,0.2887,0.1941
47,homeless,0.8667,0.1380,0.1143,0.8750,asian,black,0.2721,0.1932
87,skinny,0.7500,0.0673,0.1005,0.8750,asian,black,0.2852,0.1928
43,handsome,0.7812,0.1307,0.1039,0.8750,asian,black,0.2814,0.1927
78,ready,0.9265,0.0733,0.0722,0.8750,asian,white,0.3105,0.1914
48,hopeless,0.8684,0.1306,0.1091,0.8750,asian,black,0.2725,0.1908
84,rude,0.8125,0.1057,0.0937,0.8750,asian,black,0.2844,0.1890
44,happy,0.9412,0.0641,0.0676,0.8750,asian,black,0.3095,0.1886
0,angry,0.8625,0.0902,0.0876,0.8750,asian,black,0.2867,0.1871
92,social,0.8393,0.0822,0.0887,0.8750,asian,black,0.2854,0.1871
13,clean,0.8382,0.1103,0.0906,0.8750,asian,white,0.2833,0.1870
38,gentle,0.7143,0.0898,0.0896,0.8750,asian,white,0.2838,0.1867
109,upset,0.7812,0.0469,0.0655,0.8750,asian,black,0.3078,0.1866
32,fine,0.8036,0.1270,0.1048,0.8750,asian,white,0.2680,0.1864
105,trustworthy,0.8553,0.1246,0.0944,0.8750,asian,black,0.2770,0.1857
6,brave,0.8906,0.0990,0.0869,0.8750,asian,black,0.2839,0.1854
113,wealthy,0.7941,0.1031,0.0849,0.8750,asian,black,0.2852,0.1850
42,gross,0.8542,0.1228,0.1086,0.8750,asian,black,0.2581,0.1834
22,defiant,0.8333,0.1394,0.1097,0.8750,asian,black,0.2563,0.1830
21,dangerous,0.8000,0.1822,0.1334,0.8750,asian,black,0.2324,0.1829
103,timid,0.8182,0.1006,0.0943,0.8750,asian,black,0.2706,0.1825
16,comfortable,0.7639,0.1607,0.1236,0.8750,asian,black,0.2410,0.1823
70,normal,0.9375,0.0477,0.0609,0.8750,asian,white,0.3007,0.1808
40,good,0.8833,0.0855,0.0720,0.8750,asian,white,0.2895,0.1807
19,crafty,0.7143,0.1626,0.1248,0.8750,asian,black,0.2351,0.1800
76,quick,0.8929,0.0898,0.0760,0.8750,asian,white,0.2837,0.1799
34,flamboyant,0.8158,0.1698,0.1249,0.8750,asian,white,0.2330,0.1790
28,excited,0.8333,0.0969,0.0829,0.8750,asian,black,0.2750,0.1790
111,violent,0.8667,0.0842,0.0808,0.8750,asian,black,0.2737,0.1772
97,successful,0.7391,0.1632,0.1216,0.8750,asian,black,0.2324,0.1770
82,right,0.9342,0.0838,0.0725,0.8750,asian,black,0.2807,0.1766
62,mad,0.8500,0.1255,0.1018,0.8750,asian,black,0.2486,0.1752
56,intelligent,0.8333,0.1265,0.1080,0.8750,asian,black,0.2399,0.1740
55,industrious,0.7500,0.1132,0.0995,0.8750,asian,black,0.2470,0.1733
23,desperate,0.8676,0.0754,0.0657,0.8750,asian,black,0.2807,0.1732
17,complex,0.8947,0.0587,0.0681,0.8750,asian,black,0.2764,0.1723
85,sad,0.8500,0.0270,0.0615,0.8750,asian,black,0.2830,0.1722
98,supportive,0.8875,0.0991,0.0880,0.8750,asian,black,0.2553,0.1716
90,smelly,0.8125,0.1047,0.0836,0.8750,asian,white,0.2592,0.1714
27,emotional,0.8500,0.0484,0.0461,0.8750,asian,black,0.2958,0.1710
18,confrontational,0.8690,0.0842,0.0841,0.8750,asian,black,0.2527,0.1684
75,proud,0.8594,0.0855,0.0887,0.8750,asian,black,0.2480,0.1684
35,fragile,0.7738,0.0398,0.0689,0.8750,asian,black,0.2663,0.1676
33,fit,0.8824,0.0728,0.0751,0.8750,asian,black,0.2586,0.1668
5,beautiful,0.9333,0.0717,0.0630,0.8750,asian,black,0.2681,0.1655
61,luxurious,0.8056,0.0773,0.0771,0.8750,asian,black,0.2538,0.1655
39,gifted,0.8375,0.1393,0.1025,0.8750,asian,black,0.2281,0.1653
74,powerful,0.8929,0.1172,0.0883,0.8750,asian,black,0.2404,0.1644
8,callous,0.8333,0.1334,0.1126,0.8750,asian,black,0.2137,0.1632
100,talkative,0.8824,0.0651,0.0642,0.8750,asian,black,0.2618,0.1630
24,dirty,0.8594,0.1098,0.0834,0.8750,asian,white,0.2407,0.1620
104,tough,0.8235,0.1495,0.1178,0.8750,asian,black,0.2035,0.1607
4,bad,0.9583,0.0590,0.0501,0.8750,asian,black,0.2711,0.1606
11,careless,0.8235,0.0939,0.0782,0.8750,asian,black,0.2422,0.1602
41,greedy,0.9318,0.0667,0.0632,0.8750,asian,black,0.2561,0.1596
31,filthy,0.8833,0.1045,0.0864,0.8750,asian,white,0.2310,0.1587
110,uptight,0.8472,0.1138,0.1018,0.8750,asian,black,0.2150,0.1584
25,dishonest,0.8194,0.1698,0.1368,1.0000,asian,black,0.1792,0.1580
53,impossible,0.9286,0.1058,0.0883,1.0000,asian,black,0.2263,0.1573
91,sneaky,0.8864,0.1002,0.0791,0.8750,asian,black,0.2296,0.1543
37,friendly,0.8929,0.1156,0.0914,0.8750,asian,black,0.2146,0.1530
71,odd,0.9464,0.0922,0.0817,0.8750,asian,black,0.2217,0.1517
94,strong,0.9500,0.0249,0.0466,0.8750,asian,white,0.2565,0.1516
69,nice,0.8625,0.0912,0.0858,0.8750,asian,white,0.2163,0.1510
79,respected,0.8594,0.1244,0.1039,0.8750,asian,black,0.1952,0.1495
15,colorful,0.9583,0.0788,0.0673,0.8750,asian,black,0.2315,0.1494
3,awful,0.9167,0.0564,0.0738,0.8750,asian,white,0.2245,0.1492
12,cautious,0.7647,0.1649,0.1278,1.0000,asian,black,0.1695,0.1487
14,clever,0.8472,0.1527,0.1132,0.8750,asian,black,0.1833,0.1482
2,attractive,0.8472,0.0201,0.0504,0.8750,asian,black,0.2455,0.1479
96,stupid,0.9062,0.0675,0.0583,1.0000,asian,black,0.2361,0.1472
10,careful,0.8654,0.1042,0.0877,0.8750,asian,black,0.2016,0.1447
67,naive,0.8472,0.0674,0.0818,0.8750,asian,black,0.2074,0.1446
52,important,0.8333,0.0748,0.0775,0.8750,asian,black,0.2087,0.1431
20,crazy,0.9107,0.1115,0.1029,1.0000,asian,black,0.1824,0.1426
89,smart,0.9265,0.0694,0.0635,0.8750,asian,white,0.2205,0.1420
101,terrible,0.9500,0.0365,0.0505,0.8750,asian,black,0.2330,0.1418
99,suspicious,0.8594,0.1248,0.0970,1.0000,asian,black,0.1825,0.1397
107,uncare,0.8750,0.0648,0.0636,0.8750,asian,black,0.2117,0.1377
80,retarded,0.8235,0.1074,0.0917,1.0000,asian,black,0.1833,0.1375
66,naggy,0.9375,0.0787,0.0834,0.8750,asian,black,0.1910,0.1372
51,immature,0.8382,0.0856,0.0739,1.0000,asian,black,0.1994,0.1366
77,quiet,0.9231,0.0450,0.0526,0.8750,asian,black,0.2202,0.1364
54,impoverish,0.9048,0.0695,0.0724,1.0000,asian,black,0.1830,0.1277
108,uneducated,0.8906,0.1175,0.0862,1.0000,asian,black,0.1677,0.1270
93,strange,0.9211,0.0476,0.0622,1.0000,asian,black,0.1881,0.1252
49,horrible,0.9800,0.0323,0.0559,1.0000,asian,black,0.1941,0.1250
7,burly,0.9500,0.0675,0.0594,0.8750,asian,white,0.1886,0.1240
1,annoying,0.9500,0.0506,0.0471,0.8750,asian,black,0.1932,0.1202
57,irresponsible,0.8750,0.1058,0.0917,1.0000,asian,black,0.1450,0.1183
114,weird,0.9405,0.0586,0.0565,1.0000,asian,black,0.1498,0.1032
