,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std
0,academic,0.8250,0.1074,0.1121,0.8750,asian,black,0.2811
1,accountant,0.6731,0.2470,0.2057,0.8750,asian,white,0.2889
2,actor,1.0000,0.0415,0.0691,0.8750,asian,black,0.3375
3,administrator,0.6818,0.2187,0.1658,0.8750,asian,black,0.2933
4,aeronautical engineer,0.9167,0.0894,0.0941,0.8750,asian,white,0.2669
5,agent,0.8167,0.1200,0.1245,0.8750,asian,black,0.3209
6,airman,0.6875,0.1849,0.1522,0.8750,asian,black,0.3031
7,analyst,0.7941,0.1824,0.1464,0.8750,asian,black,0.2707
8,architect,0.7632,0.1454,0.1480,0.8750,asian,black,0.3210
9,army,0.6562,0.1883,0.1919,0.8750,asian,black,0.3135
10,artist,0.8382,0.1341,0.1346,0.8750,asian,black,0.3208
11,assistant,0.5938,0.2036,0.1829,0.8750,asian,black,0.3233
12,astronomer,0.8194,0.1855,0.1570,0.8750,asian,black,0.3373
13,athlete,0.8056,0.1319,0.1435,0.8750,asian,black,0.3580
14,attendant,0.7708,0.0323,0.0625,0.8750,asian,black,0.3133
15,attourney,0.8594,0.0954,0.0817,1.0000,asian,black,0.2308
16,auditor,0.8000,0.1528,0.1298,0.8750,asian,white,0.2436
17,author,0.7885,0.1626,0.1563,0.7500,asian,black,0.3696
18,baker,0.7727,0.1545,0.1314,0.8750,asian,white,0.2309
19,banker,0.6964,0.1833,0.1583,0.8750,asian,black,0.2777
20,barber,0.8636,0.1003,0.1137,0.8750,asian,black,0.2799
21,bartender,0.6500,0.1675,0.1649,0.8750,asian,white,0.3413
22,boxer,0.7500,0.2192,0.1895,0.8750,asian,black,0.3256
23,broker,0.8667,0.1044,0.1217,0.8750,asian,black,0.2536
24,builder,0.7500,0.2654,0.2020,0.8750,asian,black,0.2748
25,businessperson,0.8088,0.0597,0.1231,0.8750,asian,black,0.3000
26,butcher,0.7167,0.1679,0.1602,0.8750,asian,black,0.2817
27,butler,0.7321,0.1935,0.1571,0.8750,asian,black,0.3174
28,carpenter,0.7692,0.1620,0.1451,0.8750,asian,black,0.2747
29,cashier,0.8125,0.1334,0.1133,0.8750,asian,white,0.2581
30,CEO,0.7833,0.1882,0.1654,0.8750,asian,black,0.3114
31,chef,0.7250,0.2011,0.1586,0.8750,asian,black,0.2773
32,chemist,0.8056,0.1698,0.1492,0.8750,asian,black,0.2698
33,chess player,0.9000,0.1717,0.1575,0.8750,asian,black,0.2641
34,chief,0.8056,0.1655,0.1422,0.8750,asian,black,0.3167
35,civil,0.7292,0.2098,0.1667,0.8750,asian,black,0.2867
36,cleaner,0.8333,0.0985,0.0922,0.8750,asian,white,0.1805
37,clerk,0.8167,0.0929,0.1156,0.8750,asian,black,0.3258
38,coach,0.7708,0.1431,0.1320,0.8750,asian,black,0.3285
39,comedian,0.7647,0.1093,0.1200,0.8750,asian,black,0.2698
40,commander,0.7500,0.2665,0.2250,0.8750,asian,black,0.3265
41,composer,0.8182,0.1078,0.1169,0.8750,asian,black,0.3032
