,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std
0,academic,0.8250,0.1132,0.1278,0.8750,asian,black,0.2358
1,accountant,0.6346,0.2563,0.2453,0.8750,asian,white,0.2572
2,actor,0.9750,0.0183,0.0962,0.8750,asian,black,0.3069
3,administrator,0.6591,0.2330,0.1791,0.8750,asian,black,0.2717
4,aeronautical engineer,0.9375,0.0768,0.0997,0.8750,asian,white,0.2253
5,agent,0.8000,0.1133,0.1520,0.8750,asian,black,0.3031
6,airman,0.7917,0.2043,0.1917,0.8750,asian,black,0.2850
7,analyst,0.7647,0.1770,0.1594,0.8750,asian,black,0.2245
8,architect,0.7763,0.1526,0.1757,0.8750,asian,black,0.2874
9,army,0.7344,0.1845,0.2086,0.8750,asian,black,0.3047
10,artist,0.8235,0.1125,0.1363,0.8750,asian,black,0.2902
11,assistant,0.6250,0.2238,0.2130,0.8750,asian,black,0.2898
12,astronomer,0.8194,0.1700,0.1486,0.8750,asian,black,0.3205
13,athlete,0.7778,0.1307,0.1622,0.8750,asian,black,0.3133
14,attendant,0.7917,0.0268,0.0682,0.8750,asian,black,0.2849
15,attourney,0.9062,0.0955,0.0871,1.0000,asian,black,0.2058
16,auditor,0.8000,0.1713,0.1548,0.8750,asian,white,0.2402
17,author,0.7308,0.1570,0.1668,0.8750,asian,black,0.3549
18,baker,0.7727,0.1523,0.1441,1.0000,asian,white,0.1883
19,banker,0.7321,0.1975,0.1951,0.8750,asian,black,0.2453
20,barber,0.8636,0.0720,0.1040,0.8750,asian,white,0.2691
21,bartender,0.6167,0.1962,0.1969,0.8750,asian,white,0.3302
22,boxer,0.6944,0.2030,0.2250,0.8750,asian,black,0.2974
23,broker,0.8667,0.1077,0.1379,0.8750,asian,black,0.2136
24,builder,0.6923,0.2578,0.2110,0.8750,asian,black,0.2377
25,businessperson,0.7647,0.0576,0.1457,0.8750,asian,black,0.3033
26,butcher,0.6667,0.1811,0.2001,0.8750,asian,black,0.2415
27,butler,0.7679,0.1687,0.1433,0.8750,asian,black,0.2776
28,carpenter,0.7692,0.1645,0.1599,0.8750,asian,black,0.2427
29,cashier,0.8281,0.1403,0.1288,0.8750,asian,white,0.2455
30,CEO,0.7833,0.1739,0.1647,0.8750,asian,black,0.3060
31,chef,0.7500,0.1997,0.1865,0.8750,asian,black,0.2321
32,chemist,0.8194,0.1675,0.1737,0.8750,asian,black,0.2253
33,chess player,0.9000,0.1321,0.1500,0.8750,asian,black,0.2262
34,chief,0.8056,0.1601,0.1530,0.8750,asian,black,0.2890
35,civil,0.6875,0.2184,0.1811,0.8750,asian,black,0.2310
36,cleaner,0.8333,0.1018,0.0895,1.0000,asian,black,0.1009
37,clerk,0.8667,0.0941,0.1248,0.8750,asian,white,0.2784
38,coach,0.7500,0.1416,0.1552,0.8750,asian,black,0.2880
39,comedian,0.7206,0.1064,0.1397,0.8750,asian,black,0.2219
40,commander,0.7188,0.2547,0.2230,0.8750,asian,black,0.3002
41,composer,0.8636,0.1039,0.1520,0.8750,asian,black,0.2699
42,construction worker,0.7500,0.1766,0.1889,0.8750,asian,black,0.2478
43,cook,0.7292,0.1612,0.1406,0.8750,asian,black,0.2372
44,counselor,0.7250,0.2225,0.1854,0.8750,asian,black,0.2563
45,dancer,0.9000,0.0509,0.1024,0.8750,asian,black,0.2400
46,dealer,0.8654,0.0667,0.1402,0.8750,asian,black,0.2764
47,delivery,0.7500,0.1222,0.1229,0.8750,asian,black,0.3033
48,dentist,0.7833,0.0966,0.1265,0.8750,asian,black,0.2321
49,designer,0.6607,0.1390,0.1552,0.8750,asian,white,0.3088
50,detective,0.8393,0.1534,0.1319,0.8750,asian,black,0.2078
51,diplomat,0.9318,0.0684,0.0936,0.8750,asian,black,0.2572
52,director,0.8056,0.1394,0.1376,0.8750,asian,black,0.3147
53,doctor,0.7794,0.1503,0.1378,0.8750,asian,black,0.2761
54,drawer,0.8542,0.0941,0.1186,1.0000,asian,black,0.2393
55,driver,0.8182,0.1598,0.1593,0.8750,asian,black,0.3269
56,economist,0.7500,0.1986,0.1757,0.8750,asian,black,0.2414
57,editor,0.8214,0.1161,0.1215,0.8750,asian,black,0.3159
58,electrician,0.7045,0.1981,0.1867,0.7500,asian,black,0.4445
59,employee,0.8393,0.1112,0.1306,0.8750,asian,black,0.3146
