,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
61,luxurious,0.8194,0.0546,0.1279,0.8750,asian,black,0.3440,0.2360
5,beautiful,0.9333,0.0449,0.1139,0.8750,asian,white,0.3392,0.2265
55,industrious,0.8611,0.0807,0.1210,1.0000,asian,white,0.2943,0.2076
29,fat,0.8333,0.0304,0.1586,0.8750,hispanic,black,0.2513,0.2049
34,flamboyant,0.8684,0.0724,0.0959,0.8750,asian,white,0.3096,0.2028
38,gentle,0.7976,0.0576,0.1147,0.8750,asian,black,0.2828,0.1988
43,handsome,0.7656,0.1149,0.1174,0.8750,asian,black,0.2736,0.1955
97,successful,0.8370,0.0558,0.1155,0.8750,asian,white,0.2728,0.1942
9,capable,0.7812,-0.0254,0.1435,0.8750,asian,white,0.2436,0.1935
87,skinny,0.8750,0.0003,0.1306,1.0000,asian,black,0.2507,0.1906
13,clean,0.8824,0.0160,0.1035,0.8750,asian,black,0.2759,0.1897
58,late,0.8906,0.0622,0.1254,0.8750,asian,black,0.2460,0.1857
45,harsh,0.8690,0.0598,0.1407,0.8750,asian,white,0.2267,0.1837
16,comfortable,0.6806,0.0349,0.0992,0.8750,asian,black,0.2623,0.1808
88,slim,0.8889,-0.0192,0.1166,0.8750,asian,black,0.2415,0.1791
104,tough,0.8824,0.0885,0.1097,0.8750,asian,white,0.2461,0.1779
46,healthy,0.7941,0.0546,0.1157,0.8750,asian,black,0.2369,0.1763
30,feminine,0.8833,-0.1302,0.1067,0.8750,asian,black,0.2418,0.1742
115,welcome,0.8667,0.0928,0.1236,0.8750,asian,white,0.2245,0.1741
54,impoverish,0.8810,-0.0087,0.0930,0.8750,asian,black,0.2500,0.1715
65,muscular,0.8125,-0.0011,0.1184,0.8750,asian,black,0.2225,0.1705
84,rude,0.8438,0.0396,0.1251,0.8750,asian,white,0.2131,0.1691
15,colorful,0.9167,0.0550,0.0791,0.8750,asian,white,0.2583,0.1687
42,gross,0.8333,-0.0228,0.1241,1.0000,asian,black,0.2117,0.1679
98,supportive,0.9250,-0.0108,0.1079,0.8750,asian,white,0.2247,0.1663
2,attractive,0.9306,-0.0223,0.0790,0.8750,asian,black,0.2516,0.1653
80,retarded,0.8971,0.0588,0.1389,1.0000,asian,white,0.1879,0.1634
3,awful,0.8611,0.0175,0.1188,0.8750,asian,white,0.2034,0.1611
86,silent,0.8529,0.0447,0.1256,0.8750,asian,hispanic,0.1960,0.1608
79,respected,0.8438,0.0262,0.0871,0.8750,asian,white,0.2341,0.1606
69,nice,0.7750,0.0174,0.1032,0.8750,asian,black,0.2178,0.1605
59,lazy,0.8971,0.0620,0.1114,1.0000,asian,black,0.2082,0.1598
73,poor,0.9079,0.0538,0.1107,1.0000,asian,white,0.2085,0.1596
32,fine,0.8929,0.0791,0.1237,0.8750,asian,black,0.1939,0.1588
72,polite,0.7763,0.0836,0.0986,1.0000,asian,black,0.2166,0.1576
95,studious,0.8235,0.1314,0.1374,1.0000,asian,white,0.1750,0.1562
11,careless,0.9118,0.0403,0.1070,1.0000,asian,black,0.2044,0.1557
35,fragile,0.8571,-0.0195,0.1075,1.0000,asian,black,0.2030,0.1553
6,brave,0.8906,-0.0216,0.0906,0.8750,asian,white,0.2197,0.1552
