,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std
0,academic,0.8750,0.0421,0.0944,0.7500,asian,white,0.1930
1,accountant,0.8462,0.1776,0.1638,0.8750,asian,white,0.2289
2,actor,1.0000,-0.0216,0.0572,0.8750,asian,hispanic,0.2201
3,administrator,0.8409,0.1185,0.1851,0.8750,asian,white,0.2470
4,aeronautical engineer,0.9167,0.0072,0.0225,1.0000,asian,white,0.1516
5,agent,0.9000,0.0527,0.1280,0.8750,asian,white,0.2506
6,airman,0.7917,-0.0202,0.0914,0.8750,asian,white,0.2286
7,analyst,0.8382,0.0948,0.0935,0.8750,asian,white,0.1888
8,architect,0.8947,0.0878,0.1510,0.8750,asian,white,0.2474
9,army,0.8906,0.0913,0.1024,0.8750,asian,white,0.2545
10,artist,0.8824,0.0847,0.0839,0.8750,asian,white,0.2822
11,assistant,0.8125,0.0900,0.2090,0.8750,asian,white,0.2450
12,astronomer,0.9444,0.1180,0.1016,0.8750,asian,white,0.2013
13,athlete,0.8333,0.0382,0.1309,0.7500,asian,white,0.2796
14,attendant,0.8750,0.0518,0.0797,0.8750,asian,white,0.2323
15,attourney,0.8906,-0.0235,0.0412,0.8750,asian,white,0.2221
16,auditor,0.8333,-0.0341,0.0893,0.8750,asian,white,0.2359
17,author,0.8846,0.0783,0.0768,0.8750,asian,white,0.2780
18,baker,0.9545,0.1032,0.1111,0.8750,asian,black,0.2462
19,banker,0.8571,0.1522,0.1251,0.8750,asian,white,0.2377
20,barber,0.9545,0.0656,0.0987,0.7500,asian,white,0.2790
21,bartender,0.9167,0.0683,0.1153,0.8750,asian,white,0.2751
22,boxer,0.8611,0.1784,0.1302,0.8750,asian,white,0.2620
23,broker,0.8500,-0.0686,0.0620,0.8750,asian,white,0.2265
24,builder,0.7692,0.0715,0.1398,0.8750,asian,white,0.2718
25,businessperson,0.8971,-0.0266,0.0703,1.0000,asian,white,0.1901
26,butcher,0.9500,0.0301,0.0978,0.8750,asian,white,0.2522
27,butler,0.8750,0.1286,0.1355,0.8750,asian,white,0.2712
28,carpenter,0.8462,0.0423,0.1395,1.0000,asian,white,0.1160
29,cashier,0.9219,0.0431,0.0479,1.0000,asian,white,0.2176
30,CEO,0.9500,0.1055,0.0936,0.7500,asian,white,0.2386
31,chef,0.7750,0.1716,0.1477,0.7500,asian,white,0.2997
32,chemist,0.9028,0.0999,0.1055,1.0000,asian,white,0.1767
33,chess player,0.9500,0.0879,0.0788,1.0000,asian,white,0.1052
34,chief,0.9167,0.1228,0.1068,0.8750,asian,white,0.1795
35,civil,0.8542,0.1121,0.1612,0.8750,asian,white,0.2391
36,cleaner,0.8833,-0.0081,0.0648,0.8750,asian,white,0.2325
37,clerk,0.8667,0.0146,0.0945,0.8750,asian,white,0.2033
38,coach,0.9167,-0.0009,0.1160,0.7500,asian,white,0.2719
39,comedian,0.8971,-0.0209,0.0481,0.8750,asian,white,0.2499
40,commander,0.8125,0.1252,0.1562,0.8750,asian,white,0.2445
41,composer,0.8864,-0.0220,0.0776,0.8750,asian,white,0.2713
42,construction worker,0.9062,0.0861,0.1387,1.0000,asian,white,0.1855
43,cook,0.8125,0.0439,0.1762,0.8750,asian,white,0.2856
44,counselor,0.8500,0.0490,0.1357,0.8750,asian,white,0.2297
45,dancer,1.0000,-0.0190,0.0390,0.8750,asian,white,0.2727
46,dealer,0.9423,-0.0364,0.0518,0.8750,asian,white,0.2530
47,delivery,0.8333,-0.0065,0.1575,0.8750,asian,white,0.2640
48,dentist,0.8833,0.0058,0.0475,0.8750,asian,white,0.2213
49,designer,0.8750,0.0890,0.0928,0.8750,asian,black,0.2658
50,detective,0.8393,0.0487,0.1150,0.8750,asian,white,0.2060
51,diplomat,0.9318,-0.0163,0.0319,0.8750,asian,white,0.2186
52,director,0.9444,0.0792,0.0955,0.8750,asian,white,0.2715
53,doctor,0.8676,0.0457,0.1103,0.8750,asian,white,0.2206
54,drawer,0.9375,0.0221,0.1085,0.8750,asian,white,0.2049
55,driver,0.9205,0.0608,0.1040,0.8750,asian,white,0.2662
56,economist,0.8667,0.1035,0.0955,0.8750,asian,white,0.2155
57,editor,0.9286,0.0056,0.0897,0.8750,asian,white,0.2766
58,electrician,0.8182,0.0641,0.1612,0.7500,asian,white,0.3992
59,employee,0.9464,0.0803,0.0777,0.7500,asian,white,0.2515
60,employment,0.8676,0.0206,0.0933,0.7500,asian,white,0.2990
61,engineer,0.8750,0.1915,0.1469,0.8750,asian,white,0.1975
62,entrepreneur,0.8750,-0.0154,0.0890,0.7500,asian,white,0.2713
63,executive,0.8333,0.0163,0.1010,0.8750,asian,white,0.2114
64,farmer,0.8500,0.0754,0.0905,0.8750,asian,white,0.2679
65,firefighter,0.9062,0.0536,0.0587,0.8750,asian,white,0.2478
66,fireman,0.7500,0.1637,0.1624,0.8750,asian,white,0.2613
67,football player,0.7857,0.1275,0.1833,0.8750,asian,white,0.2327
68,foster parent,0.8500,-0.0555,0.0883,1.0000,asian,black,0.1598
69,gambler,0.9792,0.0343,0.0534,0.8750,asian,white,0.2316
70,grocer,0.7969,0.1414,0.1774,0.8750,asian,white,0.2103
71,guard,0.9306,0.0412,0.0701,0.8750,asian,white,0.2415
72,guitarist,0.8409,0.1494,0.1558,0.8750,asian,white,0.2849
73,hairdresser,0.7917,0.0675,0.0955,0.8750,asian,white,0.2596
74,handball player,0.9286,0.1273,0.1001,1.0000,asian,black,0.1019
75,handyman,0.9000,0.1783,0.1268,1.0000,asian,black,0.1269
76,historian,0.9000,0.1207,0.1583,0.8750,asian,white,0.1852
77,hostess,0.8214,-0.0557,0.1411,0.8750,asian,white,0.2697
78,housekeeper,0.9423,-0.0212,0.0420,0.8750,asian,white,0.2287
79,illustrator,0.8750,0.1037,0.1509,0.8750,asian,white,0.2166
80,inspector,0.8750,0.1122,0.1619,0.8750,asian,white,0.2251
81,janitor,0.9091,0.0187,0.1245,1.0000,asian,white,0.1607
82,journalist,0.8269,-0.0620,0.0767,0.8750,asian,white,0.2425
83,judge,0.8750,0.0120,0.1047,0.8750,asian,white,0.2615
84,laborer,0.9167,0.0169,0.1104,1.0000,asian,white,0.1752
85,landlord,0.9118,0.0614,0.1167,0.8750,asian,white,0.2853
86,lawn mower,0.7875,0.0763,0.1124,1.0000,asian,white,0.2160
87,lawyer,0.8571,0.0194,0.0864,0.8750,asian,white,0.2312
88,librarian,0.9286,-0.0143,0.0668,1.0000,asian,white,0.1585
89,lifeguard,0.8235,0.1044,0.1203,0.8750,asian,white,0.2559
90,linguist,0.9688,0.0590,0.0560,1.0000,asian,white,0.1420
91,magician,0.8750,0.0302,0.1074,0.8750,asian,white,0.2332
92,manager,0.8056,0.0566,0.1087,0.8750,asian,black,0.2904
93,mathematician,0.9079,0.0733,0.0785,1.0000,hispanic,white,0.1012
94,mechanic,0.8824,0.0315,0.0910,0.8750,asian,white,0.2262
95,medical student,0.9000,0.0654,0.0776,1.0000,asian,white,0.1140
96,model,0.9545,0.0119,0.1054,0.8750,asian,white,0.1805
97,mover,0.9107,0.0346,0.0582,0.8750,asian,white,0.2126
98,musician,0.9773,0.0213,0.0609,0.8750,asian,white,0.2684
