,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
54,impoverish,0.5789,0.0281,0.0342,0.7500,white,black,0.1738,0.1040
69,nice,0.6765,0.0145,0.0420,0.7500,asian,black,0.1417,0.0918
11,careless,0.6667,0.0272,0.0546,1.0000,black,asian,0.1240,0.0893
80,retarded,0.5833,0.0016,0.0453,0.8750,white,hispanic,0.1317,0.0885
43,handsome,0.2500,0.0362,0.0378,0.7500,asian,black,0.1363,0.0870
75,proud,0.5263,0.0508,0.0443,1.0000,hispanic,white,0.1283,0.0863
105,trustworthy,0.8214,0.0204,0.0350,1.0000,white,hispanic,0.1342,0.0846
87,skinny,0.0000,0.0183,0.0366,0.5000,asian,white,0.1317,0.0842
112,weak,0.7188,-0.0079,0.0440,1.0000,black,asian,0.1208,0.0824
25,dishonest,0.7024,0.0031,0.0396,1.0000,black,white,0.1245,0.0820
52,important,0.2917,-0.0361,0.0635,1.0000,asian,black,0.0992,0.0813
57,irresponsible,0.8654,0.0224,0.0394,1.0000,black,hispanic,0.1233,0.0813
115,welcome,0.7105,0.0255,0.0530,1.0000,white,black,0.1056,0.0793
94,strong,0.2500,-0.0111,0.0466,0.7500,hispanic,black,0.1085,0.0776
47,homeless,0.0625,0.0226,0.0398,0.7500,asian,white,0.1142,0.0770
34,flamboyant,0.0000,0.0231,0.0392,0.7500,hispanic,black,0.1146,0.0769
2,attractive,0.4792,-0.0057,0.0366,1.0000,asian,black,0.1159,0.0763
114,weird,0.2794,0.0374,0.0459,1.0000,asian,black,0.1057,0.0758
108,uneducated,0.6324,-0.0105,0.0392,1.0000,white,black,0.1122,0.0757
85,sad,0.5882,0.0174,0.0384,1.0000,white,hispanic,0.1126,0.0755
66,naggy,0.0000,0.0038,0.0424,0.7500,asian,black,0.1085,0.0755
42,gross,0.3235,0.0170,0.0377,1.0000,hispanic,white,0.1131,0.0754
29,fat,0.0000,0.0136,0.0327,0.6250,asian,hispanic,0.1172,0.0750
18,confrontational,0.2344,0.0099,0.0428,0.8750,black,hispanic,0.1051,0.0739
104,tough,0.2941,0.0220,0.0532,1.0000,asian,white,0.0930,0.0731
63,manly,0.3654,0.0422,0.0456,1.0000,hispanic,black,0.0992,0.0724
32,fine,0.0375,-0.0571,0.0523,0.7500,asian,black,0.0898,0.0711
5,beautiful,0.3421,-0.0150,0.0400,1.0000,asian,black,0.0997,0.0699
102,thin,0.0000,-0.0063,0.0305,0.6250,asian,black,0.1085,0.0695
90,smelly,0.1875,-0.0222,0.0428,1.0000,asian,white,0.0956,0.0692
6,brave,0.5682,-0.0102,0.0535,0.7500,hispanic,black,0.0837,0.0686
