,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std
0,academic,0.3750,0.0224,0.0455,0.6250,asian,hispanic,0.0873
1,accountant,0.1875,0.0232,0.0409,0.7500,asian,white,0.1277
2,actor,0.0000,0.0462,0.0486,0.1250,asian,white,0.1191
3,administrator,0.3553,0.0411,0.0455,0.8750,asian,black,0.0844
4,aeronautical engineer,0.3438,0.0020,0.0445,0.6250,asian,white,0.1380
5,agent,0.0417,0.0265,0.0550,0.7500,hispanic,white,0.1033
6,airman,0.0000,0.0127,0.0427,0.6250,asian,white,0.1343
7,analyst,0.1389,0.0123,0.0456,0.7500,asian,white,0.1216
8,architect,0.0000,0.0508,0.0527,0.5000,asian,white,0.1319
9,army,0.0333,-0.0176,0.0319,0.0000,asian,white,0.1046
10,artist,0.0781,0.0065,0.0408,0.3750,asian,white,0.1175
11,assistant,0.0000,0.0257,0.0563,0.7500,asian,black,0.1285
12,astronomer,0.2292,0.0155,0.0465,0.7500,asian,white,0.1179
13,athlete,0.1667,-0.0018,0.0457,0.3750,asian,white,0.0926
14,attendant,0.0357,0.0342,0.0389,0.7500,asian,black,0.1765
15,attourney,0.0441,0.0202,0.0339,0.7500,asian,white,0.0833
16,auditor,0.1071,0.0629,0.0575,0.7500,asian,black,0.1347
17,author,0.0000,0.0506,0.0441,0.2500,asian,white,0.1122
18,baker,0.0000,0.0382,0.0474,0.5000,asian,black,0.1412
19,banker,0.0000,0.0398,0.0428,0.6250,asian,black,0.1275
20,barber,0.1591,0.0117,0.0483,0.8750,hispanic,black,0.1386
21,bartender,0.0357,0.0134,0.0329,0.5000,hispanic,black,0.1735
22,boxer,0.0469,0.0069,0.0479,0.5000,asian,white,0.1363
23,broker,0.1154,0.0671,0.0622,0.6250,asian,black,0.0946
24,builder,0.0000,0.0299,0.0489,0.5000,asian,white,0.1259
25,businessperson,0.0882,0.0346,0.0401,0.7500,asian,white,0.0963
26,butcher,0.0167,0.0429,0.0568,0.6250,hispanic,black,0.1572
27,butler,0.0000,0.0506,0.0494,0.7500,asian,black,0.1306
28,carpenter,0.1500,0.0385,0.0475,0.6250,hispanic,black,0.1573
29,cashier,0.0000,0.0164,0.0370,0.7500,asian,black,0.1426
30,CEO,0.0000,0.0439,0.0516,0.5000,asian,black,0.1414
31,chef,0.0000,0.0255,0.0451,0.2500,asian,black,0.1852
32,chemist,0.3333,-0.0043,0.0462,0.3750,asian,white,0.1287
33,chess player,0.1389,-0.0119,0.0400,0.2500,white,hispanic,0.0913
34,chief,0.0882,0.0301,0.0582,0.6250,asian,white,0.1139
35,civil,0.6094,0.0497,0.0476,0.3750,asian,black,0.0807
36,cleaner,0.1750,0.0254,0.0400,1.0000,asian,black,0.1349
37,clerk,0.0000,0.0307,0.0476,0.5000,asian,black,0.1431
38,coach,0.0769,0.0407,0.0591,0.3750,asian,black,0.0851
39,comedian,0.0395,0.0420,0.0516,0.5000,hispanic,white,0.1537
40,commander,0.0536,0.0183,0.0481,0.3750,asian,white,0.0680
41,composer,0.0000,0.0214,0.0437,0.3750,asian,white,0.1042
42,construction worker,0.0208,0.0172,0.0512,0.5000,asian,black,0.0768
43,cook,0.0000,0.0293,0.0387,0.6250,hispanic,black,0.1558
44,counselor,0.3167,0.0413,0.0610,0.7500,asian,black,0.1261
45,dancer,0.0000,0.0225,0.0512,0.5000,hispanic,black,0.1509
46,dealer,0.0208,0.0310,0.0488,0.5000,asian,white,0.1227
47,delivery,0.0000,0.0261,0.0494,0.7500,asian,black,0.0898
48,dentist,0.0000,0.0386,0.0392,0.5000,asian,black,0.1704
49,designer,0.0000,0.0441,0.0370,0.6250,asian,black,0.1515
50,detective,0.0000,0.0402,0.0460,0.6250,asian,white,0.1166
51,diplomat,0.3409,-0.0052,0.0483,0.5000,asian,white,0.0856
52,director,0.0000,0.0397,0.0508,0.3750,asian,white,0.1154
53,doctor,0.0500,0.0243,0.0500,0.5000,asian,white,0.1127
54,drawer,0.0000,0.0149,0.0375,1.0000,asian,black,0.1600
55,driver,0.0000,0.0423,0.0470,0.3750,asian,black,0.1390
56,economist,0.3214,0.0055,0.0514,0.1250,asian,white,0.1104
57,editor,0.0577,0.0579,0.0590,0.3750,asian,white,0.1381
58,electrician,0.0000,0.0183,0.0425,0.7500,asian,black,0.1166
59,employee,0.0625,0.0191,0.0413,0.6250,asian,white,0.1053
60,employment,0.0167,0.0377,0.0482,0.7500,asian,white,0.1119
