,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std
0,academic,0.8750,-0.0085,0.0704,1.0000,hispanic,black,0.1122
1,accountant,0.8125,-0.0169,0.0693,1.0000,hispanic,white,0.0429
2,actor,0.8000,0.1142,0.1047,1.0000,hispanic,white,0.1521
3,administrator,0.7368,-0.0064,0.0646,1.0000,hispanic,white,0.0567
4,aeronautical engineer,0.9062,0.0209,0.0646,1.0000,hispanic,white,0.1555
5,agent,0.6458,-0.0271,0.0793,1.0000,hispanic,white,0.1692
6,airman,0.5789,-0.0027,0.0962,0.8750,hispanic,black,0.2232
7,analyst,0.8750,-0.0313,0.0677,1.0000,hispanic,black,0.0567
8,architect,0.8000,0.0600,0.0810,1.0000,hispanic,white,0.1500
9,army,0.9167,-0.0478,0.0870,1.0000,hispanic,black,0.1632
10,artist,0.7812,0.0003,0.0623,1.0000,hispanic,white,0.2050
11,assistant,0.8250,-0.0429,0.0626,1.0000,hispanic,white,0.0953
12,astronomer,0.7500,-0.0055,0.0637,1.0000,hispanic,white,0.1040
13,athlete,0.8056,0.0307,0.0801,1.0000,hispanic,white,0.1336
14,attendant,0.7500,0.0005,0.0631,1.0000,hispanic,black,0.0654
15,attourney,0.4559,0.0430,0.1305,1.0000,hispanic,black,0.1436
16,auditor,0.6964,-0.0103,0.0831,1.0000,hispanic,white,0.0391
17,author,0.6923,0.0040,0.0635,1.0000,hispanic,white,0.1188
18,baker,0.9500,0.0318,0.0701,1.0000,hispanic,black,0.0792
19,banker,0.9000,0.0098,0.0617,1.0000,hispanic,white,0.0876
20,barber,0.8182,0.0394,0.0752,1.0000,hispanic,black,0.1052
21,bartender,0.6250,-0.0272,0.0744,1.0000,hispanic,black,0.0977
22,boxer,0.8281,0.0134,0.0802,1.0000,hispanic,white,0.2103
23,broker,0.5577,0.0248,0.0683,1.0000,hispanic,white,0.0735
24,builder,0.8667,0.0193,0.0961,1.0000,hispanic,black,0.1431
