,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std
0,academic,0.9792,0.0105,0.0379,1.0000,white,hispanic,0.0107
1,accountant,0.9583,0.0302,0.0412,1.0000,white,hispanic,0.0017
2,actor,0.8500,0.0650,0.0896,1.0000,asian,black,0.0066
3,administrator,0.7763,0.0682,0.0640,1.0000,white,hispanic,0.0026
4,aeronautical engineer,0.8438,0.1169,0.0914,1.0000,asian,black,0.0043
5,agent,0.8958,0.0706,0.0769,1.0000,white,hispanic,0.0021
6,airman,0.7895,0.1782,0.1599,1.0000,white,hispanic,0.0023
7,analyst,0.8889,0.0720,0.0622,1.0000,black,hispanic,0.0056
8,architect,0.9000,0.0861,0.0818,1.0000,white,black,0.0058
9,army,0.9667,0.0463,0.0739,1.0000,black,asian,0.0247
10,artist,0.8281,0.0230,0.0889,1.0000,white,hispanic,0.0095
11,assistant,0.9500,0.0432,0.0437,1.0000,white,hispanic,0.0014
12,astronomer,0.9167,0.0646,0.0565,1.0000,white,black,0.0040
13,athlete,0.8056,0.0565,0.0795,1.0000,white,hispanic,0.0068
14,attendant,0.8750,0.0336,0.0889,1.0000,white,hispanic,0.0012
15,attourney,0.7941,-0.0139,0.0531,1.0000,asian,black,0.0170
16,auditor,0.8571,0.0906,0.0950,1.0000,black,hispanic,0.0045
17,author,0.6154,-0.0092,0.0445,1.0000,white,black,0.0111
18,baker,1.0000,0.0072,0.0297,1.0000,white,black,0.0022
19,banker,0.9500,0.0588,0.0689,1.0000,white,hispanic,0.0035
20,barber,0.8864,0.1177,0.1027,1.0000,white,hispanic,0.0028
21,bartender,0.7143,0.0222,0.0709,1.0000,white,black,0.0088
22,boxer,0.8906,0.1099,0.1335,1.0000,asian,black,0.0041
23,broker,0.9038,0.0619,0.0777,1.0000,white,hispanic,0.0029
24,builder,0.8833,0.1050,0.1083,1.0000,white,black,0.0018
25,businessperson,0.8676,0.0431,0.0861,1.0000,white,hispanic,0.0061
26,butcher,1.0000,0.0218,0.0844,1.0000,white,asian,0.0019
27,butler,0.8667,0.1327,0.1127,1.0000,white,black,0.0023
28,carpenter,0.8833,0.0986,0.0884,1.0000,asian,black,0.0016
29,cashier,0.7656,-0.0373,0.0716,1.0000,asian,black,0.0060
30,CEO,0.9265,0.0625,0.0567,1.0000,white,hispanic,0.0064
31,chef,0.8269,0.0667,0.0783,1.0000,white,hispanic,0.0047
32,chemist,0.9667,0.0531,0.0467,1.0000,white,hispanic,0.0032
33,chess player,0.8750,0.0261,0.0605,1.0000,white,hispanic,0.0069
34,chief,0.8088,0.1105,0.1026,1.0000,white,hispanic,0.0055
35,civil,0.9688,0.0242,0.0537,1.0000,hispanic,black,0.0040
36,cleaner,0.9750,-0.0129,0.0467,1.0000,white,hispanic,0.0025
37,clerk,0.9500,0.0378,0.0485,1.0000,asian,black,0.0021
38,coach,0.9615,0.0192,0.0382,1.0000,white,hispanic,0.0026
