,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std
0,academic,1.0000,0.0101,0.0329,1.0000,asian,hispanic,0.1050
1,accountant,0.8958,0.0509,0.0930,1.0000,asian,hispanic,0.0454
2,actor,0.9000,0.0551,0.1072,1.0000,asian,black,0.0240
3,administrator,0.8816,0.1006,0.1082,1.0000,asian,hispanic,0.0554
4,aeronautical engineer,0.9062,0.1745,0.1488,1.0000,asian,hispanic,0.0358
5,agent,0.9167,0.0935,0.1418,1.0000,asian,black,0.0273
6,airman,0.8158,0.2077,0.1738,1.0000,asian,black,0.0884
7,analyst,0.9306,0.0835,0.1228,1.0000,asian,hispanic,0.0259
8,architect,0.9000,0.1343,0.1804,1.0000,asian,hispanic,0.0395
9,army,0.9000,0.0550,0.0818,1.0000,asian,white,0.1306
10,artist,0.8906,0.0631,0.0899,1.0000,asian,black,0.0317
11,assistant,0.9500,0.0662,0.0884,1.0000,asian,hispanic,0.0196
12,astronomer,0.9375,0.0631,0.1399,1.0000,asian,white,0.0822
13,athlete,0.8611,0.1288,0.1207,1.0000,asian,hispanic,0.0568
14,attendant,0.9464,0.0145,0.1018,1.0000,asian,hispanic,0.0134
15,attourney,0.9118,0.0706,0.0804,1.0000,asian,hispanic,0.0927
16,auditor,0.8571,0.1662,0.1528,1.0000,asian,hispanic,0.0659
17,author,0.8462,0.1032,0.1030,1.0000,asian,black,0.0354
18,baker,1.0000,0.0185,0.0498,1.0000,asian,black,0.0586
19,banker,0.9333,0.0706,0.1234,1.0000,asian,hispanic,0.0318
20,barber,0.9545,0.0671,0.0969,1.0000,asian,black,0.0488
21,bartender,0.8571,0.2198,0.1747,1.0000,asian,black,0.0239
22,boxer,0.8906,0.1524,0.1299,1.0000,asian,black,0.0553
23,broker,0.8654,0.0993,0.1597,1.0000,asian,hispanic,0.0335
24,builder,0.9000,0.1293,0.1425,1.0000,asian,hispanic,0.0770
25,businessperson,0.9265,0.0699,0.1180,1.0000,asian,hispanic,0.0600
26,butcher,0.8667,0.1141,0.1438,1.0000,asian,black,0.0704
27,butler,0.9000,0.1257,0.1097,1.0000,asian,black,0.0746
28,carpenter,0.7667,0.1949,0.2108,1.0000,asian,black,0.0577
29,cashier,0.8750,0.1462,0.1130,1.0000,asian,hispanic,0.0369
30,CEO,0.8529,0.0708,0.1617,1.0000,asian,black,0.0399
31,chef,0.9615,0.0506,0.0995,1.0000,asian,black,0.0223
32,chemist,0.9667,0.0739,0.1176,1.0000,asian,hispanic,0.0662
33,chess player,0.9167,0.0564,0.0861,1.0000,asian,hispanic,0.0552
34,chief,0.7206,0.1700,0.2172,1.0000,asian,black,0.0202
35,civil,0.8594,0.1086,0.1322,1.0000,asian,black,0.1452
36,cleaner,0.9500,0.0347,0.0739,1.0000,asian,hispanic,0.0671
37,clerk,0.9750,0.0722,0.0924,1.0000,asian,hispanic,0.0362
38,coach,0.9231,0.1300,0.1426,1.0000,asian,black,0.0269
