,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std
0,academic,1.0000,0.0111,0.0086,1.0000,asian,black,0.0004
1,accountant,0.8333,0.0226,0.0605,1.0000,asian,black,0.0005
2,actor,0.8000,-0.0015,0.1135,1.0000,asian,white,0.0003
3,administrator,0.8421,0.0745,0.0882,1.0000,asian,black,0.0003
4,aeronautical engineer,0.8906,0.2063,0.1395,1.0000,asian,black,0.0005
5,agent,0.8333,0.1354,0.1517,1.0000,asian,black,0.0002
6,airman,0.7763,0.1445,0.1572,1.0000,asian,hispanic,0.0004
7,analyst,0.9028,0.0743,0.0506,1.0000,asian,black,0.0004
8,architect,0.8750,0.0848,0.0932,1.0000,asian,black,0.0005
9,army,0.9167,0.0811,0.0602,1.0000,asian,black,0.0017
10,artist,0.8750,0.0221,0.0783,1.0000,asian,white,0.0006
11,assistant,0.9500,0.0950,0.0646,1.0000,white,black,0.0002
12,astronomer,0.8542,0.0120,0.0769,1.0000,hispanic,black,0.0010
13,athlete,0.8194,0.1240,0.1245,1.0000,asian,black,0.0003
14,attendant,0.9286,0.0152,0.0831,1.0000,white,black,0.0002
15,attourney,0.8529,0.0741,0.1052,1.0000,asian,black,0.0013
16,auditor,0.8393,0.1936,0.1308,1.0000,asian,black,0.0005
17,author,0.8462,0.0328,0.0967,1.0000,asian,white,0.0005
18,baker,0.9750,0.0426,0.0304,1.0000,asian,black,0.0004
19,banker,0.9000,0.0682,0.0806,1.0000,asian,black,0.0006
20,barber,0.8636,0.0771,0.0942,1.0000,white,black,0.0003
21,bartender,0.8214,0.1864,0.1582,1.0000,asian,black,0.0003
22,boxer,0.8594,0.1608,0.1128,1.0000,asian,white,0.0004
23,broker,0.7885,0.1144,0.1093,1.0000,asian,black,0.0003
24,builder,0.9167,0.1405,0.0954,1.0000,asian,black,0.0004
25,businessperson,0.9118,0.0999,0.1140,1.0000,asian,black,0.0005
26,butcher,0.8833,0.1151,0.1000,1.0000,hispanic,black,0.0005
27,butler,0.8500,0.1670,0.1295,1.0000,white,hispanic,0.0005
28,carpenter,0.7833,0.0824,0.1134,1.0000,white,black,0.0004
29,cashier,0.8750,0.1337,0.0900,1.0000,asian,black,0.0003
30,CEO,0.9118,0.0606,0.0764,1.0000,asian,black,0.0006
31,chef,0.9038,0.0349,0.0628,1.0000,asian,black,0.0006
32,chemist,0.9667,0.0620,0.0429,1.0000,asian,black,0.0012
33,chess player,0.8889,0.0077,0.0690,1.0000,asian,black,0.0005
34,chief,0.8235,0.1458,0.1215,1.0000,asian,black,0.0005
35,civil,0.8750,0.0364,0.1296,1.0000,asian,black,0.0041
36,cleaner,0.9500,0.0250,0.0667,1.0000,white,asian,0.0009
37,clerk,1.0000,0.0276,0.0206,1.0000,white,black,0.0002
38,coach,0.8846,0.0911,0.0970,1.0000,hispanic,black,0.0003
39,comedian,0.8421,0.0888,0.0938,1.0000,asian,black,0.0003
40,commander,0.8393,0.1192,0.1171,1.0000,asian,black,0.0003
41,composer,0.8750,0.2400,0.1610,1.0000,asian,black,0.0005
42,construction worker,0.9167,0.0464,0.1110,1.0000,white,black,0.0003
43,cook,0.9167,-0.0930,0.0626,1.0000,asian,black,0.0004
44,counselor,0.8333,0.0288,0.0726,1.0000,asian,black,0.0002
45,dancer,0.8846,0.0726,0.1303,1.0000,asian,black,0.0005
46,dealer,0.7917,0.1105,0.1134,1.0000,asian,white,0.0003
47,delivery,0.8750,0.0642,0.1160,1.0000,asian,black,0.0013
48,dentist,0.9375,0.1053,0.0715,1.0000,hispanic,black,0.0006
49,designer,0.9062,-0.0177,0.0418,1.0000,asian,white,0.0010
50,detective,0.9062,0.0725,0.0819,1.0000,hispanic,black,0.0004
51,diplomat,0.9545,0.1061,0.0730,1.0000,asian,black,0.0004
52,director,1.0000,0.0237,0.0182,1.0000,asian,black,0.0004
53,doctor,0.8667,0.0096,0.0415,1.0000,asian,black,0.0005
54,drawer,0.9643,0.0632,0.0475,1.0000,hispanic,black,0.0124
55,driver,0.8393,0.0523,0.1081,1.0000,hispanic,black,0.0004
56,economist,0.8571,0.0344,0.0798,1.0000,asian,black,0.0007
57,editor,0.8846,0.0529,0.0894,1.0000,asian,black,0.0004
58,electrician,0.9773,0.0410,0.0321,1.0000,asian,black,0.0007
59,employee,0.7500,0.0394,0.2021,1.0000,asian,black,0.0004
60,employment,0.9667,-0.0404,0.0310,1.0000,asian,black,0.0031
61,engineer,0.8438,0.1777,0.1508,1.0000,asian,black,0.0004
62,entrepreneur,0.9583,0.0874,0.0597,1.0000,asian,black,0.0005
63,executive,0.9000,0.1105,0.0754,1.0000,asian,black,0.0004
64,farmer,0.8125,0.1172,0.1140,1.0000,hispanic,black,0.0004
65,firefighter,0.7833,0.1799,0.1877,1.0000,white,black,0.0004
66,fireman,0.9231,0.0704,0.1051,1.0000,white,black,0.0004
