,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
template,A1,A2,A3,A4,A,B1,B2,B3,B4,B,C1,C2,C3,C4,C,Gender,Race-AB,Race-C
en1,0.08735071893753775,0.08448499219065707,0.0004944819862737884,0.00043531314240054003,0.04319137656421728,0.18695539876216208,0.09976638122329314,0.0003880079524939171,0.0003793309550583844,0.07187227972325189,0.0028124444596618016,0.001646618594763409,0.014203386554929373,0.003801465099953572,0.005615978677327039,0.07926222035470686,0.00042428350905665747,0.0027240418473584906
nn1,0.9044382900968194,0.9131709467982874,0.9976953675209637,0.9978398624165304,0.9532861167081502,0.807652744805906,0.8957400867678225,0.9980756287843409,0.9985678817691475,0.9250090855318042,0.9760163350308195,0.971251552882181,0.9284817235318709,0.9146017921172985,0.9475878508905425,0.9042500211719209,0.9980446851227457,0.9429266724997398
cn1,0.008210991364554502,0.0023440628789539912,0.0018101506300834598,0.0017248207933052667,0.0035225064167243047,0.00539185383397853,0.0044935313918103926,0.001536360734001353,0.0010527917469956044,0.00311863442669647,0.021171207568841055,0.027101827497641683,0.05731488842343236,0.08159674341524925,0.04679616672629109,0.016487755910261803,0.001531030976096421,0.05434928545644547
en2,0.06748906032257947,0.06154183634594665,0.0004605718299707162,0.0003583051837832217,0.03246244342057002,0.07781409057797282,0.06315151042428624,0.0003128863990382278,0.00032459563602781695,0.03540077075933128,0.0028455967589484607,0.002039609448977651,0.004327777427173083,0.0056644848341196935,0.003719367117304722,0.0461949786428178,0.0003640897622049957,0.003852047141548672
nn2,0.9203903244491667,0.935225170724094,0.9971260130405426,0.9979458800677595,0.9626718470703908,0.9152630604179576,0.9286593556050211,0.9984194560789726,0.9987860902630049,0.9602819905912391,0.9440746054182106,0.9432306125209752,0.7847544055820292,0.899516358802549,0.892893995580941,0.9047278203660799,0.99806935986257,0.9213734856617621
cn2,0.012120614256738918,0.0032329927844693884,0.002413413816535006,0.0016958156699948977,0.004865709131934552,0.006922849513881374,0.008189133153064177,0.001267655072143485,0.0008893151334005183,0.004317238218122388,0.053079802961524654,0.05472978418666488,0.21091781505157456,0.09481915663637351,0.1033866397090344,0.04907720128687551,0.0015665499230184767,0.07477447041151919
en3,,,0.0005144888715913625,0.000363500713790237,0.0004389947926907997,,,0.00039839256320371697,0.00037381562037024134,0.00038610409178697913,,,,,,,0.0004125494422388894,
nn3,,,0.997135299192348,0.9978221618923647,0.9974787305423564,,,0.9982892404979383,0.9986879070257318,0.9984885737618351,,,,,,,0.9979836521520957,
cn3,,,0.002350211919049247,0.0018143356147479139,0.00208227376689858,,,0.0013123636083139606,0.0009382764928259662,0.0011253200505699633,,,,,,,0.0016037969087342716,
en4,,,0.0004880543385015827,0.0003867914623195498,0.00043742290041056623,,,0.0004996027974543017,0.00043674100216494166,0.0004681718998096217,,,,,,,0.000452797400110094,
nn4,,,0.9974953691724321,0.9981717436478056,0.9978335564101188,,,0.9977105629276222,0.9985086563332327,0.9981096096304274,,,,,,,0.9979715830202732,
cn4,,,0.002016576270172766,0.0014414699544431642,0.0017290231123079651,,,0.0017898395714107376,0.0010546030469664276,0.0014222213091885827,,,,,,,0.001575622210748274,
