,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
58,electrician,0.9118,0.1099,0.1240,1.0000,asian,black,0.2602,0.1921
140,theologian,0.9118,0.0981,0.1167,1.0000,asian,black,0.2348,0.1757
9,army,0.8897,0.0751,0.1222,1.0000,asian,white,0.1306,0.1264
93,mathematician,0.8676,0.0882,0.1339,1.0000,asian,white,0.1179,0.1259
86,lawn mower,0.8456,0.1097,0.1220,1.0000,asian,hispanic,0.1164,0.1192
28,carpenter,0.8235,0.1490,0.1803,1.0000,asian,black,0.0577,0.1190
111,plumber,0.8897,0.1297,0.1286,1.0000,asian,hispanic,0.1028,0.1157
26,butcher,0.8529,0.1096,0.1599,1.0000,asian,black,0.0704,0.1151
47,delivery,0.8897,0.0602,0.1038,1.0000,asian,hispanic,0.1261,0.1149
56,economist,0.9338,0.0876,0.1138,1.0000,asian,black,0.1154,0.1146
129,sheriff,0.8529,0.1293,0.1748,1.0000,asian,black,0.0530,0.1139
60,employment,0.9118,0.0499,0.0852,1.0000,asian,black,0.1398,0.1125
48,dentist,0.8676,0.1224,0.1477,1.0000,asian,hispanic,0.0756,0.1117
75,handyman,0.8676,0.1399,0.1731,1.0000,asian,hispanic,0.0499,0.1115
108,physicist,0.9338,0.0978,0.1132,1.0000,asian,white,0.1067,0.1100
115,postman,0.8676,0.1555,0.1557,1.0000,asian,black,0.0641,0.1099
35,civil,0.9118,0.0607,0.0724,1.0000,asian,black,0.1452,0.1088
30,CEO,0.8162,0.1063,0.1719,1.0000,asian,black,0.0399,0.1059
12,astronomer,0.9338,0.0824,0.1291,1.0000,asian,white,0.0822,0.1057
6,airman,0.8897,0.1224,0.1209,1.0000,asian,black,0.0884,0.1047
24,builder,0.8897,0.0943,0.1302,1.0000,asian,hispanic,0.0770,0.1036
40,commander,0.9118,0.1172,0.1750,1.0000,asian,black,0.0322,0.1036
70,grocer,0.9338,0.0929,0.1231,1.0000,asian,black,0.0837,0.1034
54,drawer,0.8456,0.0644,0.0996,1.0000,asian,black,0.1057,0.1026
8,architect,0.9118,0.1143,0.1637,1.0000,asian,hispanic,0.0395,0.1016
0,academic,0.9118,0.0763,0.0947,1.0000,asian,hispanic,0.1050,0.0999
32,chemist,0.9338,0.0879,0.1311,1.0000,asian,hispanic,0.0662,0.0987
91,magician,0.9338,0.0826,0.1469,1.0000,asian,white,0.0499,0.0984
34,chief,0.8309,0.0972,0.1728,1.0000,asian,black,0.0202,0.0965
85,landlord,0.9118,0.0878,0.1451,1.0000,asian,black,0.0478,0.0964
139,tennis player,0.8897,0.1009,0.0939,1.0000,asian,hispanic,0.0957,0.0948
124,salesperson,0.9118,0.0784,0.1161,1.0000,asian,hispanic,0.0733,0.0947
80,inspector,0.9338,0.0989,0.1576,1.0000,asian,hispanic,0.0309,0.0942
66,fireman,0.8676,0.1504,0.1492,1.0000,asian,black,0.0393,0.0942
16,auditor,0.9118,0.0820,0.1221,1.0000,asian,hispanic,0.0659,0.0940
118,prosecutor,0.9118,0.1096,0.1368,1.0000,asian,black,0.0499,0.0934
120,radiologist,0.9338,0.0949,0.1115,1.0000,asian,hispanic,0.0696,0.0906
94,mechanic,0.9118,0.0917,0.1209,1.0000,asian,hispanic,0.0591,0.0900
64,farmer,0.8897,0.1055,0.1312,1.0000,asian,black,0.0485,0.0898
63,executive,0.9338,0.1071,0.1291,1.0000,asian,hispanic,0.0504,0.0897
135,surgeon,0.9118,0.0948,0.1479,1.0000,asian,hispanic,0.0304,0.0892
61,engineer,0.9338,0.0917,0.1235,1.0000,asian,black,0.0534,0.0884
113,police officer,0.9338,0.1121,0.1026,1.0000,asian,black,0.0738,0.0882
69,gambler,0.9338,0.0994,0.1051,1.0000,asian,hispanic,0.0708,0.0879
67,football player,0.8676,0.1277,0.1171,1.0000,asian,hispanic,0.0585,0.0878
92,manager,0.8897,0.1085,0.1449,1.0000,asian,hispanic,0.0303,0.0876
42,construction worker,0.8897,0.1041,0.1174,1.0000,asian,black,0.0572,0.0873
119,psychologist,0.9118,0.0757,0.1188,1.0000,asian,black,0.0551,0.0869
141,umpire,0.9338,0.0946,0.1190,1.0000,asian,black,0.0536,0.0863
72,guitarist,0.8897,0.1302,0.1339,1.0000,asian,black,0.0386,0.0862
110,pilot,0.9118,0.0982,0.1135,1.0000,asian,hispanic,0.0589,0.0862
114,politician,0.8897,0.1068,0.1324,1.0000,asian,black,0.0400,0.0862
50,detective,0.8971,0.0852,0.1373,1.0000,asian,hispanic,0.0344,0.0859
27,butler,0.9338,0.0889,0.0971,1.0000,asian,black,0.0746,0.0858
62,entrepreneur,0.9118,0.0722,0.1175,1.0000,asian,hispanic,0.0516,0.0845
105,pharmacist,0.9338,0.1096,0.1230,1.0000,asian,hispanic,0.0456,0.0843
96,model,0.9338,0.0125,0.0637,1.0000,asian,white,0.1042,0.0840
104,performing artist,0.9118,0.0686,0.0960,1.0000,asian,hispanic,0.0713,0.0837
38,coach,0.9338,0.0999,0.1403,1.0000,asian,black,0.0269,0.0836
125,scientist,0.9118,0.0825,0.1273,1.0000,asian,hispanic,0.0387,0.0830
134,supervisor,0.8897,0.0671,0.1406,1.0000,asian,hispanic,0.0253,0.0830
83,judge,0.9118,0.0785,0.1136,1.0000,asian,black,0.0521,0.0828
76,historian,0.8971,0.0847,0.1414,1.0000,asian,black,0.0237,0.0825
22,boxer,0.9338,0.1061,0.1082,1.0000,asian,black,0.0553,0.0818
