,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
77,hostess,0.5809,-0.1140,0.4407,1.0000,asian,black,0.0004,0.2206
115,postman,0.8235,0.1212,0.2666,1.0000,asian,black,0.0008,0.1337
78,housekeeper,0.8529,-0.0619,0.1659,1.0000,white,hispanic,0.0005,0.0832
75,handyman,0.8676,0.1630,0.1434,1.0000,white,hispanic,0.0003,0.0718
66,fireman,0.8676,0.1212,0.1319,1.0000,white,black,0.0004,0.0662
67,football player,0.8676,0.1079,0.1207,1.0000,asian,black,0.0003,0.0605
26,butcher,0.8676,0.1185,0.1190,1.0000,hispanic,black,0.0005,0.0597
111,plumber,0.9118,0.1237,0.1180,1.0000,white,black,0.0014,0.0597
129,sheriff,0.8676,0.1307,0.1102,1.0000,hispanic,black,0.0009,0.0555
133,soldier,0.8676,0.1155,0.1097,1.0000,white,black,0.0003,0.0550
27,butler,0.8897,0.1329,0.1085,1.0000,white,hispanic,0.0005,0.0545
22,boxer,0.8676,0.1221,0.1085,1.0000,asian,white,0.0004,0.0544
86,lawn mower,0.8676,0.0905,0.1006,1.0000,asian,black,0.0024,0.0515
80,inspector,0.8676,0.1040,0.1021,1.0000,hispanic,black,0.0003,0.0512
113,police officer,0.8676,0.1044,0.1014,1.0000,white,black,0.0005,0.0509
72,guitarist,0.8676,0.1110,0.0996,1.0000,asian,black,0.0006,0.0501
50,detective,0.8676,0.1039,0.0992,1.0000,hispanic,black,0.0004,0.0498
6,airman,0.8676,0.0907,0.0990,1.0000,asian,hispanic,0.0004,0.0497
4,aeronautical engineer,0.8676,0.0964,0.0978,1.0000,asian,black,0.0005,0.0492
110,pilot,0.8676,0.1031,0.0977,1.0000,asian,white,0.0004,0.0490
58,electrician,0.8676,0.0908,0.0971,1.0000,asian,black,0.0007,0.0489
137,tailor,0.8676,0.1030,0.0967,1.0000,white,black,0.0009,0.0488
94,mechanic,0.8676,0.1001,0.0970,1.0000,asian,black,0.0003,0.0486
65,firefighter,0.8676,0.0987,0.0964,1.0000,white,black,0.0004,0.0484
34,chief,0.8676,0.1078,0.0955,1.0000,asian,black,0.0005,0.0480
28,carpenter,0.8676,0.1028,0.0956,1.0000,white,black,0.0004,0.0480
38,coach,0.8676,0.1018,0.0955,1.0000,hispanic,black,0.0003,0.0479
141,umpire,0.8676,0.1028,0.0953,1.0000,asian,black,0.0004,0.0479
120,radiologist,0.8676,0.0923,0.0945,1.0000,asian,black,0.0006,0.0476
91,magician,0.8676,0.0923,0.0929,1.0000,asian,black,0.0019,0.0474
127,security guard,0.8676,0.0913,0.0945,1.0000,white,black,0.0003,0.0474
30,CEO,0.8676,0.0910,0.0940,1.0000,asian,black,0.0006,0.0473
89,lifeguard,0.8676,0.0891,0.0942,1.0000,white,black,0.0003,0.0472
71,guard,0.8676,0.1030,0.0933,1.0000,white,black,0.0004,0.0468
76,historian,0.8676,0.0939,0.0931,1.0000,asian,black,0.0005,0.0468
82,journalist,0.8676,0.0864,0.0932,1.0000,asian,black,0.0004,0.0468
61,engineer,0.8676,0.0939,0.0927,1.0000,asian,black,0.0004,0.0466
55,driver,0.8676,0.0915,0.0925,1.0000,hispanic,black,0.0004,0.0465
118,prosecutor,0.8676,0.0821,0.0924,1.0000,asian,black,0.0005,0.0464
122,receptionist,0.8676,-0.0725,0.0917,1.0000,white,black,0.0003,0.0460
109,pianist,0.8676,0.0819,0.0915,1.0000,asian,black,0.0005,0.0460
18,baker,0.8676,0.0844,0.0912,1.0000,asian,black,0.0004,0.0458
40,commander,0.8897,0.0960,0.0913,1.0000,asian,black,0.0003,0.0458
69,gambler,0.8897,0.0737,0.0912,1.0000,white,black,0.0003,0.0458
19,banker,0.8676,0.0903,0.0910,1.0000,asian,black,0.0006,0.0458
102,painter,0.8676,0.0803,0.0891,1.0000,black,hispanic,0.0024,0.0458
1,accountant,0.8676,0.0897,0.0909,1.0000,asian,black,0.0005,0.0457
92,manager,0.8676,0.0892,0.0907,1.0000,asian,black,0.0003,0.0455
81,janitor,0.8676,0.0726,0.0905,1.0000,white,black,0.0004,0.0455
106,photographer,0.8676,0.0833,0.0905,1.0000,black,white,0.0005,0.0455
135,surgeon,0.8676,0.0903,0.0903,1.0000,asian,black,0.0004,0.0454
117,professor,0.8676,0.0925,0.0901,1.0000,hispanic,black,0.0006,0.0453
51,diplomat,0.8897,0.0710,0.0903,1.0000,asian,black,0.0004,0.0453
13,athlete,0.8676,0.0777,0.0903,1.0000,asian,black,0.0003,0.0453
9,army,0.9118,0.0926,0.0889,1.0000,asian,black,0.0017,0.0453
31,chef,0.8676,0.0883,0.0895,1.0000,asian,black,0.0006,0.0451
128,servant,0.8676,0.0823,0.0894,1.0000,white,black,0.0006,0.0450
132,software engineer,0.8676,0.0838,0.0895,1.0000,asian,black,0.0004,0.0450
57,editor,0.8676,0.0798,0.0891,1.0000,asian,black,0.0004,0.0448
20,barber,0.8676,0.0905,0.0891,1.0000,white,black,0.0003,0.0447
2,actor,0.8676,0.0807,0.0890,1.0000,asian,white,0.0003,0.0447
140,theologian,0.8897,0.0676,0.0890,1.0000,asian,black,0.0004,0.0447
16,auditor,0.8897,0.0735,0.0888,1.0000,asian,black,0.0005,0.0446
64,farmer,0.8676,0.0841,0.0887,1.0000,hispanic,black,0.0004,0.0445
107,physician,0.8676,0.0857,0.0885,1.0000,hispanic,black,0.0006,0.0445
63,executive,0.8897,0.0709,0.0886,1.0000,asian,black,0.0004,0.0445
47,delivery,0.8897,0.0764,0.0873,1.0000,asian,black,0.0013,0.0443
46,dealer,0.8676,0.0832,0.0883,1.0000,asian,white,0.0003,0.0443
130,singer,0.8676,0.0692,0.0881,1.0000,asian,white,0.0004,0.0442
52,director,0.8897,0.0853,0.0878,1.0000,asian,black,0.0004,0.0441
