,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
34,flamboyant,0.7574,0.0288,0.0893,0.8750,hispanic,white,0.3035,0.1964
83,rowdy,0.5882,-0.0137,0.0804,0.8750,hispanic,black,0.2486,0.1645
64,masculine,0.4779,-0.1053,0.1174,1.0000,asian,black,0.1887,0.1530
30,feminine,0.2941,-0.1456,0.1200,0.8750,hispanic,black,0.1839,0.1520
88,slim,0.6250,-0.0668,0.0872,1.0000,asian,black,0.2115,0.1494
70,normal,0.4412,-0.0261,0.0847,0.8750,hispanic,black,0.2006,0.1426
58,late,0.6250,-0.0390,0.0963,0.8750,hispanic,white,0.1846,0.1405
29,fat,0.6618,-0.1011,0.0934,1.0000,hispanic,black,0.1728,0.1331
66,naggy,0.6471,-0.0087,0.0917,1.0000,asian,black,0.1659,0.1288
7,burly,0.8456,0.0020,0.0683,1.0000,hispanic,black,0.1811,0.1247
8,callous,0.8676,-0.0071,0.0560,1.0000,hispanic,white,0.1925,0.1243
95,studious,0.7794,-0.0008,0.0755,1.0000,hispanic,black,0.1517,0.1136
110,uptight,0.6838,-0.0199,0.0933,1.0000,hispanic,black,0.1327,0.1130
82,right,0.5221,-0.0445,0.0764,1.0000,hispanic,white,0.1402,0.1083
108,uneducated,0.8897,0.0161,0.0630,1.0000,hispanic,black,0.1429,0.1030
54,impoverish,0.8015,0.0132,0.0711,1.0000,asian,black,0.1290,0.1000
115,welcome,0.8456,-0.0004,0.0848,1.0000,hispanic,white,0.1134,0.0991
71,odd,0.9779,0.0195,0.0523,1.0000,hispanic,white,0.1436,0.0979
63,manly,0.9559,0.0349,0.0695,1.0000,hispanic,black,0.1236,0.0965
65,muscular,0.9118,-0.0117,0.0784,1.0000,hispanic,black,0.1135,0.0960
69,nice,0.9779,-0.0138,0.0563,1.0000,hispanic,black,0.1335,0.0949
31,filthy,0.8456,-0.0439,0.0913,1.0000,hispanic,white,0.0955,0.0934
78,ready,0.5147,-0.0163,0.0872,1.0000,hispanic,black,0.0989,0.0931
107,uncare,0.6618,-0.0366,0.0955,1.0000,hispanic,black,0.0885,0.0920
39,gifted,0.8676,0.0207,0.0720,1.0000,asian,white,0.1072,0.0896
36,free,0.6250,-0.0559,0.0897,1.0000,hispanic,white,0.0881,0.0889
51,immature,0.8015,0.0195,0.0695,1.0000,hispanic,white,0.1082,0.0889
114,weird,0.9559,0.0192,0.0575,1.0000,hispanic,white,0.1192,0.0883
42,gross,0.8529,-0.0179,0.0837,1.0000,hispanic,white,0.0927,0.0882
90,smelly,0.6691,-0.0185,0.0834,1.0000,hispanic,black,0.0914,0.0874
43,handsome,0.9779,0.0480,0.0849,1.0000,hispanic,white,0.0862,0.0856
92,social,0.9559,0.0004,0.0689,1.0000,hispanic,white,0.1015,0.0852
32,fine,0.8897,-0.0430,0.0575,1.0000,hispanic,black,0.1100,0.0838
80,retarded,0.9779,-0.0085,0.0680,1.0000,hispanic,black,0.0950,0.0815
102,thin,0.7353,-0.0393,0.0866,1.0000,asian,black,0.0723,0.0795
67,naive,0.9118,-0.0218,0.0599,1.0000,hispanic,white,0.0975,0.0787
19,crafty,0.8897,-0.0347,0.0702,1.0000,hispanic,black,0.0865,0.0783
46,healthy,0.5147,-0.0655,0.1059,1.0000,hispanic,black,0.0453,0.0756
61,luxurious,0.8235,-0.0085,0.0603,1.0000,hispanic,black,0.0885,0.0744
33,fit,0.8235,-0.0044,0.0841,1.0000,hispanic,black,0.0604,0.0722
24,dirty,0.7868,0.0026,0.0973,1.0000,hispanic,black,0.0451,0.0712
77,quiet,0.8456,0.0012,0.0786,1.0000,hispanic,white,0.0632,0.0709
26,dumb,0.8676,0.0228,0.0714,1.0000,hispanic,black,0.0682,0.0698
17,complex,0.9338,0.0233,0.0658,1.0000,hispanic,black,0.0736,0.0697
87,skinny,0.7794,-0.0252,0.0832,1.0000,asian,black,0.0562,0.0697
75,proud,0.9779,0.0150,0.0557,1.0000,hispanic,white,0.0822,0.0690
13,clean,0.5000,-0.0269,0.0982,1.0000,hispanic,black,0.0367,0.0674
15,colorful,0.9338,-0.0215,0.0740,1.0000,hispanic,black,0.0599,0.0670
93,strange,0.9779,0.0191,0.0483,1.0000,hispanic,white,0.0850,0.0667
81,rich,0.8897,-0.0032,0.0561,1.0000,asian,white,0.0770,0.0666
72,polite,0.8456,-0.0082,0.0621,1.0000,hispanic,black,0.0711,0.0666
55,industrious,0.9118,-0.0057,0.0542,1.0000,hispanic,white,0.0766,0.0654
40,good,0.8676,-0.0297,0.0649,1.0000,hispanic,white,0.0658,0.0654
94,strong,0.8676,-0.0093,0.0695,1.0000,hispanic,white,0.0611,0.0653
52,important,0.9118,-0.0464,0.0761,1.0000,hispanic,white,0.0538,0.0650
28,excited,0.9118,0.0059,0.0760,1.0000,hispanic,white,0.0486,0.0623
16,comfortable,0.9559,-0.0248,0.0557,1.0000,hispanic,black,0.0681,0.0619
20,crazy,0.9118,0.0061,0.0616,1.0000,hispanic,white,0.0607,0.0611
103,timid,0.8676,0.0008,0.0613,1.0000,hispanic,black,0.0600,0.0607
6,brave,0.9118,0.0052,0.0530,1.0000,hispanic,white,0.0673,0.0601
113,wealthy,0.9338,0.0061,0.0569,1.0000,hispanic,white,0.0622,0.0596
91,sneaky,0.9118,-0.0076,0.0640,1.0000,hispanic,white,0.0546,0.0593
76,quick,0.8676,0.0229,0.0763,1.0000,hispanic,black,0.0423,0.0593
37,friendly,1.0000,0.0057,0.0482,1.0000,hispanic,black,0.0683,0.0583
53,impossible,0.7794,0.0024,0.0671,1.0000,hispanic,white,0.0472,0.0572
5,beautiful,1.0000,-0.0281,0.0572,1.0000,hispanic,black,0.0560,0.0566
105,trustworthy,0.8015,-0.0241,0.0775,1.0000,hispanic,white,0.0352,0.0563
27,emotional,0.8676,0.0051,0.0877,1.0000,hispanic,white,0.0246,0.0561
10,careful,0.8676,-0.0002,0.0804,1.0000,hispanic,black,0.0318,0.0561
79,respected,0.9779,-0.0203,0.0537,1.0000,hispanic,white,0.0582,0.0559
25,dishonest,0.8897,-0.0074,0.0662,1.0000,hispanic,black,0.0413,0.0537
12,cautious,0.8676,0.0105,0.0837,1.0000,hispanic,black,0.0232,0.0535
18,confrontational,0.7353,-0.0285,0.0793,1.0000,hispanic,white,0.0275,0.0534
60,loud,0.9118,0.0306,0.0768,1.0000,hispanic,white,0.0294,0.0531
41,greedy,0.9338,-0.0005,0.0597,1.0000,hispanic,white,0.0465,0.0531
86,silent,0.8897,0.0302,0.0763,1.0000,hispanic,black,0.0278,0.0520
97,successful,0.9118,0.0122,0.0706,1.0000,hispanic,white,0.0332,0.0519
47,homeless,0.8676,0.0201,0.0791,1.0000,hispanic,white,0.0239,0.0515
74,powerful,0.9118,0.0080,0.0595,1.0000,hispanic,white,0.0415,0.0505
