,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
35,civil,0.7353,-0.0231,0.0688,0.8750,hispanic,white,0.2872,0.1780
65,firefighter,0.7353,-0.0089,0.0902,0.8750,hispanic,black,0.2448,0.1675
6,airman,0.7353,-0.0226,0.0942,0.8750,hispanic,black,0.2232,0.1587
66,fireman,0.6618,-0.0238,0.0982,1.0000,hispanic,black,0.1982,0.1482
101,opera singer,0.7353,-0.0061,0.0672,1.0000,hispanic,white,0.2270,0.1471
22,boxer,0.8015,0.0204,0.0778,1.0000,hispanic,white,0.2103,0.1441
133,soldier,0.9118,0.0191,0.0788,1.0000,hispanic,black,0.2075,0.1432
42,construction worker,0.7353,-0.0328,0.0846,1.0000,hispanic,black,0.2016,0.1431
70,grocer,0.5882,-0.0372,0.0859,1.0000,hispanic,white,0.1868,0.1364
15,attourney,0.5515,0.0168,0.1271,1.0000,hispanic,black,0.1436,0.1353
10,artist,0.7574,0.0039,0.0636,1.0000,hispanic,white,0.2050,0.1343
102,painter,0.7794,0.0158,0.0694,1.0000,hispanic,white,0.1981,0.1338
90,linguist,0.8897,-0.0100,0.0667,1.0000,hispanic,white,0.1967,0.1317
41,composer,0.8015,0.0307,0.0829,1.0000,hispanic,white,0.1795,0.1312
100,office worker,0.7574,-0.0229,0.0746,1.0000,hispanic,black,0.1838,0.1292
76,historian,0.7574,-0.0248,0.0810,1.0000,hispanic,white,0.1740,0.1275
113,police officer,0.7574,-0.0339,0.0789,1.0000,hispanic,white,0.1734,0.1262
115,postman,0.6838,-0.0003,0.0796,1.0000,hispanic,white,0.1726,0.1261
5,agent,0.7206,-0.0283,0.0814,1.0000,hispanic,white,0.1692,0.1253
104,performing artist,0.7794,0.0024,0.0816,1.0000,hispanic,white,0.1639,0.1227
130,singer,0.8456,-0.0030,0.0577,1.0000,hispanic,white,0.1852,0.1215
71,guard,0.7794,-0.0163,0.0923,1.0000,hispanic,black,0.1494,0.1208
129,sheriff,0.8676,0.0165,0.1013,1.0000,hispanic,white,0.1375,0.1194
9,army,0.8235,-0.0139,0.0736,1.0000,hispanic,black,0.1632,0.1184
51,diplomat,0.9338,0.0226,0.0707,1.0000,hispanic,white,0.1643,0.1175
24,builder,0.8456,0.0215,0.0909,1.0000,hispanic,black,0.1431,0.1170
2,actor,0.8676,0.0636,0.0792,1.0000,hispanic,white,0.1521,0.1156
105,pharmacist,0.5882,-0.0490,0.0936,1.0000,hispanic,white,0.1364,0.1150
84,laborer,0.7574,-0.0124,0.0903,1.0000,hispanic,white,0.1371,0.1137
127,security guard,0.7206,-0.0490,0.0894,1.0000,hispanic,black,0.1351,0.1123
8,architect,0.8456,0.0392,0.0719,1.0000,hispanic,white,0.1500,0.1110
27,butler,0.8676,0.0048,0.0796,1.0000,hispanic,white,0.1413,0.1104
4,aeronautical engineer,0.9118,0.0194,0.0643,1.0000,hispanic,white,0.1555,0.1099
98,musician,0.8897,0.0206,0.0713,1.0000,hispanic,white,0.1479,0.1096
39,comedian,0.7574,0.0035,0.0688,1.0000,hispanic,white,0.1503,0.1096
13,athlete,0.8456,0.0158,0.0819,1.0000,hispanic,white,0.1336,0.1077
32,chemist,0.7353,-0.0261,0.0716,1.0000,hispanic,black,0.1436,0.1076
67,football player,0.7794,-0.0058,0.0857,1.0000,hispanic,white,0.1275,0.1066
59,employee,0.7794,-0.0289,0.0754,1.0000,hispanic,black,0.1376,0.1065
128,servant,0.6985,-0.0488,0.0823,1.0000,hispanic,black,0.1307,0.1065
112,poet,0.8897,-0.0071,0.0613,1.0000,hispanic,white,0.1505,0.1059
91,magician,0.7574,0.0174,0.0905,1.0000,hispanic,white,0.1206,0.1055
28,carpenter,0.8235,0.0115,0.0736,1.0000,hispanic,black,0.1353,0.1044
37,clerk,0.7353,-0.0281,0.0750,1.0000,hispanic,white,0.1336,0.1043
75,handyman,0.8015,-0.0106,0.0804,1.0000,hispanic,white,0.1273,0.1039
106,photographer,0.7353,-0.0113,0.0844,1.0000,asian,black,0.1225,0.1035
136,swimmer,0.7574,0.0011,0.0700,1.0000,hispanic,black,0.1362,0.1031
26,butcher,0.8456,-0.0039,0.0777,1.0000,hispanic,white,0.1280,0.1028
82,journalist,0.7353,-0.0328,0.0750,1.0000,hispanic,white,0.1290,0.1020
108,physicist,0.7794,-0.0062,0.0693,1.0000,hispanic,white,0.1286,0.0989
29,cashier,0.5882,-0.0556,0.0959,1.0000,hispanic,black,0.1017,0.0988
103,pensioner,0.7794,-0.0446,0.0803,1.0000,hispanic,black,0.1166,0.0984
95,medical student,0.7574,-0.0271,0.0766,1.0000,hispanic,white,0.1195,0.0981
121,realtor,0.5882,-0.0469,0.0827,1.0000,hispanic,white,0.1117,0.0972
