,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
9,capable,0.9338,0.0804,0.1030,1.0000,hispanic,white,0.0671,0.0851
52,important,0.8603,0.0884,0.1544,1.0000,hispanic,white,0.0154,0.0849
66,naggy,0.9191,0.0846,0.1612,1.0000,hispanic,white,0.0046,0.0829
13,clean,0.8897,0.0758,0.1286,1.0000,hispanic,black,0.0349,0.0818
39,gifted,0.9338,0.0920,0.1527,1.0000,hispanic,white,0.0078,0.0803
32,fine,0.9338,0.1027,0.1480,1.0000,hispanic,black,0.0108,0.0794
83,rowdy,0.8971,0.1036,0.1414,1.0000,hispanic,asian,0.0141,0.0777
80,retarded,0.8750,0.0911,0.1507,1.0000,hispanic,white,0.0041,0.0774
92,social,0.9338,0.0741,0.1369,1.0000,hispanic,asian,0.0177,0.0773
78,ready,0.9118,0.0856,0.1392,1.0000,hispanic,white,0.0126,0.0759
95,studious,0.9338,0.1230,0.1389,1.0000,hispanic,white,0.0115,0.0752
72,polite,0.8897,0.1312,0.1223,1.0000,hispanic,white,0.0253,0.0738
60,loud,0.9118,0.0755,0.1431,1.0000,hispanic,white,0.0042,0.0737
62,mad,0.9338,0.0831,0.1411,1.0000,hispanic,white,0.0050,0.0730
88,slim,0.9118,0.0860,0.1399,1.0000,hispanic,black,0.0054,0.0726
17,complex,0.9338,0.0953,0.1358,1.0000,hispanic,white,0.0083,0.0720
115,welcome,0.9559,0.0984,0.1348,1.0000,hispanic,black,0.0085,0.0716
108,uneducated,0.9338,0.0952,0.1398,1.0000,hispanic,white,0.0032,0.0715
29,fat,0.8750,0.0765,0.1342,1.0000,white,asian,0.0075,0.0709
36,free,0.9338,0.0834,0.1334,1.0000,asian,black,0.0075,0.0705
74,powerful,0.8971,0.0766,0.1292,1.0000,hispanic,black,0.0088,0.0690
79,respected,0.9559,0.0888,0.1356,1.0000,hispanic,white,0.0025,0.0690
86,silent,0.8897,0.0768,0.1351,1.0000,hispanic,white,0.0030,0.0690
61,luxurious,0.9338,0.0736,0.1027,1.0000,hispanic,asian,0.0342,0.0685
103,timid,0.8897,0.1101,0.1325,1.0000,hispanic,white,0.0030,0.0678
81,rich,0.9338,0.0916,0.1197,1.0000,hispanic,black,0.0148,0.0673
107,uncare,0.9559,0.0919,0.1246,1.0000,hispanic,black,0.0088,0.0667
15,colorful,0.8897,0.0903,0.1215,1.0000,hispanic,black,0.0117,0.0666
30,feminine,0.8897,-0.1032,0.1255,1.0000,white,black,0.0071,0.0663
19,crafty,0.8897,0.1005,0.1255,1.0000,hispanic,white,0.0070,0.0662
5,beautiful,0.9559,0.0718,0.1263,1.0000,hispanic,black,0.0060,0.0662
113,wealthy,0.9338,0.1054,0.1206,1.0000,hispanic,white,0.0085,0.0646
42,gross,0.8971,0.0916,0.1221,1.0000,hispanic,black,0.0069,0.0645
7,burly,0.9338,0.1136,0.1225,1.0000,hispanic,white,0.0055,0.0640
46,healthy,0.9118,0.0831,0.0945,1.0000,hispanic,white,0.0320,0.0632
90,smelly,0.9338,0.0750,0.1235,1.0000,hispanic,white,0.0026,0.0630
55,industrious,0.9338,0.0961,0.1138,1.0000,hispanic,black,0.0118,0.0628
34,flamboyant,0.9338,0.1027,0.1238,1.0000,hispanic,asian,0.0012,0.0625
25,dishonest,0.9118,0.0845,0.1204,1.0000,hispanic,white,0.0044,0.0624
100,talkative,0.9118,0.0828,0.1197,1.0000,hispanic,white,0.0050,0.0624
73,poor,0.9338,0.0885,0.1130,1.0000,black,asian,0.0117,0.0623
8,callous,0.9559,0.0725,0.1217,1.0000,hispanic,white,0.0021,0.0619
2,attractive,0.9559,0.0716,0.1169,1.0000,hispanic,white,0.0069,0.0619
14,clever,0.9338,0.0835,0.1111,1.0000,hispanic,black,0.0120,0.0615
64,masculine,0.9338,0.0759,0.0963,1.0000,hispanic,black,0.0265,0.0614
28,excited,0.9559,0.0908,0.1202,1.0000,hispanic,white,0.0022,0.0612
87,skinny,0.9118,0.0748,0.1205,1.0000,hispanic,white,0.0019,0.0612
104,tough,0.9338,0.0885,0.1189,1.0000,hispanic,white,0.0028,0.0609
69,nice,0.9559,0.0874,0.0892,1.0000,hispanic,black,0.0317,0.0604
27,emotional,0.9338,0.0811,0.1127,1.0000,hispanic,asian,0.0080,0.0603
58,late,0.9338,0.0964,0.1164,1.0000,hispanic,white,0.0042,0.0603
76,quick,0.9338,0.0862,0.1139,1.0000,hispanic,white,0.0063,0.0601
24,dirty,0.9338,0.0911,0.1168,1.0000,hispanic,white,0.0033,0.0601
53,impossible,0.8971,0.0647,0.1169,1.0000,hispanic,white,0.0026,0.0597
