,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
141,umpire,0.7500,0.1494,0.2348,1.0000,hispanic,white,0.0250,0.1299
53,doctor,0.7353,0.1424,0.2167,1.0000,asian,white,0.0365,0.1266
85,landlord,0.8309,0.1714,0.2380,1.0000,hispanic,white,0.0091,0.1235
103,pensioner,0.8529,0.1595,0.1783,1.0000,hispanic,white,0.0673,0.1228
9,army,0.8529,0.1449,0.2121,1.0000,asian,black,0.0144,0.1133
40,commander,0.8309,0.1504,0.2072,1.0000,hispanic,white,0.0165,0.1119
4,aeronautical engineer,0.8088,0.1846,0.1937,1.0000,hispanic,white,0.0291,0.1114
8,architect,0.8309,0.1611,0.1979,1.0000,hispanic,white,0.0240,0.1109
84,laborer,0.8162,0.1254,0.1903,1.0000,hispanic,white,0.0293,0.1098
140,theologian,0.8309,0.1669,0.1991,1.0000,hispanic,white,0.0204,0.1097
87,lawyer,0.7941,0.1600,0.2068,1.0000,hispanic,white,0.0087,0.1078
61,engineer,0.8529,0.1671,0.1863,1.0000,hispanic,white,0.0272,0.1067
33,chess player,0.8309,0.1278,0.1949,1.0000,hispanic,white,0.0179,0.1064
12,astronomer,0.8750,0.1297,0.1884,1.0000,hispanic,white,0.0236,0.1060
24,builder,0.8750,0.1380,0.1828,1.0000,hispanic,white,0.0279,0.1054
129,sheriff,0.8088,0.1338,0.1869,1.0000,hispanic,white,0.0235,0.1052
28,carpenter,0.8750,0.1134,0.1443,1.0000,hispanic,white,0.0639,0.1041
114,politician,0.8309,0.1588,0.1940,1.0000,asian,white,0.0132,0.1036
70,grocer,0.8529,0.1321,0.1540,1.0000,hispanic,white,0.0531,0.1035
115,postman,0.9118,0.1714,0.1763,1.0000,hispanic,white,0.0287,0.1025
38,coach,0.8088,0.1523,0.1979,1.0000,hispanic,white,0.0060,0.1019
62,entrepreneur,0.8897,0.1500,0.1534,1.0000,hispanic,white,0.0504,0.1019
107,physician,0.7941,0.1517,0.1926,1.0000,hispanic,white,0.0108,0.1017
2,actor,0.7500,0.1637,0.1939,1.0000,hispanic,white,0.0090,0.1015
67,football player,0.8309,0.1650,0.1984,1.0000,hispanic,white,0.0042,0.1013
75,handyman,0.8750,0.1624,0.1744,1.0000,hispanic,white,0.0277,0.1011
13,athlete,0.8676,0.1515,0.1717,1.0000,asian,white,0.0294,0.1005
42,construction worker,0.8529,0.1445,0.1822,1.0000,hispanic,white,0.0178,0.1000
34,chief,0.8382,0.1166,0.1843,1.0000,hispanic,white,0.0134,0.0989
133,soldier,0.8456,0.1694,0.1883,1.0000,hispanic,white,0.0088,0.0986
23,broker,0.8750,0.1383,0.1815,1.0000,hispanic,white,0.0154,0.0984
56,economist,0.8529,0.1579,0.1735,1.0000,asian,white,0.0223,0.0979
112,poet,0.8162,0.1036,0.1796,1.0000,hispanic,white,0.0160,0.0978
46,dealer,0.8971,0.1307,0.1799,1.0000,hispanic,white,0.0142,0.0971
64,farmer,0.8529,0.1391,0.1800,1.0000,asian,white,0.0137,0.0969
41,composer,0.7941,0.1219,0.1836,1.0000,hispanic,white,0.0099,0.0967
92,manager,0.8897,0.1620,0.1837,1.0000,hispanic,white,0.0096,0.0967
72,guitarist,0.8309,0.1344,0.1801,1.0000,hispanic,white,0.0128,0.0965
83,judge,0.8529,0.1185,0.1763,1.0000,hispanic,white,0.0161,0.0962
47,delivery,0.8162,0.0840,0.1864,1.0000,hispanic,white,0.0052,0.0958
1,accountant,0.8529,0.1535,0.1786,1.0000,hispanic,white,0.0126,0.0956
5,agent,0.8382,0.1325,0.1761,1.0000,hispanic,white,0.0142,0.0952
80,inspector,0.8529,0.1518,0.1824,1.0000,hispanic,white,0.0079,0.0951
19,banker,0.8309,0.1760,0.1837,1.0000,hispanic,white,0.0065,0.0951
66,fireman,0.8897,0.1629,0.1593,1.0000,hispanic,white,0.0310,0.0951
21,bartender,0.8529,0.1327,0.1795,1.0000,hispanic,white,0.0105,0.0950
55,driver,0.8750,0.1404,0.1793,1.0000,hispanic,black,0.0097,0.0945
86,lawn mower,0.8309,0.1177,0.1778,1.0000,hispanic,black,0.0107,0.0943
60,employment,0.7574,0.1089,0.1808,1.0000,hispanic,white,0.0064,0.0936
101,opera singer,0.8309,0.1007,0.1733,1.0000,asian,white,0.0137,0.0935
48,dentist,0.8750,0.1258,0.1781,1.0000,asian,white,0.0080,0.0930
65,firefighter,0.8309,0.1367,0.1712,1.0000,hispanic,white,0.0143,0.0927
25,businessperson,0.8529,0.1493,0.1698,1.0000,hispanic,white,0.0147,0.0923
20,barber,0.8750,0.1038,0.1693,1.0000,hispanic,white,0.0150,0.0922
44,counselor,0.8897,0.1281,0.1636,1.0000,hispanic,white,0.0201,0.0919
132,software engineer,0.8309,0.1541,0.1705,1.0000,hispanic,white,0.0121,0.0913
50,detective,0.8382,0.1266,0.1718,1.0000,hispanic,white,0.0073,0.0896
7,analyst,0.8897,0.1536,0.1714,1.0000,hispanic,white,0.0077,0.0895
76,historian,0.8676,0.1610,0.1703,1.0000,hispanic,white,0.0082,0.0893
18,baker,0.8529,0.1205,0.1651,1.0000,hispanic,white,0.0128,0.0890
63,executive,0.8897,0.1444,0.1663,1.0000,hispanic,white,0.0110,0.0887
139,tennis player,0.8088,0.1287,0.1661,1.0000,asian,white,0.0098,0.0880
105,pharmacist,0.8529,0.1270,0.1517,1.0000,hispanic,white,0.0240,0.0879
30,CEO,0.8897,0.1657,0.1712,1.0000,hispanic,white,0.0045,0.0878
