,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
54,drawer,0.0000,0.0103,0.0559,0.1667,asian,white,0.1180,0.0869
86,lawn mower,0.0000,0.0102,0.0391,0.0682,asian,white,0.1309,0.0850
129,sheriff,0.0000,0.0419,0.0526,0.1250,asian,black,0.1157,0.0842
46,dealer,0.0000,0.0234,0.0496,0.1058,asian,white,0.1179,0.0837
40,commander,0.0000,0.0009,0.0590,0.1635,asian,white,0.1082,0.0836
23,broker,0.0000,0.0314,0.0557,0.2333,asian,white,0.1106,0.0832
105,pharmacist,0.0000,0.0037,0.0532,0.2188,asian,white,0.1121,0.0826
97,mover,0.0000,-0.0094,0.0510,0.4519,asian,white,0.1135,0.0822
15,attourney,0.0208,-0.0179,0.0493,0.4250,asian,white,0.1147,0.0820
7,analyst,0.0000,0.0446,0.0558,0.1736,asian,white,0.1066,0.0812
27,butler,0.0000,0.0253,0.0582,0.2396,asian,white,0.1033,0.0807
116,producer,0.0000,-0.0093,0.0499,0.0385,asian,white,0.1113,0.0806
96,model,0.0000,0.0174,0.0478,0.2159,asian,white,0.1126,0.0802
83,judge,0.0417,0.0408,0.0472,0.1667,asian,white,0.1124,0.0798
81,janitor,0.0000,0.0020,0.0437,0.6806,asian,white,0.1154,0.0796
107,physician,0.0357,0.0277,0.0423,0.3906,asian,white,0.1163,0.0793
18,baker,0.0000,0.0276,0.0482,0.0625,asian,white,0.1102,0.0792
85,landlord,0.0000,0.0404,0.0533,0.1979,asian,white,0.1051,0.0792
26,butcher,0.0000,0.0198,0.0431,0.1071,asian,white,0.1145,0.0788
35,civil,0.1000,0.0143,0.0432,0.0500,hispanic,white,0.1138,0.0785
20,barber,0.0250,0.0099,0.0472,0.5179,asian,white,0.1096,0.0784
80,inspector,0.0000,-0.0073,0.0557,0.2500,asian,white,0.1008,0.0783
24,builder,0.0000,0.0408,0.0506,0.0781,asian,white,0.1053,0.0780
21,bartender,0.0000,0.0021,0.0413,0.0417,asian,white,0.1145,0.0779
123,researcher,0.0156,0.0226,0.0448,0.5000,asian,white,0.1106,0.0777
121,realtor,0.0000,0.0294,0.0530,0.1538,asian,white,0.1020,0.0775
84,laborer,0.0500,0.0234,0.0493,0.5268,asian,white,0.1035,0.0764
32,chemist,0.0417,0.0217,0.0519,0.1705,asian,white,0.1000,0.0759
103,pensioner,0.0167,0.0061,0.0443,0.5583,asian,white,0.1073,0.0758
48,dentist,0.0000,0.0017,0.0412,0.1071,asian,white,0.1104,0.0758
138,teacher,0.0000,0.0172,0.0504,0.2734,asian,white,0.1006,0.0755
141,umpire,0.0250,0.0178,0.0485,0.0781,asian,white,0.1023,0.0754
10,artist,0.0000,-0.0179,0.0431,0.0982,asian,white,0.1071,0.0751
118,prosecutor,0.0000,0.0006,0.0391,0.2500,asian,white,0.1107,0.0749
77,hostess,0.0000,-0.0597,0.0642,0.0662,asian,white,0.0855,0.0748
69,gambler,0.4792,-0.0130,0.0442,0.7353,asian,white,0.1052,0.0747
51,diplomat,0.1250,0.0203,0.0444,0.3516,asian,white,0.1046,0.0745
39,comedian,0.0000,0.0137,0.0404,0.0469,asian,white,0.1081,0.0742
70,grocer,0.0000,0.0006,0.0385,0.4000,asian,white,0.1098,0.0741
1,accountant,0.1458,-0.0218,0.0435,0.5250,asian,white,0.1046,0.0741
128,servant,0.0000,0.0239,0.0486,0.4231,asian,white,0.0991,0.0739
3,administrator,0.3036,0.0198,0.0521,0.6250,asian,white,0.0951,0.0736
47,delivery,0.0000,0.0171,0.0387,0.2589,asian,white,0.1086,0.0736
137,tailor,0.0568,0.0086,0.0472,0.4141,asian,white,0.1000,0.0736
38,coach,0.0000,0.0153,0.0573,0.1750,asian,white,0.0891,0.0732
115,postman,0.0000,-0.0017,0.0314,0.3125,asian,white,0.1149,0.0731
45,dancer,0.0000,-0.0167,0.0423,0.0938,asian,white,0.1033,0.0728
117,professor,0.0500,-0.0043,0.0395,0.3409,asian,white,0.1058,0.0726
133,soldier,0.0000,0.0106,0.0513,0.1406,asian,white,0.0939,0.0726
28,carpenter,0.0208,0.0171,0.0474,0.3269,asian,white,0.0976,0.0725
55,driver,0.0000,0.0140,0.0440,0.0956,asian,white,0.1005,0.0723
16,auditor,0.0000,0.0294,0.0373,0.2500,asian,white,0.1070,0.0722
22,boxer,0.0000,0.0037,0.0450,0.0735,asian,white,0.0990,0.0720
125,scientist,0.0167,0.0013,0.0385,0.4667,asian,white,0.1054,0.0719
92,manager,0.0000,0.0248,0.0499,0.1016,asian,white,0.0936,0.0718
131,sociologist,0.0000,0.0198,0.0499,0.2422,asian,white,0.0930,0.0715
66,fireman,0.0000,-0.0096,0.0360,0.0250,asian,white,0.1067,0.0713
71,guard,0.0179,0.0366,0.0494,0.5000,asian,white,0.0931,0.0712
64,farmer,0.0000,0.0444,0.0503,0.1953,asian,white,0.0921,0.0712
0,academic,0.0938,-0.0131,0.0434,0.2232,asian,white,0.0982,0.0708
29,cashier,0.0000,0.0077,0.0412,0.3667,asian,white,0.1004,0.0708
14,attendant,0.0000,-0.0009,0.0429,0.3571,asian,white,0.0987,0.0708
19,banker,0.0227,0.0413,0.0445,0.3125,asian,white,0.0970,0.0707
43,cook,0.0000,0.0006,0.0352,0.1250,asian,white,0.1059,0.0706
135,surgeon,0.0000,0.0058,0.0452,0.2500,asian,white,0.0958,0.0705
136,swimmer,0.0000,-0.0124,0.0407,0.1544,asian,white,0.0997,0.0702
134,supervisor,0.0921,-0.0124,0.0435,0.5268,asian,white,0.0969,0.0702
88,librarian,0.0000,-0.0028,0.0478,0.0577,asian,white,0.0925,0.0702
61,engineer,0.0208,0.0390,0.0459,0.3083,asian,white,0.0942,0.0700
111,plumber,0.0000,-0.0027,0.0327,0.0288,asian,white,0.1074,0.0700
112,poet,0.0000,0.0206,0.0461,0.1429,asian,white,0.0934,0.0698
34,chief,0.0000,0.0072,0.0389,0.1607,asian,white,0.1004,0.0697
12,astronomer,0.0556,0.0175,0.0444,0.2500,asian,white,0.0949,0.0696
108,physicist,0.2167,0.0032,0.0421,0.3750,asian,white,0.0971,0.0696
37,clerk,0.0000,0.0144,0.0430,0.1923,asian,white,0.0960,0.0695
65,firefighter,0.0000,-0.0177,0.0373,0.0667,asian,white,0.1016,0.0694
120,radiologist,0.0000,0.0099,0.0367,0.3750,asian,white,0.1020,0.0694
113,police officer,0.0000,-0.0013,0.0419,0.2344,asian,white,0.0969,0.0694
36,cleaner,0.1250,0.0185,0.0423,0.7917,asian,white,0.0954,0.0688
76,historian,0.0000,0.0286,0.0467,0.0750,asian,white,0.0908,0.0688
60,employment,0.0312,-0.0052,0.0499,0.2833,asian,white,0.0876,0.0687
94,mechanic,0.0588,0.0046,0.0461,0.5417,asian,white,0.0910,0.0686
87,lawyer,0.0147,0.0251,0.0417,0.2031,asian,white,0.0953,0.0685
122,receptionist,0.0000,-0.0222,0.0453,0.0982,asian,white,0.0916,0.0685
8,architect,0.0000,0.0383,0.0402,0.1083,asian,white,0.0964,0.0683
99,nurse,0.0000,-0.0200,0.0348,0.0833,asian,white,0.1018,0.0683
5,agent,0.0000,0.0028,0.0395,0.1953,asian,white,0.0966,0.0681
91,magician,0.0000,0.0131,0.0309,0.1346,asian,white,0.1045,0.0677
102,painter,0.0000,0.0171,0.0336,0.0781,asian,white,0.1017,0.0676
109,pianist,0.0000,0.0014,0.0368,0.0417,asian,white,0.0984,0.0676
119,psychologist,0.0625,-0.0251,0.0403,0.2946,asian,white,0.0947,0.0675
100,office worker,0.0000,0.0202,0.0507,0.2344,asian,white,0.0843,0.0675
11,assistant,0.0000,-0.0267,0.0442,0.1346,asian,white,0.0906,0.0674
57,editor,0.0000,-0.0100,0.0458,0.0278,asian,white,0.0890,0.0674
42,construction worker,0.0000,-0.0074,0.0413,0.2604,asian,white,0.0933,0.0673
89,lifeguard,0.0000,0.0151,0.0427,0.5703,asian,white,0.0916,0.0671
72,guitarist,0.0000,0.0241,0.0386,0.1250,asian,white,0.0948,0.0667
53,doctor,0.0000,0.0228,0.0423,0.1016,asian,white,0.0911,0.0667
44,counselor,0.0938,-0.0060,0.0457,0.3846,asian,white,0.0875,0.0666
56,economist,0.0000,0.0203,0.0363,0.0667,asian,white,0.0965,0.0664
130,singer,0.0000,-0.0025,0.0310,0.1042,asian,white,0.1016,0.0663
50,detective,0.0000,0.0184,0.0420,0.0729,asian,white,0.0903,0.0662
75,handyman,0.0000,0.0085,0.0475,0.2212,asian,black,0.0846,0.0661
124,salesperson,0.0441,-0.0099,0.0501,0.7321,asian,white,0.0819,0.0660
49,designer,0.0000,0.0197,0.0305,0.1167,asian,white,0.1010,0.0657
