,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
template,A1,A2,A3,A4,A,B1,B2,B3,B4,B,C1,C2,C3,C4,C,Gender,Race,Race-AB,Race-C
en1,0.5155476393327117,0.46982875546067954,0.455636315561831,0.33137613255158066,0.4430972107267008,0.5991717773675919,0.5739076168835163,0.44363485591858626,0.3949359450899065,0.5029125488149002,0.44135562124404504,0.3412274242463437,0.343195983201019,0.27582969952405234,0.35040218205386503,0.49050123224826053,0.3737733954820501,0.40639581228047605,0.30852856188519806
nn1,0.2792812092266977,0.4182487594373524,0.35473245709761975,0.5210154900029301,0.39331947894115005,0.35398038328438997,0.37148800802230836,0.4386694846525788,0.49614706372469664,0.4150712349209935,0.44250199832814807,0.5587846655398607,0.5869535967276609,0.6445080119215685,0.5581870681293095,0.4087423258377596,0.5023095288232091,0.4526411238694563,0.6016463387307146
cn1,0.20517115050368012,0.1119224856812507,0.18963122827000917,0.1476083768219687,0.16358331031922718,0.046847839715890585,0.054604375375434756,0.11769566023070366,0.10891699224803597,0.08201621689251624,0.1161423810618989,0.09998791091228751,0.06985042039939965,0.07966228871755149,0.09141075027278439,0.10075644212292578,0.12391707620009274,0.14096306439267936,0.0898250998149195
en2,0.49607981940358875,0.47601687520742414,0.49148030527681114,0.3633863504528999,0.456740837585181,0.60234031252563,0.5831057455837727,0.4785832459181547,0.45300183338671923,0.5292577843535692,0.4371316090543219,0.30505950113927777,0.35405511769258285,0.2982271264276666,0.34861833857846225,0.4914549132445534,0.39828972710025495,0.44661293375864625,0.3016433137834722
nn2,0.26942021928168836,0.4054119523540139,0.33863163063302637,0.49264554588124154,0.3765273370374925,0.35019530050456527,0.362088063955307,0.4201423482224345,0.4486144009232521,0.39526002840138974,0.44714938674835447,0.5357921221716837,0.5639518749061202,0.6423669009637393,0.5473150711974744,0.3997027996250082,0.47969882479922954,0.4250084814149886,0.5890795115677114
cn2,0.2344999602753669,0.11857117302739062,0.16988806417118757,0.14396810315013864,0.16673182515602095,0.047464387360960245,0.05480619070737157,0.10127440548420417,0.0983837648278568,0.07548218709509819,0.11571900728852191,0.1591483772816983,0.08199301117565483,0.0594059738445527,0.10406659239760693,0.10884228830587768,0.12201144812660636,0.1283785844083468,0.10927717556312551
en3,,,0.49622404743731025,0.3525720953345299,0.42439807138592006,,,0.4956828102618456,0.4495112485215068,0.4725970293916762,,,,,,,0.4484975503887981,0.4484975503887981,
nn3,,,0.34292221369966863,0.5158504927828907,0.4293863532412797,,,0.4155225115716457,0.4559724447578192,0.43574747816473247,,,,,,,0.4325669157030061,0.4325669157030061,
cn3,,,0.16085373867023736,0.13157741092401556,0.14621557479712646,,,0.08879467784520238,0.09451630705338902,0.0916554924492957,,,,,,,0.11893553362321109,0.11893553362321109,
en4,,,0.5311791156083345,0.39228301603347066,0.4617310658209026,,,0.5342694613486528,0.5074580651223659,0.5208637632355093,,,,,,,0.49129741452820597,0.49129741452820597,
nn4,,,0.3261742575392127,0.48878064715862274,0.40747745234891775,,,0.391903621956706,0.41357195262610913,0.4027377872914076,,,,,,,0.40510761982016263,0.40510761982016263,
cn4,,,0.14264662623312324,0.11893633831106126,0.13079148227209225,,,0.07382691497076303,0.0789699821616523,0.07639844856620767,,,,,,,0.10359496541914996,0.10359496541914996,
en_avg,0.5058137293681503,0.47292281533405184,0.49362994597107174,0.3599043985931203,0.45806772231659854,0.600756044946611,0.5785066812336445,0.48804259336180983,0.4512267730301246,0.5296330231430475,0.4392436151491835,0.32314346269281075,0.34862555044680094,0.28702841297585946,0.3495102603161636,0.490978072746407,0.4004959311041328,0.44820092773903164,0.30508593783433513
nn_avg,0.274350714254193,0.4118303558956832,0.3406151397423819,0.5045730439564213,0.38284231346216985,0.3520878418944776,0.36678803598880766,0.41655949160084127,0.45357646550796926,0.39725295874802397,0.44482569253825127,0.5472883938557722,0.5754527358168905,0.6434374564426539,0.5527510696633919,0.40422256273138385,0.48434166518433996,0.4288310352019034,0.5953629251492131
