,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
18,confrontational,0.1250,-0.0635,0.1267,0.5735,asian,white,0.2362,0.1814
27,emotional,0.7500,-0.0289,0.1119,0.7917,asian,white,0.2392,0.1756
42,gross,0.2500,-0.0151,0.1151,0.5882,asian,white,0.2352,0.1752
30,feminine,0.1974,-0.1264,0.1456,0.6042,asian,white,0.2006,0.1731
70,normal,0.2206,-0.0374,0.1186,0.6806,asian,white,0.2237,0.1712
109,upset,0.8056,0.0128,0.1416,0.9118,asian,black,0.1981,0.1699
36,free,0.3750,-0.0702,0.1247,0.8472,asian,white,0.2137,0.1692
53,impossible,0.7344,0.0012,0.1172,0.8403,asian,white,0.2166,0.1669
12,cautious,0.7368,-0.0047,0.1266,0.8542,asian,white,0.2068,0.1667
35,fragile,0.7812,-0.0012,0.1264,0.8971,asian,white,0.2059,0.1662
107,uncare,0.3906,-0.0756,0.1047,0.7083,asian,white,0.2275,0.1661
48,hopeless,0.8661,-0.0192,0.1190,0.8889,asian,white,0.2091,0.1640
29,fat,0.4773,-0.1015,0.1357,0.9265,asian,white,0.1919,0.1638
88,slim,0.0833,-0.0590,0.1135,0.7500,asian,black,0.2100,0.1617
10,careful,0.6944,-0.0730,0.1233,0.8824,asian,white,0.2000,0.1616
62,mad,0.8472,-0.0215,0.1301,0.9297,asian,white,0.1926,0.1614
54,impoverish,0.8182,0.0356,0.1111,0.8542,asian,white,0.2058,0.1584
84,rude,0.9167,0.0049,0.1098,0.9118,asian,white,0.2064,0.1581
102,thin,0.2692,-0.0458,0.1124,0.9028,asian,black,0.2001,0.1563
91,sneaky,0.7143,-0.0379,0.1236,0.8542,asian,black,0.1877,0.1556
66,naggy,0.0833,-0.0081,0.0957,0.6912,asian,white,0.2141,0.1549
110,uptight,0.4821,-0.0839,0.1043,0.8824,asian,black,0.2024,0.1533
26,dumb,0.7250,-0.0216,0.1156,0.8889,asian,white,0.1902,0.1529
63,manly,0.7321,0.0312,0.1315,0.9167,asian,black,0.1735,0.1525
80,retarded,0.8824,-0.0103,0.0947,0.8529,asian,white,0.2101,0.1524
95,studious,0.3250,-0.0224,0.1118,0.8542,asian,white,0.1924,0.1521
34,flamboyant,0.2105,-0.0010,0.0930,0.7083,asian,white,0.2109,0.1520
3,awful,0.8281,-0.0354,0.1331,0.9632,asian,white,0.1699,0.1515
31,filthy,0.6875,-0.0069,0.1073,0.8333,asian,black,0.1951,0.1512
100,talkative,0.7143,-0.0082,0.1086,0.8906,asian,white,0.1923,0.1504
90,smelly,0.2500,0.0057,0.1057,0.7868,asian,black,0.1943,0.1500
68,nervous,0.9286,-0.0228,0.0937,0.8676,asian,black,0.2052,0.1494
51,immature,0.7000,0.0056,0.1135,0.8750,asian,black,0.1839,0.1487
24,dirty,0.4167,0.0384,0.1133,0.8828,asian,black,0.1834,0.1484
43,handsome,0.8167,0.0078,0.1357,0.9653,asian,white,0.1588,0.1472
77,quiet,0.7206,0.0522,0.1107,0.9306,asian,white,0.1835,0.1471
22,defiant,0.8958,-0.0295,0.1166,0.9375,asian,white,0.1769,0.1468
72,polite,0.8571,-0.0418,0.0990,0.9118,asian,white,0.1940,0.1465
19,crafty,0.6667,0.0308,0.0923,0.8333,asian,black,0.1991,0.1457
64,masculine,0.1500,0.0030,0.1007,0.7206,asian,white,0.1867,0.1437
78,ready,0.4904,0.0363,0.0993,0.8958,asian,black,0.1874,0.1433
25,dishonest,0.9038,0.0277,0.1071,0.9306,asian,black,0.1788,0.1430
83,rowdy,0.1136,0.0082,0.0699,0.6167,asian,black,0.2158,0.1429
4,bad,0.9079,0.0024,0.0984,0.9375,asian,hispanic,0.1860,0.1422
76,quick,0.7206,-0.0076,0.0959,0.9412,asian,black,0.1881,0.1420
20,crazy,0.8167,-0.0396,0.1080,0.8958,asian,white,0.1758,0.1419
115,welcome,0.8250,-0.0897,0.1127,0.9722,asian,white,0.1705,0.1416
87,skinny,0.4231,-0.0626,0.1084,0.9236,asian,white,0.1745,0.1415
11,careless,0.8906,-0.0447,0.1118,0.9485,asian,white,0.1711,0.1415
103,timid,0.9531,0.0172,0.0906,0.9141,asian,white,0.1921,0.1413
45,harsh,0.9583,0.0266,0.0972,0.9444,asian,black,0.1844,0.1408
28,excited,0.9375,-0.0429,0.0926,0.9265,asian,black,0.1884,0.1405
112,weak,0.9167,0.0026,0.0998,0.9297,asian,black,0.1777,0.1388
86,silent,0.9130,0.0322,0.1024,0.8958,asian,white,0.1744,0.1384
8,callous,0.8125,-0.0154,0.0916,0.9062,asian,white,0.1823,0.1369
0,angry,0.9091,-0.0213,0.0944,0.9191,asian,white,0.1791,0.1368
47,homeless,0.9125,-0.0050,0.0831,0.9044,asian,black,0.1893,0.1362
33,fit,0.5476,-0.0479,0.0999,0.9514,asian,black,0.1724,0.1361
13,clean,0.1912,0.0050,0.0863,0.8611,asian,black,0.1848,0.1356
105,trustworthy,0.3971,-0.0115,0.0913,0.8819,asian,white,0.1797,0.1355
46,healthy,0.2308,-0.0568,0.0959,0.9338,asian,white,0.1750,0.1354
106,ugly,0.9605,0.0030,0.1023,0.9653,asian,white,0.1681,0.1352
108,uneducated,0.9643,0.0398,0.0739,0.8672,asian,white,0.1955,0.1347
111,violent,0.9265,0.0723,0.1110,0.9609,asian,black,0.1563,0.1337
40,good,0.6324,-0.0651,0.1060,0.9514,asian,white,0.1612,0.1336
9,capable,0.7625,-0.0098,0.0957,0.9514,asian,white,0.1706,0.1332
69,nice,0.9342,-0.0490,0.0970,0.9338,asian,white,0.1689,0.1330
5,beautiful,0.8816,-0.0892,0.0958,0.9485,asian,white,0.1677,0.1318
58,late,0.4342,0.0111,0.0868,0.9028,asian,white,0.1751,0.1309
65,muscular,0.6842,0.0115,0.1214,0.9632,asian,white,0.1386,0.1300
