,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
15,attourney,0.1667,0.0172,0.1155,0.6667,asian,white,0.2113,0.1634
86,lawn mower,0.0000,-0.0359,0.0919,0.4432,asian,white,0.2341,0.1630
29,cashier,0.0385,0.0310,0.1019,0.8833,asian,black,0.2169,0.1594
84,laborer,0.3750,-0.0408,0.0997,0.8571,asian,white,0.2099,0.1548
77,hostess,0.2750,-0.0994,0.1079,0.8897,asian,black,0.1986,0.1532
97,mover,0.3654,-0.0349,0.1095,0.9135,asian,black,0.1899,0.1497
47,delivery,0.0469,-0.0487,0.0859,0.8929,hispanic,black,0.1998,0.1429
17,author,0.1711,-0.0341,0.0849,0.6538,hispanic,black,0.1992,0.1421
104,performing artist,0.4773,-0.0137,0.0868,0.8000,asian,white,0.1964,0.1416
81,janitor,0.1923,0.0177,0.0921,0.9444,hispanic,white,0.1911,0.1416
115,postman,0.1875,-0.0483,0.0927,0.8646,asian,white,0.1896,0.1412
100,office worker,0.4375,0.0522,0.0994,0.8906,asian,white,0.1811,0.1402
141,umpire,0.1000,0.0085,0.0969,0.8516,asian,white,0.1811,0.1390
35,civil,0.0750,-0.0181,0.0852,0.5583,hispanic,white,0.1928,0.1390
111,plumber,0.1250,-0.0051,0.0985,0.9327,asian,black,0.1780,0.1383
101,opera singer,0.1964,-0.0372,0.0879,0.7891,asian,black,0.1873,0.1376
65,firefighter,0.1042,0.0381,0.0841,0.4750,asian,white,0.1908,0.1374
105,pharmacist,0.2143,-0.0631,0.0923,0.9141,asian,white,0.1825,0.1374
132,software engineer,0.6087,-0.0433,0.1022,0.9250,asian,white,0.1721,0.1372
66,fireman,0.1154,-0.0598,0.0990,0.9333,asian,white,0.1735,0.1362
70,grocer,0.1000,-0.0287,0.0830,0.7833,asian,white,0.1893,0.1361
73,hairdresser,0.0667,0.0106,0.0637,0.8558,asian,white,0.2057,0.1347
58,electrician,0.4750,-0.0160,0.0985,0.9432,asian,black,0.1704,0.1344
136,swimmer,0.1912,-0.0010,0.0879,0.8235,asian,black,0.1801,0.1340
69,gambler,0.6875,-0.0181,0.0725,0.7132,asian,black,0.1950,0.1338
25,businessperson,0.8235,0.0194,0.0828,0.9141,asian,white,0.1845,0.1336
112,poet,0.5750,-0.0305,0.1086,0.9643,hispanic,asian,0.1566,0.1326
127,security guard,0.1250,-0.0459,0.0855,0.8214,asian,white,0.1797,0.1326
55,driver,0.2083,0.0114,0.0886,0.9559,asian,black,0.1766,0.1326
6,airman,0.0333,-0.0156,0.0827,0.8482,asian,black,0.1824,0.1326
75,handyman,0.2188,-0.0282,0.0928,0.9231,asian,hispanic,0.1707,0.1318
54,drawer,0.0192,-0.0063,0.0670,0.8958,asian,black,0.1953,0.1311
16,auditor,0.2917,-0.0205,0.1079,0.9659,asian,white,0.1532,0.1306
42,construction worker,0.1389,-0.0097,0.0827,0.7500,asian,white,0.1776,0.1301
89,lifeguard,0.4342,-0.0106,0.0872,0.9531,asian,white,0.1731,0.1301
121,realtor,0.0469,-0.0128,0.0762,0.7692,asian,black,0.1830,0.1296
124,salesperson,0.7353,-0.0237,0.0900,0.9375,black,white,0.1685,0.1293
71,guard,0.2321,0.0057,0.0904,0.9609,asian,black,0.1675,0.1290
113,police officer,0.2188,-0.0306,0.0724,0.8438,asian,black,0.1852,0.1288
91,magician,0.1923,0.0153,0.0780,0.9327,asian,white,0.1794,0.1287
39,comedian,0.2250,0.0033,0.0698,0.7969,asian,white,0.1868,0.1283
24,builder,0.4375,0.0407,0.0859,0.9141,asian,white,0.1704,0.1281
109,pianist,0.1875,-0.0122,0.0694,0.9375,hispanic,white,0.1867,0.1280
13,athlete,0.3750,-0.0062,0.0780,0.9018,asian,black,0.1777,0.1279
130,singer,0.4615,-0.0342,0.0789,0.9479,asian,black,0.1748,0.1268
9,army,0.2857,-0.0465,0.0736,0.9141,hispanic,black,0.1791,0.1264
118,prosecutor,0.3438,0.0074,0.0666,0.9464,asian,white,0.1858,0.1262
103,pensioner,0.5667,-0.0181,0.0713,0.9083,asian,white,0.1779,0.1246
98,musician,0.5909,-0.0492,0.0740,0.9464,asian,white,0.1751,0.1246
