,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
34,flamboyant,0.7237,-0.1130,0.1583,0.8403,asian,white,0.2453,0.2018
107,uncare,0.9688,-0.0883,0.1212,0.9236,asian,white,0.1632,0.1422
47,homeless,0.9000,-0.0598,0.1386,0.9412,asian,hispanic,0.1275,0.1331
70,normal,0.9706,-0.0847,0.1376,0.9792,black,hispanic,0.1249,0.1313
92,social,0.8281,-0.0627,0.1207,0.9485,asian,white,0.1397,0.1302
16,comfortable,0.9231,-0.1444,0.1517,0.9861,black,hispanic,0.1048,0.1283
42,gross,0.9167,-0.0248,0.1372,0.9779,black,hispanic,0.1167,0.1269
36,free,0.8929,-0.1847,0.1500,0.9722,asian,white,0.1028,0.1264
55,industrious,0.9306,-0.0345,0.1154,0.9412,asian,hispanic,0.1350,0.1252
48,hopeless,0.9196,-0.1317,0.1535,1.0000,black,hispanic,0.0866,0.1201
108,uneducated,0.9643,-0.0491,0.0978,0.9844,asian,hispanic,0.1391,0.1184
39,gifted,0.9250,-0.0328,0.1258,0.9688,black,white,0.1096,0.1177
86,silent,0.8370,-0.0932,0.1812,1.0000,black,hispanic,0.0529,0.1170
103,timid,0.9375,-0.0985,0.1129,1.0000,asian,white,0.1174,0.1151
66,naggy,0.9167,-0.0330,0.1399,1.0000,asian,white,0.0872,0.1136
97,successful,0.9306,-0.0549,0.1340,0.9844,black,hispanic,0.0928,0.1134
17,complex,0.9333,-0.0527,0.1531,1.0000,black,white,0.0729,0.1130
77,quiet,0.8088,-0.1037,0.1515,1.0000,black,white,0.0743,0.1129
100,talkative,0.8750,-0.0746,0.1452,0.9922,asian,white,0.0765,0.1109
7,burly,0.8250,-0.1845,0.1687,1.0000,black,hispanic,0.0517,0.1102
2,attractive,0.9605,-0.0426,0.1046,0.9706,black,hispanic,0.1130,0.1088
64,masculine,0.9667,0.0304,0.1060,0.9779,asian,hispanic,0.1081,0.1071
30,feminine,0.9605,-0.0538,0.1067,0.9722,black,hispanic,0.1073,0.1070
73,poor,0.8810,-0.0551,0.1069,1.0000,asian,hispanic,0.1017,0.1043
18,confrontational,0.9375,-0.0907,0.1265,0.9926,black,hispanic,0.0816,0.1041
29,fat,0.9318,-0.0655,0.1156,1.0000,black,hispanic,0.0885,0.1020
102,thin,0.9615,-0.0772,0.1140,1.0000,black,white,0.0880,0.1010
31,filthy,0.9375,-0.0271,0.1012,1.0000,asian,hispanic,0.1006,0.1009
65,muscular,0.9079,-0.0681,0.1311,0.9779,black,hispanic,0.0705,0.1008
81,rich,0.9615,-0.0780,0.1326,1.0000,black,hispanic,0.0678,0.1002
61,luxurious,0.8906,-0.1213,0.1473,1.0000,black,hispanic,0.0528,0.1001
113,wealthy,0.9412,0.0069,0.1292,0.9922,black,hispanic,0.0699,0.0996
54,impoverish,0.9659,-0.0152,0.1098,1.0000,asian,white,0.0865,0.0981
33,fit,0.9524,-0.0677,0.0991,0.9931,black,hispanic,0.0950,0.0970
27,emotional,0.9605,-0.0961,0.0866,0.9792,black,hispanic,0.1071,0.0968
13,clean,0.9559,-0.0827,0.1214,1.0000,black,hispanic,0.0721,0.0968
46,healthy,0.9808,-0.0142,0.0862,1.0000,asian,white,0.1051,0.0956
35,fragile,0.9531,-0.0997,0.1169,0.9926,black,hispanic,0.0743,0.0956
59,lazy,0.9348,-0.1144,0.1190,0.9926,black,hispanic,0.0714,0.0952
85,sad,0.9062,-0.1089,0.1437,1.0000,black,hispanic,0.0457,0.0947
