,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
template,A1,A2,A3,A4,A,B1,B2,B3,B4,B,C1,C2,C3,C4,C,Gender,Race,Race-AB,Race-C
en1,0.19512687404069584,0.10760524942755001,0.03694717929908074,0.020437640673597345,0.09002923586023098,0.31327352181612517,0.18568589135666844,0.04044999149895739,0.02460025587049313,0.141002415135561,0.11558096191073035,0.021531553169056264,0.052807221256007925,0.02204632516369485,0.052991515374872344,0.16167995330129628,0.027668824279146617,0.030608766835532153,0.02178893916637556
nn1,0.7274237783830613,0.8684827089570463,0.9241062872060575,0.9715378267467022,0.8728876503232169,0.6601366945076734,0.788843452513218,0.941990335188806,0.9659298150837421,0.8392250743233598,0.8023573347228639,0.854982953010635,0.8661360725575735,0.8924548781665851,0.8539828096144143,0.7855633402735728,0.9251670159004215,0.950891066056327,0.87371891558861
cn1,0.07744934792362619,0.02391204094501154,0.03894653429728351,0.008024532064817323,0.037083113807684635,0.026589783541101496,0.02547065733128693,0.0175596737927699,0.009469928502861876,0.019772510792005052,0.08206170429401298,0.12348549072802681,0.08105670374193737,0.08549879697510152,0.09302567393476965,0.05275670629616275,0.047164159393476825,0.018500167164433153,0.10449214385156416
en2,0.2142263093389338,0.1503935497821076,0.10597350675295457,0.0740911138720694,0.13617111993651634,0.3442594193462282,0.2603731994961854,0.07898153004958294,0.05824018858745694,0.18546358436986338,0.13971913574223824,0.016975918962006373,0.055805749578347566,0.031847624998516066,0.061087107320277056,0.19412956054734012,0.06101831387043105,0.07932158481551596,0.024411771980261218
nn2,0.696892760688439,0.8243738927394152,0.8484976753890514,0.9088907354511321,0.8196637660670094,0.6232160632386804,0.7126793404594064,0.9016362231820821,0.9273127862066031,0.791211103271693,0.7344471292689125,0.8243522148325362,0.8244953512104444,0.89424913615412,0.8193859578665033,0.7360174229342163,0.8841564618692542,0.8965843550572171,0.8593006754933281
cn2,0.08888093036448118,0.025232557627823553,0.04552881763450568,0.01701814973805449,0.04416511384121623,0.032524518501653804,0.026947460218449123,0.019382246447959914,0.014447023916553007,0.02332531227115396,0.1258337283135451,0.15867187187012116,0.11969889726221354,0.07390323815234595,0.11952693389955645,0.06985301538136106,0.054825224626590036,0.02409405943426827,0.11628755501123356
en3,,,0.031966581994609444,0.014966101847297977,0.02346634192095371,,,0.0503604628671892,0.02855783914634958,0.03945915100676939,,,,,,,0.031462746463861546,0.031462746463861546,
nn3,,,0.9455273335427046,0.9808373321592808,0.9631823328509928,,,0.9326513140499592,0.9621584416925907,0.9474048778712749,,,,,,,0.9552936053611338,0.9552936053611338,
cn3,,,0.022506085506232922,0.00419656591025705,0.013351325708244986,,,0.016988222428422888,0.009283719017461408,0.013135970722942147,,,,,,,0.013243648215593568,0.013243648215593568,
en4,,,0.08529588568059263,0.06206883333844598,0.0736823595095193,,,0.07191331362980417,0.05176604699838208,0.06183968031409313,,,,,,,0.06776101991180622,0.06776101991180622,
nn4,,,0.87425533606112,0.9208093830682337,0.8975323595646769,,,0.9038561367690563,0.9308389346897602,0.9173475357294083,,,,,,,0.9074399476470426,0.9074399476470426,
cn4,,,0.04044877953481046,0.0171217848846718,0.02878528220974113,,,0.024230550617619882,0.017395018714712933,0.020812784666166408,,,,,,,0.02479903343795377,0.02479903343795377,
en_avg,0.2046765916898148,0.12899939960482878,0.06504578843180935,0.042890922432852675,0.11040317553982641,0.3287664705811767,0.22302954542642692,0.060426324511383425,0.040791082650670434,0.16325335579241437,0.12765004882648429,0.01925373606553132,0.054306485417177745,0.02694697508110546,0.05703931134757471,0.1779047569243182,0.04255913819555878,0.05228852950667898,0.02310035557331839
nn_avg,0.7121582695357501,0.8464283008482307,0.8980966580497334,0.9455188193563372,0.850550511947513,0.6416763788731769,0.7507613964863121,0.9200335022974759,0.9465599944181741,0.8147578180187848,0.7684022319958882,0.8396675839215856,0.8453157118840089,0.8933520071603526,0.8366843837404587,0.7607903816038945,0.9072047608672764,0.9275522435304302,0.8665097955409691
cn_avg,0.08316513914405368,0.024572299286417548,0.03685755424320814,0.011590258149450165,0.039046312705782384,0.02955715102137765,0.026209058774868028,0.019540173321693145,0.012648922537897307,0.021988826413959033,0.10394771630377905,0.14107868129907397,0.10037780050207545,0.07970101756372373,0.10627630391716306,0.06130486083876191,0.05023610118584108,0.02015922706306219,0.11038984943139885
en_std,0.07920851327630225,0.0650006723656843,0.05949682936319963,0.04784010115125817,0.06288652903911109,0.07878008127969224,0.07140529029135359,0.03635519854402231,0.03184177261797274,0.05459558568326022,0.027851295949732686,0.0066295793578981166,0.026408663745209466,0.014842331951050987,0.018932967750972814,0.058109086151329085,0.03283430216423366,0.043883475419113215,0.010735955654474551
nn_std,0.09042241094633936,0.07062423316575586,0.08134616957341541,0.05710992716225548,0.07487568521194153,0.07916264214273543,0.0734190340898931,0.04329189571485736,0.03687233871481033,0.058186477665574055,0.06267448195672416,0.042269090762023225,0.0713446069290392,0.05944549518190782,0.05893341870742361,0.07460790153841453,0.05338915285154494,0.054655082791334644,0.05085729297196552
cn_std,0.03127933782432228,0.011568879005484633,0.028995850535765626,0.010311956243958236,0.020539005902382695,0.010749247288156766,0.008510976796940668,0.010924039816813717,0.007038897489905656,0.009305790347954201,0.044927649128751114,0.041378673166367334,0.05711427919565669,0.05144126772296897,0.048715467303436025,0.02735839487321869,0.025015114162629925,0.014317686021610808,0.04640997044466815
accstd,,,,,,,,,,,,,,,,,,,
acc,0.84925,0.9585,0.9655,0.987,0.9400625,0.79225,0.938,0.995375,0.998875,0.931125,0.8829787234042553,0.8806818181818182,0.8429752066115702,0.8446038251366119,0.862809893333564,0.8773256550026377,0.9453392738864049,0.9866875,0.862642821659215
std,0.13394017469797592,0.09812918969128319,0.1132258996482538,0.07684132303831459,0.10553414676895688,0.11246131380705629,0.10222353411879158,0.06038075605046226,0.050502005881792475,0.08139190246452566,0.09030228469013862,0.06018489552419244,0.10324503324660357,0.08381939657061852,0.08438790250788827,0.10671692170864154,0.07415904611893902,0.07523749615470579,0.07200214604740549
