,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
95,studious,0.6750,-0.0060,0.1765,0.9028,black,white,0.2073,0.1919
72,polite,0.7500,-0.0012,0.1732,0.9265,black,white,0.1874,0.1803
30,feminine,0.6579,-0.0430,0.1663,0.7083,black,white,0.1847,0.1755
29,fat,0.7955,-0.0692,0.1661,0.8309,black,white,0.1806,0.1734
103,timid,0.7500,-0.0093,0.1891,0.9688,black,white,0.1552,0.1722
92,social,0.5781,0.0296,0.1720,0.9706,black,white,0.1682,0.1701
27,emotional,0.7763,-0.0499,0.2012,0.9722,black,white,0.1389,0.1700
83,rowdy,0.7727,-0.0439,0.1475,0.9583,black,white,0.1924,0.1699
36,free,0.7679,-0.0945,0.1674,0.9653,black,white,0.1696,0.1685
64,masculine,0.9333,0.0397,0.1359,0.8676,black,white,0.1983,0.1671
60,loud,0.8289,-0.0303,0.1720,0.9583,black,white,0.1594,0.1657
113,wealthy,0.8088,-0.0158,0.1735,0.9688,black,white,0.1514,0.1624
67,naive,0.7917,-0.0348,0.1589,0.9118,black,asian,0.1653,0.1621
65,muscular,0.7237,-0.0738,0.1671,0.9706,black,white,0.1569,0.1620
39,gifted,0.8000,-0.0454,0.2048,0.9688,black,white,0.1125,0.1586
81,rich,0.9038,-0.0530,0.1601,0.9632,black,white,0.1559,0.1580
87,skinny,0.7500,-0.0243,0.1538,0.9514,black,white,0.1616,0.1577
112,weak,0.9000,-0.0484,0.1493,0.8828,black,white,0.1634,0.1563
76,quick,0.7647,0.0143,0.1667,0.9706,black,white,0.1440,0.1554
46,healthy,0.7692,-0.0039,0.1669,0.9779,black,white,0.1396,0.1533
84,rude,0.8750,-0.0277,0.1650,0.9559,black,white,0.1410,0.1530
19,crafty,0.8333,-0.0090,0.1633,0.9792,black,white,0.1410,0.1522
22,defiant,0.7500,0.0058,0.1650,0.9722,black,white,0.1393,0.1521
105,trustworthy,0.9265,-0.0895,0.1475,0.9653,black,white,0.1541,0.1508
47,homeless,0.8000,-0.0408,0.1849,0.9779,black,white,0.1150,0.1499
68,nervous,0.8214,0.0033,0.1670,0.9632,black,white,0.1322,0.1496
56,intelligent,0.6324,-0.1031,0.1484,0.9583,black,white,0.1493,0.1488
13,clean,0.8529,-0.0287,0.1425,0.9514,black,white,0.1534,0.1480
78,ready,0.8173,-0.0035,0.1541,0.9722,black,white,0.1386,0.1464
106,ugly,0.9211,-0.0194,0.1315,0.9444,black,white,0.1611,0.1463
7,burly,0.8250,-0.0699,0.1628,0.9792,black,white,0.1292,0.1460
9,capable,0.4500,-0.0112,0.1360,0.9514,black,white,0.1556,0.1458
63,manly,0.8214,-0.0552,0.1486,0.9722,black,white,0.1405,0.1446
18,confrontational,0.7188,-0.0053,0.1551,0.9779,black,white,0.1326,0.1439
102,thin,0.9423,-0.0791,0.1383,0.9653,black,white,0.1493,0.1438
88,slim,0.6944,-0.0612,0.1275,0.9485,black,white,0.1593,0.1434
109,upset,0.9028,-0.0486,0.1522,0.9559,black,white,0.1344,0.1433
61,luxurious,0.8906,-0.0727,0.1474,0.9653,black,white,0.1389,0.1431
38,gentle,0.9286,-0.0074,0.1306,0.9583,black,white,0.1526,0.1416
100,talkative,0.6786,-0.0476,0.1345,0.9609,black,white,0.1486,0.1416
66,naggy,0.8810,0.0311,0.1339,0.9559,black,white,0.1481,0.1410
41,greedy,0.8875,-0.0753,0.1549,0.9792,black,white,0.1242,0.1395
17,complex,0.7000,-0.0194,0.1587,0.9722,black,white,0.1204,0.1395
33,fit,0.7619,-0.0065,0.1520,0.9792,black,white,0.1267,0.1394
115,welcome,0.9000,0.0161,0.1501,0.9722,black,white,0.1284,0.1392
59,lazy,0.9239,-0.0462,0.1280,0.9191,black,white,0.1503,0.1392
94,strong,0.8684,-0.0727,0.1584,0.9766,black,white,0.1198,0.1391
51,immature,0.7333,-0.0418,0.1249,0.9667,hispanic,white,0.1508,0.1379
97,successful,0.7500,0.0080,0.1428,0.9688,black,white,0.1315,0.1371
26,dumb,0.9125,-0.0951,0.1302,0.9514,black,asian,0.1414,0.1358
70,normal,0.8824,-0.0104,0.1221,0.9514,black,white,0.1486,0.1354
43,handsome,0.9167,-0.0204,0.1407,0.9583,black,white,0.1283,0.1345
40,good,0.8529,-0.0564,0.1310,0.9722,black,white,0.1371,0.1341
52,important,0.8235,-0.0877,0.1879,1.0000,black,white,0.0789,0.1334
62,mad,0.9028,-0.0388,0.1486,0.9688,black,white,0.1176,0.1331
14,clever,0.8971,-0.0757,0.1451,0.9722,black,white,0.1207,0.1329
74,powerful,0.9000,-0.0904,0.1499,0.9792,black,white,0.1155,0.1327
82,right,0.9167,-0.0339,0.1236,0.9632,black,white,0.1417,0.1326
35,fragile,0.9375,-0.0374,0.1398,0.9779,black,white,0.1251,0.1324
79,respected,0.8375,-0.0303,0.1515,0.9844,black,white,0.1130,0.1322
55,industrious,0.9444,-0.0427,0.1323,0.9706,black,asian,0.1318,0.1321
91,sneaky,0.9286,0.0581,0.1335,0.9722,black,white,0.1299,0.1317
86,silent,0.9022,-0.0167,0.1394,0.9722,black,white,0.1236,0.1315
42,gross,0.8750,-0.0283,0.1346,0.9706,black,white,0.1264,0.1305
111,violent,0.8971,-0.0313,0.1547,0.9531,black,white,0.1041,0.1294
0,angry,0.8409,0.0373,0.1377,0.9706,black,white,0.1200,0.1289
8,callous,0.9125,0.0099,0.1433,0.9844,hispanic,white,0.1140,0.1287
89,smart,0.8816,-0.0449,0.1293,0.9853,black,white,0.1277,0.1285
90,smelly,0.8810,-0.0176,0.1434,0.9779,black,white,0.1122,0.1278
24,dirty,0.9333,-0.1115,0.1358,0.9688,black,asian,0.1182,0.1270
53,impossible,0.9375,-0.0258,0.1478,0.9861,black,white,0.1049,0.1264
2,attractive,0.8816,-0.0298,0.1334,0.9779,black,white,0.1193,0.1264
6,brave,0.9531,-0.0271,0.1205,0.9722,black,white,0.1322,0.1264
23,desperate,0.8971,-0.0471,0.1140,0.9583,black,white,0.1371,0.1256
44,happy,0.9412,-0.0227,0.1150,0.9722,black,white,0.1349,0.1249
32,fine,0.9286,-0.0296,0.1103,0.9779,black,white,0.1392,0.1247
110,uptight,0.9821,-0.0104,0.1019,0.9706,black,white,0.1428,0.1223
34,flamboyant,0.9211,-0.0422,0.1134,0.9792,black,white,0.1307,0.1220
16,comfortable,0.9423,-0.0623,0.1195,0.9653,black,white,0.1224,0.1210
57,irresponsible,0.9286,-0.0021,0.1285,0.9706,black,white,0.1127,0.1206
10,careful,0.9444,0.0405,0.1255,0.9706,black,white,0.1127,0.1191
37,friendly,0.9375,-0.0110,0.1397,0.9844,black,white,0.0981,0.1189
48,hopeless,0.9375,-0.0396,0.1156,0.9722,black,white,0.1216,0.1186
12,cautious,0.8421,0.0079,0.1382,0.9792,black,white,0.0953,0.1168
