,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
77,hostess,0.4500,-0.0841,0.2259,0.8897,black,white,0.2007,0.2133
99,nurse,0.3500,0.0696,0.2283,0.8958,black,white,0.1937,0.2110
109,pianist,0.5000,-0.0719,0.2206,0.9271,black,white,0.1942,0.2074
17,author,0.4211,-0.0685,0.1854,0.8558,black,white,0.2248,0.2051
10,artist,0.3571,-0.0983,0.1996,0.8661,black,white,0.2082,0.2039
9,army,0.3750,-0.0672,0.1890,0.8125,black,white,0.2121,0.2005
31,chef,0.3846,-0.0004,0.2171,0.9286,black,white,0.1832,0.2002
98,musician,0.3864,-0.0365,0.1893,0.9196,black,white,0.2109,0.2001
100,office worker,0.5833,0.0812,0.2590,0.9766,black,asian,0.1407,0.1999
129,sheriff,0.5441,0.0047,0.1727,0.8500,black,white,0.2261,0.1994
2,actor,0.3438,-0.0482,0.1942,0.8417,black,white,0.2034,0.1988
55,driver,0.4375,-0.0273,0.1824,0.8382,black,white,0.2136,0.1980
76,historian,0.4583,0.0119,0.2273,0.9417,black,white,0.1676,0.1975
62,entrepreneur,0.3958,0.0343,0.1993,0.9167,black,white,0.1902,0.1947
52,director,0.3846,-0.0730,0.2192,0.9519,black,white,0.1697,0.1944
8,architect,0.3167,0.0180,0.2161,0.9083,black,white,0.1723,0.1942
138,teacher,0.4559,0.0324,0.2132,0.9531,black,white,0.1739,0.1936
139,tennis player,0.5625,-0.0059,0.2221,0.9659,black,white,0.1646,0.1933
79,illustrator,0.3409,0.0063,0.1681,0.8583,black,white,0.2166,0.1923
67,football player,0.4722,0.0039,0.1878,0.8750,black,white,0.1965,0.1922
56,economist,0.3625,-0.0008,0.2033,0.9333,black,asian,0.1802,0.1918
114,politician,0.2500,-0.0156,0.1901,0.8333,black,white,0.1934,0.1917
116,producer,0.4808,-0.0775,0.1897,0.9231,black,white,0.1919,0.1908
95,medical student,0.3750,-0.0529,0.2133,0.8958,black,white,0.1676,0.1904
63,executive,0.4688,0.0073,0.1680,0.7946,black,white,0.2128,0.1904
136,swimmer,0.3235,-0.0590,0.1723,0.7279,black,white,0.2079,0.1901
125,scientist,0.3667,0.0074,0.1790,0.8500,black,white,0.2010,0.1900
128,servant,0.7500,-0.0318,0.1899,0.9135,black,white,0.1891,0.1895
53,doctor,0.4808,-0.0577,0.1852,0.8828,black,white,0.1930,0.1891
35,civil,0.6250,0.0222,0.1880,0.9333,black,white,0.1901,0.1891
46,dealer,0.6500,0.0493,0.2012,0.9038,black,white,0.1763,0.1888
133,soldier,0.5179,-0.0023,0.1730,0.8594,black,white,0.2044,0.1887
12,astronomer,0.4028,0.0016,0.1614,0.8036,black,white,0.2159,0.1887
124,salesperson,0.5000,-0.0194,0.2038,0.9554,black,white,0.1735,0.1886
22,boxer,0.3824,-0.0136,0.1645,0.7941,black,white,0.2099,0.1872
64,farmer,0.5192,0.0663,0.1934,0.9375,black,white,0.1805,0.1870
135,surgeon,0.3816,-0.0291,0.1855,0.8846,black,white,0.1867,0.1861
72,guitarist,0.2308,-0.0504,0.1823,0.9196,black,white,0.1896,0.1859
60,employment,0.6562,-0.0341,0.1600,0.9000,black,white,0.2105,0.1853
