,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
template,A1,A2,A3,A4,A,B1,B2,B3,B4,B,C1,C2,C3,C4,C,Gender,Race,Race-AB,Race-C
en1,0.084720467749401,0.05762470132438466,0.04582427832763642,0.05098283297487069,0.059788070094073185,0.08244827901548706,0.0882375287063187,0.016494488402502613,0.010862497124064247,0.049510698312093156,0.009817964620293771,0.006851838623829694,0.0443461123697098,0.022777876709160857,0.02094844808074853,0.061199175630932495,0.02563230202701075,0.03104102420726849,0.014814857666495276
nn1,0.3380906471107155,0.672755719752051,0.6826301779597997,0.843031395457685,0.6341269850700628,0.5871576249264181,0.7812171537205577,0.8173492737412452,0.9316666027903557,0.7793476637946442,0.8303580777917771,0.8558246317234907,0.7388538398341207,0.7241206665534801,0.7872893039757172,0.6580721771892734,0.8091037913710094,0.8186693624872714,0.7899726491384853
cn1,0.577188885461539,0.2696195804141462,0.27154554428346456,0.10598577145952731,0.30608494540466924,0.33039409658312796,0.1305453167310916,0.16615623773261906,0.05747090054349974,0.17114163789758458,0.1598239614766963,0.13732353123751553,0.2168000420124447,0.2531014579390252,0.19176224816642046,0.2807286471131743,0.16526390719927522,0.15028961350477765,0.1952124945882704
en2,0.09410464604268781,0.09675805914599914,0.12927137392468285,0.15132130814774428,0.1178638468152785,0.11041432800481561,0.10407349605276249,0.054785889312508516,0.04608483767881989,0.07883963776222662,0.015334287338810874,0.00952593794830715,0.030381272381945122,0.026241460240092492,0.02037073947728891,0.0751776814945035,0.0695384678753592,0.09536585226593888,0.01788369909419982
nn2,0.3792977489223704,0.6324370555616915,0.6054454446882009,0.7207788972258568,0.5844897865995299,0.5850541630666704,0.7668523637838661,0.7940647642016411,0.8861690524369478,0.7580350858722814,0.8166919719982655,0.8153613162946634,0.6885065365705855,0.7708562640091557,0.7728540222181675,0.6448066399839082,0.7654459564760777,0.7516145396381617,0.7931087901519096
cn2,0.5265976058393717,0.27080488394759594,0.2652831817371771,0.12789979433780535,0.2976463664654875,0.30453150847740473,0.12907413980038837,0.15114934788178652,0.06774610842810944,0.1631252761469223,0.16797375031053385,0.1751127557257529,0.28111219436049556,0.20290227632418076,0.2067752441802408,0.280015680455965,0.16501557740580203,0.15301960809621962,0.18900751602496685
en3,,,0.07443660364346578,0.08808198915235699,0.08125929639791138,,,0.03498110476962756,0.03510200298472773,0.035041553877177646,,,,,,,0.058150425137544516,0.058150425137544516,
nn3,,,0.6823357842192054,0.8127860750332475,0.7475609296262264,,,0.8328054356575012,0.914840850636363,0.8738231431469321,,,,,,,0.8106920363865793,0.8106920363865793,
cn3,,,0.24322761350777,0.09913193625072017,0.17117977487924507,,,0.13221345946379007,0.05005714641092345,0.09113530293735676,,,,,,,0.1311575389083009,0.1311575389083009,
