,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
95,studious,0.7250,0.0011,0.1838,0.9653,black,white,0.1625,0.1732
72,polite,0.6964,0.0130,0.1976,0.9779,black,white,0.1448,0.1712
29,fat,0.6818,-0.0626,0.1887,0.9632,black,white,0.1474,0.1681
103,timid,0.7500,-0.0096,0.2065,0.9688,black,white,0.1277,0.1671
30,feminine,0.6184,-0.0166,0.1597,0.9097,black,white,0.1691,0.1644
64,masculine,0.9000,0.0445,0.1480,0.9338,black,white,0.1789,0.1634
83,rowdy,0.7045,-0.0425,0.1549,0.9750,black,white,0.1661,0.1605
27,emotional,0.6711,-0.0404,0.2164,0.9792,black,white,0.1009,0.1587
92,social,0.4531,0.0414,0.1873,0.9779,black,white,0.1169,0.1521
105,trustworthy,0.8971,-0.0830,0.1616,0.9722,black,white,0.1402,0.1509
67,naive,0.7292,-0.0331,0.1746,0.9485,black,asian,0.1271,0.1509
113,wealthy,0.7353,-0.0032,0.1938,0.9844,black,white,0.1062,0.1500
47,homeless,0.7000,-0.0414,0.2161,0.9853,black,white,0.0822,0.1491
39,gifted,0.7000,-0.0345,0.2200,0.9922,black,white,0.0770,0.1485
36,free,0.8571,-0.0795,0.1670,0.9792,black,white,0.1192,0.1431
53,impossible,0.8281,-0.0098,0.1972,0.9931,black,white,0.0880,0.1426
22,defiant,0.5833,0.0154,0.1781,0.9722,black,white,0.1070,0.1426
65,muscular,0.6316,-0.0688,0.1837,0.9779,black,white,0.1010,0.1423
68,nervous,0.7679,-0.0005,0.1846,0.9706,black,white,0.0998,0.1422
87,skinny,0.6731,-0.0165,0.1640,0.9792,black,white,0.1201,0.1421
109,upset,0.8611,-0.0464,0.1699,0.9706,black,white,0.1082,0.1390
13,clean,0.7794,-0.0187,0.1646,0.9722,black,white,0.1132,0.1389
43,handsome,0.8167,-0.0119,0.1780,0.9722,black,white,0.0985,0.1382
81,rich,0.8654,-0.0627,0.1651,0.9779,black,white,0.1097,0.1374
84,rude,0.8472,-0.0197,0.1775,0.9706,black,white,0.0970,0.1372
63,manly,0.8214,-0.0456,0.1676,0.9792,black,white,0.1067,0.1372
46,healthy,0.7115,-0.0031,0.1864,0.9853,black,white,0.0861,0.1362
60,loud,0.7632,-0.0131,0.1664,0.9653,black,white,0.1051,0.1357
18,confrontational,0.6250,0.0059,0.1755,0.9853,black,white,0.0957,0.1356
56,intelligent,0.4853,-0.0852,0.1622,0.9750,black,white,0.1086,0.1354
106,ugly,0.9079,-0.0109,0.1515,0.9722,black,white,0.1173,0.1344
41,greedy,0.7750,-0.0727,0.1810,0.9792,black,white,0.0872,0.1341
52,important,0.5735,-0.0686,0.2221,1.0000,black,white,0.0450,0.1336
6,brave,0.7500,-0.0182,0.1701,0.9792,black,white,0.0969,0.1335
40,good,0.6471,-0.0540,0.1553,0.9792,black,white,0.1114,0.1334
78,ready,0.7019,0.0037,0.1670,0.9792,black,white,0.0986,0.1328
61,luxurious,0.8438,-0.0689,0.1689,0.9722,black,white,0.0938,0.1313
94,strong,0.7105,-0.0663,0.1895,1.0000,black,white,0.0717,0.1306
0,angry,0.6818,0.0319,0.1593,0.9706,black,white,0.0992,0.1292
115,welcome,0.8750,0.0357,0.1635,0.9792,black,white,0.0937,0.1286
62,mad,0.7222,-0.0248,0.1630,0.9844,black,white,0.0920,0.1275
112,weak,0.9167,-0.0439,0.1571,0.9688,black,white,0.0979,0.1275
82,right,0.7222,-0.0220,0.1621,0.9779,black,white,0.0916,0.1269
10,careful,0.8333,0.0447,0.1593,0.9779,black,white,0.0942,0.1268
102,thin,0.8654,-0.0743,0.1525,0.9792,black,white,0.1009,0.1267
76,quick,0.7500,0.0070,0.1653,0.9853,black,white,0.0876,0.1265
19,crafty,0.8500,0.0102,0.1611,0.9861,black,white,0.0917,0.1264
35,fragile,0.8281,-0.0137,0.1549,0.9779,black,white,0.0977,0.1263
100,talkative,0.6607,-0.0254,0.1240,0.9688,black,white,0.1281,0.1261
24,dirty,0.9000,-0.0997,0.1653,0.9766,black,white,0.0857,0.1255
33,fit,0.7024,0.0025,0.1649,0.9931,black,white,0.0858,0.1254
