,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
9,army,0.3929,-0.0385,0.2077,0.8906,black,white,0.2002,0.2039
99,nurse,0.4250,0.0803,0.2413,0.9271,black,white,0.1617,0.2015
60,employment,0.4688,-0.0253,0.1736,0.8917,hispanic,white,0.2204,0.1970
76,historian,0.4583,0.0195,0.2413,0.9500,black,white,0.1499,0.1956
2,actor,0.2969,-0.0337,0.2057,0.9083,black,white,0.1846,0.1952
17,author,0.4079,-0.0575,0.1693,0.8846,black,white,0.2179,0.1936
56,economist,0.3875,0.0075,0.2212,0.9500,black,asian,0.1655,0.1933
77,hostess,0.5750,-0.0376,0.2221,0.9338,black,white,0.1635,0.1928
62,entrepreneur,0.4375,0.0207,0.2207,0.9306,hispanic,white,0.1622,0.1915
129,sheriff,0.5441,-0.0017,0.1641,0.8750,black,white,0.2159,0.1900
8,architect,0.3667,0.0139,0.2334,0.9583,black,white,0.1443,0.1889
63,executive,0.4219,0.0153,0.1656,0.8482,black,white,0.2108,0.1882
114,politician,0.3409,-0.0070,0.1948,0.8917,black,white,0.1793,0.1870
100,office worker,0.6667,0.0784,0.2741,1.0000,black,asian,0.0971,0.1856
46,dealer,0.5750,0.0516,0.2187,0.9519,black,white,0.1514,0.1851
22,boxer,0.3824,-0.0060,0.1862,0.9044,black,white,0.1829,0.1846
12,astronomer,0.4306,0.0101,0.1698,0.8839,black,white,0.1965,0.1831
16,auditor,0.3750,0.0312,0.2320,0.9773,black,white,0.1332,0.1826
64,farmer,0.5769,0.0695,0.2154,0.9688,black,white,0.1497,0.1826
98,musician,0.4773,-0.0235,0.1974,0.9375,black,white,0.1676,0.1825
31,chef,0.3654,-0.0015,0.2235,0.9821,black,white,0.1405,0.1820
67,football player,0.5694,-0.0032,0.2120,0.9766,black,white,0.1511,0.1816
10,artist,0.3214,-0.0862,0.1909,0.9286,black,white,0.1712,0.1811
79,illustrator,0.3636,0.0139,0.1679,0.9083,black,white,0.1937,0.1808
107,physician,0.4107,0.0512,0.1835,0.9375,black,asian,0.1768,0.1802
69,gambler,0.6042,-0.0798,0.2292,0.9706,hispanic,white,0.1310,0.1801
133,soldier,0.5000,0.0017,0.1946,0.9453,black,white,0.1649,0.1798
109,pianist,0.5469,-0.0588,0.1991,0.9583,black,white,0.1592,0.1791
128,servant,0.7308,-0.0166,0.1885,0.9519,black,white,0.1664,0.1774
95,medical student,0.4688,-0.0328,0.2203,0.9688,black,white,0.1332,0.1767
111,plumber,0.6607,-0.0431,0.1623,0.9423,black,white,0.1911,0.1767
124,salesperson,0.6029,0.0071,0.1997,0.9732,black,white,0.1500,0.1748
96,model,0.3611,0.0353,0.1845,0.9091,hispanic,white,0.1646,0.1746
89,lifeguard,0.5263,0.0034,0.1755,0.9375,hispanic,white,0.1716,0.1735
20,barber,0.5750,-0.0101,0.1785,0.9375,black,white,0.1673,0.1729
136,swimmer,0.3529,-0.0580,0.1601,0.8676,black,white,0.1848,0.1725
125,scientist,0.3833,0.0053,0.1692,0.9167,black,white,0.1756,0.1724
41,composer,0.5139,0.0019,0.2033,0.9712,black,white,0.1412,0.1723
112,poet,0.3250,0.0379,0.1509,0.9018,black,white,0.1937,0.1723
35,civil,0.6500,0.0377,0.1759,0.9667,black,white,0.1680,0.1720
3,administrator,0.5536,-0.0244,0.1909,0.9583,black,white,0.1526,0.1718
116,producer,0.4808,-0.0431,0.1903,0.9615,black,white,0.1517,0.1710
13,athlete,0.3750,-0.0233,0.1350,0.8125,black,white,0.2068,0.1709
