,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
92,social,0.8438,0.0938,0.1503,1.0000,black,hispanic,0.0085,0.0794
54,impoverish,0.9432,0.1093,0.1397,1.0000,black,hispanic,0.0075,0.0736
108,uneducated,0.8571,0.1196,0.1331,1.0000,black,hispanic,0.0048,0.0690
90,smelly,0.9405,0.1463,0.1274,1.0000,black,hispanic,0.0077,0.0675
18,confrontational,0.8906,0.1149,0.1179,1.0000,black,hispanic,0.0065,0.0622
47,homeless,0.9250,0.1187,0.1109,1.0000,black,hispanic,0.0125,0.0617
53,impossible,0.9688,0.0961,0.1147,1.0000,black,hispanic,0.0085,0.0616
27,emotional,0.9342,0.1178,0.1144,1.0000,black,hispanic,0.0074,0.0609
60,loud,0.9605,0.0877,0.1139,1.0000,black,hispanic,0.0067,0.0603
22,defiant,0.9583,0.0685,0.1046,1.0000,black,hispanic,0.0064,0.0555
99,suspicious,0.9600,0.1229,0.1042,1.0000,black,hispanic,0.0063,0.0553
50,ignorant,0.9559,0.0611,0.0990,1.0000,black,hispanic,0.0084,0.0537
42,gross,0.9722,0.1090,0.0905,1.0000,black,white,0.0095,0.0500
15,colorful,0.9773,0.0826,0.0894,1.0000,black,hispanic,0.0078,0.0486
10,careful,0.9722,0.0776,0.0884,1.0000,black,hispanic,0.0087,0.0486
98,supportive,0.9583,0.0613,0.0921,1.0000,black,hispanic,0.0038,0.0479
12,cautious,0.9737,0.0622,0.0862,1.0000,black,hispanic,0.0093,0.0478
46,healthy,0.9615,0.0621,0.0856,1.0000,black,hispanic,0.0095,0.0475
11,careless,0.9688,0.0699,0.0804,1.0000,black,hispanic,0.0138,0.0471
115,welcome,0.9500,0.1182,0.0891,1.0000,black,white,0.0049,0.0470
84,rude,0.9722,0.0955,0.0823,1.0000,black,hispanic,0.0101,0.0462
88,slim,0.9722,0.0603,0.0836,1.0000,black,hispanic,0.0083,0.0459
30,feminine,0.9868,0.0655,0.0801,1.0000,black,hispanic,0.0096,0.0449
21,dangerous,0.9833,0.0481,0.0823,1.0000,black,hispanic,0.0073,0.0448
