,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
113,police officer,0.6562,0.2616,0.2188,1.0000,black,hispanic,0.0330,0.1259
86,lawn mower,0.6711,0.0817,0.2129,1.0000,black,white,0.0386,0.1257
47,delivery,0.7188,0.2329,0.2326,1.0000,asian,hispanic,0.0135,0.1230
60,employment,0.7969,0.1617,0.2159,1.0000,asian,white,0.0226,0.1193
100,office worker,0.7708,0.2264,0.2034,1.0000,black,hispanic,0.0328,0.1181
139,tennis player,0.9062,0.1146,0.1880,1.0000,black,hispanic,0.0309,0.1095
114,politician,0.8636,0.1293,0.1858,1.0000,black,hispanic,0.0286,0.1072
42,construction worker,0.8611,0.1916,0.1768,1.0000,black,asian,0.0326,0.1047
64,farmer,0.9231,0.1508,0.1405,0.9844,black,hispanic,0.0548,0.0977
54,drawer,0.8846,0.1379,0.1603,1.0000,black,hispanic,0.0327,0.0965
122,receptionist,0.9342,0.1582,0.1559,1.0000,black,hispanic,0.0312,0.0936
124,salesperson,0.8382,0.1669,0.1626,1.0000,black,hispanic,0.0239,0.0933
105,pharmacist,0.9107,0.0304,0.1534,1.0000,black,hispanic,0.0310,0.0922
70,grocer,0.8750,0.0874,0.1448,1.0000,black,asian,0.0366,0.0907
9,army,0.8571,0.0886,0.1541,1.0000,white,asian,0.0266,0.0903
82,journalist,0.9091,0.1420,0.1549,1.0000,black,hispanic,0.0257,0.0903
127,security guard,0.8625,0.0593,0.1569,1.0000,black,asian,0.0177,0.0873
0,academic,0.8906,0.1598,0.1545,1.0000,black,hispanic,0.0185,0.0865
4,aeronautical engineer,0.9583,0.1901,0.1540,1.0000,black,asian,0.0186,0.0863
99,nurse,0.9000,0.1346,0.1275,1.0000,black,asian,0.0438,0.0857
48,dentist,0.9219,0.0917,0.1178,1.0000,black,white,0.0501,0.0840
67,football player,0.8333,0.1452,0.1458,1.0000,black,hispanic,0.0203,0.0830
74,handball player,0.8750,0.1493,0.1483,1.0000,black,hispanic,0.0163,0.0823
132,software engineer,0.9022,0.1052,0.1350,1.0000,black,asian,0.0273,0.0812
65,firefighter,0.9375,0.1490,0.1276,1.0000,black,white,0.0330,0.0803
78,housekeeper,0.9423,0.1329,0.1296,1.0000,black,hispanic,0.0308,0.0802
59,employee,0.8750,0.0243,0.1432,1.0000,black,hispanic,0.0169,0.0801
136,swimmer,0.8971,0.1653,0.1389,1.0000,black,hispanic,0.0186,0.0787
120,radiologist,0.8971,0.0918,0.1232,1.0000,black,hispanic,0.0338,0.0785
26,butcher,0.9306,0.0684,0.1258,1.0000,black,asian,0.0292,0.0775
115,postman,0.9062,0.1263,0.1093,1.0000,black,hispanic,0.0447,0.0770
95,medical student,0.9219,0.0970,0.1200,1.0000,black,white,0.0333,0.0767
88,librarian,0.9412,0.0797,0.1141,1.0000,black,hispanic,0.0382,0.0761
117,professor,0.9667,0.1184,0.1272,1.0000,black,hispanic,0.0242,0.0757
33,chess player,0.9333,0.1492,0.1315,1.0000,black,hispanic,0.0197,0.0756
80,inspector,0.9219,0.0949,0.1304,1.0000,black,hispanic,0.0208,0.0756
107,physician,0.9643,0.0596,0.1171,1.0000,black,asian,0.0334,0.0752
