,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
template,A1,A2,A3,A4,A,B1,B2,B3,B4,B,C1,C2,C3,C4,C,Gender,Race,Race-AB,Race-C
en1,0.1274850296997465,0.059430957645643503,0.005130507737165317,0.003513163861411158,0.048889914735991614,0.27249970758799463,0.15431988912948874,0.007713976991362869,0.0051797254360280934,0.10992832478621858,0.003264626302320431,0.002546890580561012,0.015156047295322949,0.005911544964307768,0.006719777285628039,0.10535937627675278,0.004999301595139369,0.005384343506491859,0.004229217772434389
nn1,0.8167340797558427,0.9187949277162551,0.9684160570800304,0.9914444218575954,0.9238473716024309,0.7024184839725495,0.8284221538007259,0.9755126192867756,0.9860441259145737,0.8730993457436562,0.9300587028264999,0.927133099895648,0.9039397222136171,0.8787476910634484,0.9099698039998033,0.8500613450475817,0.9545496691830119,0.9803543060347437,0.9029403954795482
cn1,0.055780890096677464,0.021774114763131364,0.026453436203300953,0.005042412465030793,0.027262713382035144,0.025081808244111017,0.017257957626716235,0.016773403145605697,0.008776146242162212,0.016972328814648788,0.06667666958565725,0.0703200091375038,0.08090423114457329,0.11534076356331409,0.08331041835776211,0.044579278576811106,0.040451028459486255,0.014261349514024914,0.09283038635040894
en2,0.10093448825227097,0.04872466345049906,0.00796190503455,0.0056318085201783104,0.04081321631437458,0.1338492906303145,0.0629326247436693,0.010617402808216866,0.007741319247230422,0.05378515935735778,0.0031460034574302747,0.002006864057462239,0.008241485839797192,0.006552918101660311,0.004986817864087504,0.059638092728996873,0.006752036294883025,0.0079881089025439,0.004279891079561275
nn2,0.845921851977706,0.9276893858462573,0.9461296642720699,0.9858202453255653,0.9263902868553997,0.8308664991110564,0.9157237223312259,0.953414746209979,0.9805460933148861,0.9201377652417868,0.9147893034238764,0.8989329228008335,0.7986179073033316,0.8887891316650193,0.8752823162982653,0.8722681116655755,0.9422721339313922,0.9664776872806251,0.8938610272329264
cn2,0.0531436600482557,0.023585951154935173,0.04590842934232205,0.008547945050522684,0.032796496399008904,0.03528421026677825,0.021343653095304036,0.03596785088209435,0.011712588668218813,0.02607707572809886,0.08206468828993434,0.09906020657879046,0.1931406089743553,0.10465794989920782,0.11973086343557199,0.06809379530492714,0.050975828403526026,0.025534203485789476,0.10185907823899915
en3,,,0.004816847288340796,0.003248061927733943,0.004032454608037369,,,0.007022796782664955,0.004919395298988093,0.005971096040826524,,,,,,,0.0050017753244319466,0.0050017753244319466,
nn3,,,0.967132482945919,0.9917848238945007,0.9794586534202099,,,0.9707147697210312,0.986452774822712,0.9785837722718715,,,,,,,0.9790212128460408,0.9790212128460408,
cn3,,,0.02805067079886794,0.004967114305181894,0.016508892552024916,,,0.02226243331748992,0.008627830449608154,0.015445131883549037,,,,,,,0.015977012217786978,0.015977012217786978,
en4,,,0.005997220411780291,0.004561282279901206,0.005279251345840749,,,0.007294026109273545,0.006935870597604662,0.007114948353439104,,,,,,,0.006197099849639927,0.006197099849639927,
nn4,,,0.9738921401202678,0.9909410765171051,0.9824166083186865,,,0.981029167175293,0.985760571718216,0.9833948694467545,,,,,,,0.9829057388827205,0.9829057388827205,
cn4,,,0.0201106384198647,0.004497640886809677,0.012304139653337189,,,0.011676808370510116,0.007303556577535346,0.00949018247402273,,,,,,,0.010897161063679961,0.010897161063679961,
en_avg,0.11420975897600874,0.05407781054807129,0.005976620117959101,0.004238579147306154,0.04462569219733632,0.20317449910915455,0.10862625693657901,0.008162050672879558,0.006194077644962818,0.08153922109089398,0.0032053148798753526,0.0022768773190116258,0.011698766567560071,0.006232231532984039,0.005853297574857772,0.08249873450287484,0.005513406072517216,0.006142831895776908,0.004254554425997832
nn_avg,0.8313279658667743,0.9232421567812562,0.9638925861045718,0.9899976418986917,0.9271150876628236,0.7666424915418029,0.8720729380659759,0.9701678255982698,0.9847008914425969,0.8983960366621613,0.9224240031251882,0.9130330113482408,0.8512788147584743,0.8837684113642339,0.8926260601490343,0.8611647283565786,0.9509267279594341,0.9771897362610326,0.8984007113562373
cn_avg,0.05446227507246658,0.02268003295903327,0.03013079369108891,0.005763778176886262,0.028259219974868757,0.03018300925544463,0.019300805361010136,0.021670123928925023,0.009105030484381132,0.02006474225744023,0.0743706789377958,0.08469010785814714,0.1370224200594643,0.10999935673126096,0.10152064089666704,0.05633653694086912,0.0435598651451149,0.016667431570320333,0.09734473229470406
en_std,0.05312568878754973,0.026636027724423913,0.002709759430532112,0.0019787864003626395,0.0211125655857171,0.10206780124665238,0.061484715550090184,0.0030632632621717475,0.002801598367715377,0.04235434460665742,0.00021779709904296127,0.0003868524892657826,0.006976638748808398,0.0035370641282915145,0.002779588116352164,0.04175144485942792,0.002412887346389862,0.002638351865195469,0.0019619583087786487
nn_std,0.05462745737656951,0.029265421472489835,0.01737733490483435,0.0042085921860493675,0.026369701484985766,0.0976624531969428,0.06096527077630162,0.01562922960637168,0.005039997018860614,0.04482423764961918,0.026916089249735185,0.041635012021288276,0.1038006934171835,0.08181465022786798,0.06354161122901873,0.06220623091487041,0.027617469327545375,0.010563788429029003,0.061724831124578126
cn_std,0.013593799253925681,0.006177874506392982,0.015484894516036631,0.0025547958174001635,0.009452841023438865,0.007922532157273962,0.004527325191651471,0.01395374093841427,0.003008914425677383,0.007353128178254272,0.027008570426024815,0.041737586090510544,0.10001937104009039,0.08151946320760514,0.06257124769105772,0.026541578762559883,0.026376565832607352,0.008750586424382112,0.06162852464905784
accstd,,,,,,,,,,,,,,,,,,,
acc,0.97025,0.99425,0.99975,1.0,0.9910625,0.90725,0.963,0.99975,1.0,0.9675,0.9680851063829787,0.9715909090909091,0.8650137741046833,0.8975409836065574,0.9255576932962821,0.9446414800812771,0.9781053154495778,0.9998750000000001,0.9345659463487332
std,0.08089796361202994,0.04138621580220448,0.02371465923426873,0.005828116269208114,0.03795673872942782,0.1384351910672461,0.08465154101202886,0.02176415587130513,0.0072336732081689165,0.06302114028968725,0.036094971183201964,0.05583963373404306,0.14053113547072152,0.11124745170917642,0.08592829802428574,0.08699950302457216,0.037604615004361734,0.014635151145737721,0.08354354272160974
