,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
86,lawn mower,0.7500,-0.0494,0.2628,0.9773,hispanic,white,0.0671,0.1650
54,drawer,0.8269,0.0147,0.1321,0.9792,asian,hispanic,0.0967,0.1144
9,army,0.9286,-0.0557,0.1141,0.9922,asian,white,0.0693,0.0917
60,employment,0.9062,-0.0189,0.1212,1.0000,asian,hispanic,0.0101,0.0657
47,delivery,0.9062,-0.0500,0.1141,1.0000,asian,hispanic,0.0113,0.0627
55,driver,0.9375,0.0717,0.0898,1.0000,asian,hispanic,0.0158,0.0528
78,housekeeper,0.9615,0.0882,0.0748,1.0000,asian,hispanic,0.0196,0.0472
81,janitor,0.9808,0.0509,0.0556,0.9861,black,white,0.0378,0.0467
73,hairdresser,0.9500,0.0945,0.0744,0.9904,black,hispanic,0.0171,0.0458
129,sheriff,1.0000,-0.0210,0.0376,0.9750,asian,hispanic,0.0466,0.0421
139,tennis player,0.9688,0.0495,0.0691,1.0000,asian,white,0.0143,0.0417
67,football player,0.9722,-0.0082,0.0446,0.9922,asian,white,0.0372,0.0409
66,fireman,0.9808,0.0329,0.0484,0.9917,asian,white,0.0331,0.0408
114,politician,0.9773,0.0521,0.0502,0.9917,asian,white,0.0309,0.0406
64,farmer,0.9808,0.0437,0.0381,0.9844,asian,hispanic,0.0428,0.0404
70,grocer,0.9750,0.0230,0.0450,0.9917,black,hispanic,0.0331,0.0390
133,soldier,0.9643,0.0055,0.0542,0.9922,asian,hispanic,0.0236,0.0389
115,postman,1.0000,-0.0177,0.0268,0.9792,asian,white,0.0487,0.0377
84,laborer,0.9500,0.0291,0.0636,1.0000,asian,hispanic,0.0116,0.0376
35,civil,0.9750,-0.0462,0.0647,1.0000,asian,hispanic,0.0094,0.0371
131,sociologist,1.0000,-0.0166,0.0305,0.9844,asian,hispanic,0.0417,0.0361
6,airman,0.9833,0.0217,0.0373,0.9911,asian,white,0.0349,0.0361
126,secretary,0.9643,0.0350,0.0444,0.9896,asian,hispanic,0.0274,0.0359
20,barber,0.9750,0.0300,0.0554,1.0000,asian,hispanic,0.0159,0.0357
121,realtor,0.9844,0.0389,0.0497,1.0000,asian,hispanic,0.0216,0.0356
4,aeronautical engineer,0.9583,0.0749,0.0624,1.0000,black,hispanic,0.0069,0.0346
76,historian,0.9583,0.0046,0.0528,1.0000,black,hispanic,0.0146,0.0337
74,handball player,0.9750,0.0714,0.0611,1.0000,asian,hispanic,0.0049,0.0330
33,chess player,1.0000,0.0180,0.0279,0.9844,asian,hispanic,0.0379,0.0329
82,journalist,0.9773,-0.0059,0.0550,1.0000,asian,hispanic,0.0094,0.0322
120,radiologist,0.9853,0.0178,0.0316,0.9926,asian,hispanic,0.0317,0.0316
111,plumber,1.0000,-0.0049,0.0174,0.9904,asian,hispanic,0.0454,0.0314
48,dentist,1.0000,-0.0073,0.0112,0.9821,black,hispanic,0.0478,0.0295
127,security guard,0.9750,0.0381,0.0480,1.0000,asian,hispanic,0.0110,0.0295
113,police officer,1.0000,-0.0072,0.0293,0.9922,asian,white,0.0294,0.0293
109,pianist,0.9688,0.0368,0.0411,1.0000,black,white,0.0176,0.0293
112,poet,0.9750,0.0541,0.0518,1.0000,asian,hispanic,0.0067,0.0293
106,photographer,0.9821,0.0280,0.0376,1.0000,asian,hispanic,0.0206,0.0291
57,editor,0.9750,0.0363,0.0405,1.0000,asian,hispanic,0.0175,0.0290
95,medical student,0.9688,0.0448,0.0393,1.0000,asian,white,0.0185,0.0289
22,boxer,1.0000,0.0132,0.0331,0.9926,asian,white,0.0246,0.0289
72,guitarist,1.0000,-0.0004,0.0233,0.9911,asian,white,0.0337,0.0285
