,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
115,postman,0.5385,0.1270,0.4442,1.0000,white,hispanic,0.0009,0.2226
122,receptionist,0.6786,0.0471,0.3077,1.0000,asian,hispanic,0.0027,0.1552
27,butler,0.7031,0.1440,0.2866,1.0000,black,hispanic,0.0023,0.1444
26,butcher,0.8125,0.1667,0.2282,1.0000,black,hispanic,0.0011,0.1146
111,plumber,0.8438,0.0465,0.2105,1.0000,black,hispanic,0.0028,0.1066
129,sheriff,0.8333,0.1149,0.2069,1.0000,asian,hispanic,0.0034,0.1051
75,handyman,0.8824,0.0196,0.2082,1.0000,white,hispanic,0.0003,0.1043
6,airman,0.8889,0.1900,0.2019,1.0000,asian,hispanic,0.0022,0.1021
20,barber,0.8333,0.1174,0.2000,1.0000,asian,hispanic,0.0017,0.1009
66,fireman,0.8077,0.1417,0.1850,1.0000,asian,hispanic,0.0015,0.0933
77,hostess,0.8971,-0.0432,0.1701,1.0000,white,hispanic,0.0016,0.0859
114,politician,0.8438,0.1249,0.1682,1.0000,asian,hispanic,0.0012,0.0847
28,carpenter,0.9107,0.0313,0.1551,1.0000,white,hispanic,0.0009,0.0780
2,actor,0.8750,0.0374,0.1509,1.0000,asian,hispanic,0.0026,0.0767
133,soldier,0.8824,0.0984,0.1464,1.0000,asian,hispanic,0.0023,0.0744
25,businessperson,0.8393,0.0908,0.1461,1.0000,asian,hispanic,0.0005,0.0733
99,nurse,0.9000,-0.0309,0.1435,1.0000,white,hispanic,0.0015,0.0725
78,housekeeper,0.8864,-0.1354,0.1367,1.0000,black,hispanic,0.0013,0.0690
21,bartender,0.9318,0.0763,0.1322,1.0000,asian,hispanic,0.0026,0.0674
55,driver,0.8958,0.0353,0.1292,1.0000,asian,hispanic,0.0026,0.0659
86,lawn mower,0.9667,-0.0095,0.0425,1.0000,asian,hispanic,0.0882,0.0654
95,medical student,0.9000,0.1018,0.1292,1.0000,white,hispanic,0.0008,0.0650
38,coach,0.9000,0.0697,0.1263,1.0000,asian,black,0.0015,0.0639
98,musician,0.9167,0.0395,0.1268,1.0000,asian,hispanic,0.0006,0.0637
137,tailor,0.8676,0.0132,0.1250,1.0000,black,hispanic,0.0009,0.0630
106,photographer,0.9167,0.1403,0.1253,1.0000,asian,hispanic,0.0003,0.0628
135,surgeon,0.8182,0.0538,0.1236,1.0000,asian,hispanic,0.0018,0.0627
91,magician,0.8594,0.0210,0.1236,1.0000,asian,hispanic,0.0007,0.0622
48,dentist,0.8409,0.0467,0.1198,1.0000,asian,hispanic,0.0036,0.0617
34,chief,0.9107,0.1295,0.1122,1.0000,asian,hispanic,0.0084,0.0603
124,salesperson,0.9107,0.1046,0.1186,1.0000,asian,hispanic,0.0004,0.0595
65,firefighter,0.8125,0.1542,0.1158,1.0000,asian,hispanic,0.0012,0.0585
81,janitor,0.8846,0.0399,0.1127,1.0000,black,hispanic,0.0039,0.0583
85,landlord,0.9091,0.0245,0.1139,1.0000,asian,black,0.0011,0.0575
132,software engineer,0.8500,0.1216,0.1094,1.0000,white,hispanic,0.0009,0.0551
64,farmer,0.9318,0.0787,0.1011,1.0000,asian,hispanic,0.0089,0.0550
83,judge,0.9375,-0.0118,0.1066,1.0000,asian,hispanic,0.0018,0.0542
46,dealer,0.9500,0.1108,0.1063,1.0000,asian,hispanic,0.0006,0.0534
112,poet,0.9118,0.0812,0.1035,1.0000,asian,hispanic,0.0008,0.0522
71,guard,0.9211,0.0780,0.1004,1.0000,asian,hispanic,0.0021,0.0513
118,prosecutor,0.8654,0.1355,0.0990,1.0000,asian,hispanic,0.0028,0.0509
24,builder,0.9265,0.0340,0.1007,1.0000,white,hispanic,0.0004,0.0506
127,security guard,0.9091,-0.0221,0.0975,1.0000,black,hispanic,0.0006,0.0491
108,physicist,0.8824,0.1167,0.0883,1.0000,black,hispanic,0.0078,0.0480
12,astronomer,0.8056,0.0789,0.0950,1.0000,white,hispanic,0.0011,0.0480
19,banker,0.9500,0.0173,0.0930,1.0000,white,hispanic,0.0015,0.0472
80,inspector,0.9500,0.1115,0.0925,1.0000,asian,hispanic,0.0019,0.0472
30,CEO,0.9375,0.0279,0.0906,1.0000,asian,black,0.0034,0.0470
113,police officer,0.8929,0.0672,0.0921,1.0000,asian,hispanic,0.0017,0.0469
54,drawer,0.9286,0.0921,0.0687,1.0000,asian,black,0.0246,0.0467
107,physician,0.9286,0.0204,0.0910,1.0000,asian,hispanic,0.0017,0.0463
3,administrator,0.9464,0.0665,0.0880,1.0000,asian,hispanic,0.0031,0.0455
110,pilot,0.9306,0.0667,0.0887,1.0000,asian,hispanic,0.0023,0.0455
90,linguist,0.9531,0.0708,0.0764,1.0000,asian,hispanic,0.0112,0.0438
22,boxer,0.9219,0.0117,0.0830,1.0000,asian,hispanic,0.0045,0.0437
126,secretary,0.9444,0.0071,0.0846,1.0000,asian,hispanic,0.0023,0.0434
39,comedian,0.9286,0.0440,0.0850,1.0000,asian,hispanic,0.0008,0.0429
116,producer,0.8889,0.0843,0.0846,1.0000,asian,hispanic,0.0010,0.0428
45,dancer,0.9531,0.0355,0.0839,1.0000,asian,hispanic,0.0007,0.0423
94,mechanic,0.8676,0.0617,0.0833,1.0000,white,hispanic,0.0006,0.0420
72,guitarist,0.9286,0.0343,0.0826,1.0000,asian,hispanic,0.0011,0.0419
8,architect,0.8750,0.0871,0.0812,1.0000,asian,hispanic,0.0014,0.0413
87,lawyer,0.9342,0.0160,0.0809,1.0000,asian,black,0.0015,0.0412
50,detective,0.9500,0.0082,0.0797,1.0000,asian,hispanic,0.0011,0.0404
42,construction worker,0.9028,0.0560,0.0798,1.0000,asian,hispanic,0.0008,0.0403
79,illustrator,0.9412,0.0923,0.0797,1.0000,asian,hispanic,0.0007,0.0402
16,auditor,0.9375,0.0890,0.0771,1.0000,asian,hispanic,0.0027,0.0399
58,electrician,0.8929,-0.0294,0.0782,1.0000,white,hispanic,0.0010,0.0396
120,radiologist,0.8750,0.0660,0.0774,1.0000,asian,hispanic,0.0010,0.0392
141,umpire,0.9000,0.0284,0.0765,1.0000,black,hispanic,0.0012,0.0389
11,assistant,0.9265,-0.0184,0.0756,1.0000,white,hispanic,0.0008,0.0382
93,mathematician,0.9500,0.0469,0.0746,1.0000,asian,hispanic,0.0016,0.0381
31,chef,0.9583,0.0536,0.0745,1.0000,asian,hispanic,0.0009,0.0377
29,cashier,0.9524,0.0176,0.0748,1.0000,white,hispanic,0.0005,0.0377
103,pensioner,0.9423,-0.0006,0.0739,1.0000,white,hispanic,0.0012,0.0375
49,designer,0.9265,0.0421,0.0701,1.0000,black,hispanic,0.0040,0.0371
23,broker,0.9375,0.0377,0.0715,1.0000,asian,hispanic,0.0008,0.0362
4,aeronautical engineer,0.9375,0.0574,0.0712,1.0000,white,hispanic,0.0009,0.0360
128,servant,0.9000,0.0599,0.0687,1.0000,black,hispanic,0.0011,0.0349
59,employee,0.9231,0.0306,0.0669,1.0000,asian,hispanic,0.0020,0.0344
117,professor,0.9286,-0.0181,0.0655,1.0000,asian,hispanic,0.0024,0.0340
1,accountant,0.9792,0.0632,0.0661,1.0000,asian,hispanic,0.0016,0.0338
138,teacher,0.9643,0.0177,0.0640,1.0000,asian,black,0.0019,0.0330
121,realtor,0.9375,0.0580,0.0630,1.0000,asian,hispanic,0.0022,0.0326
109,pianist,0.9464,0.0916,0.0639,1.0000,asian,hispanic,0.0011,0.0325
32,chemist,0.9062,0.0861,0.0628,1.0000,black,hispanic,0.0022,0.0325
89,lifeguard,0.9333,0.0167,0.0639,1.0000,black,hispanic,0.0007,0.0323
73,hairdresser,0.9375,0.0536,0.0625,1.0000,black,hispanic,0.0021,0.0323
60,employment,0.9531,0.0562,0.0571,1.0000,asian,hispanic,0.0060,0.0315
134,supervisor,0.9643,0.0185,0.0606,1.0000,asian,black,0.0025,0.0315
125,scientist,0.8636,0.0369,0.0613,1.0000,asian,hispanic,0.0008,0.0310
70,grocer,0.9643,-0.0332,0.0593,1.0000,asian,hispanic,0.0019,0.0306
41,composer,0.9231,-0.0263,0.0569,1.0000,asian,hispanic,0.0009,0.0289
139,tennis player,0.9706,0.0241,0.0559,1.0000,white,hispanic,0.0006,0.0283
9,army,0.9808,0.0480,0.0483,1.0000,asian,hispanic,0.0081,0.0282
37,clerk,0.9853,0.0332,0.0547,1.0000,asian,hispanic,0.0017,0.0282
74,handball player,0.9167,0.0724,0.0549,1.0000,white,hispanic,0.0005,0.0277
100,office worker,0.9333,0.0400,0.0531,1.0000,asian,hispanic,0.0018,0.0274
84,laborer,0.9808,0.0160,0.0525,1.0000,white,hispanic,0.0005,0.0265
35,civil,1.0000,0.0466,0.0525,1.0000,white,hispanic,0.0005,0.0265
51,diplomat,0.9000,0.0241,0.0503,1.0000,asian,hispanic,0.0025,0.0264
92,manager,0.9333,0.0678,0.0499,1.0000,asian,hispanic,0.0022,0.0261
7,analyst,0.9688,0.0370,0.0507,1.0000,asian,hispanic,0.0014,0.0261
0,academic,0.9375,0.0377,0.0507,1.0000,white,black,0.0013,0.0260
61,engineer,0.9688,0.0372,0.0483,1.0000,asian,hispanic,0.0014,0.0248
123,researcher,0.9722,0.0605,0.0480,1.0000,white,hispanic,0.0009,0.0244
40,commander,0.9773,0.0205,0.0461,1.0000,asian,hispanic,0.0025,0.0243
10,artist,0.9615,-0.0648,0.0464,1.0000,asian,hispanic,0.0009,0.0236
14,attendant,0.9545,-0.0603,0.0456,1.0000,asian,hispanic,0.0013,0.0235
63,executive,0.9444,-0.0204,0.0452,1.0000,asian,hispanic,0.0015,0.0234
97,mover,0.9605,0.0437,0.0459,1.0000,black,hispanic,0.0007,0.0233
56,economist,0.9500,0.0417,0.0427,1.0000,asian,hispanic,0.0035,0.0231
69,gambler,0.9559,0.0599,0.0419,1.0000,black,hispanic,0.0005,0.0212
131,sociologist,0.9808,0.0420,0.0380,1.0000,asian,hispanic,0.0018,0.0199
67,football player,0.9615,-0.0055,0.0391,1.0000,asian,hispanic,0.0006,0.0199
44,counselor,0.9821,0.0415,0.0377,1.0000,asian,black,0.0017,0.0197
52,director,0.9643,0.0479,0.0371,1.0000,asian,black,0.0019,0.0195
130,singer,0.9792,0.0446,0.0362,1.0000,asian,black,0.0015,0.0189
140,theologian,0.9615,-0.0402,0.0350,1.0000,asian,black,0.0009,0.0179
62,entrepreneur,0.9792,-0.0112,0.0334,1.0000,asian,hispanic,0.0006,0.0170
17,author,0.9792,-0.0386,0.0321,1.0000,asian,black,0.0013,0.0167
119,psychologist,0.9853,-0.0297,0.0304,1.0000,white,hispanic,0.0016,0.0160
136,swimmer,0.9500,-0.0323,0.0307,1.0000,asian,hispanic,0.0011,0.0159
102,painter,0.9423,0.0382,0.0303,1.0000,asian,hispanic,0.0009,0.0156
76,historian,0.9750,0.0347,0.0300,1.0000,asian,hispanic,0.0010,0.0155
18,baker,0.9444,-0.0254,0.0301,1.0000,asian,hispanic,0.0008,0.0155
57,editor,0.9531,0.0105,0.0290,1.0000,asian,black,0.0015,0.0153
5,agent,0.9833,0.0280,0.0292,1.0000,asian,hispanic,0.0012,0.0152
101,opera singer,0.9821,-0.0048,0.0283,1.0000,asian,hispanic,0.0013,0.0148
53,doctor,0.9667,0.0151,0.0272,1.0000,asian,hispanic,0.0010,0.0141
88,librarian,1.0000,0.0003,0.0222,1.0000,asian,hispanic,0.0023,0.0123
33,chess player,0.9167,0.0041,0.0212,1.0000,black,hispanic,0.0027,0.0119
96,model,0.9808,0.0303,0.0215,1.0000,white,hispanic,0.0005,0.0110
15,attourney,1.0000,0.0090,0.0179,1.0000,white,hispanic,0.0014,0.0096
82,journalist,1.0000,0.0174,0.0182,1.0000,asian,hispanic,0.0009,0.0095
105,pharmacist,1.0000,-0.0009,0.0145,1.0000,white,black,0.0005,0.0075
68,foster parent,1.0000,0.0036,0.0089,1.0000,white,hispanic,0.0005,0.0047
104,performing artist,0.9615,0.0102,0.0087,1.0000,asian,hispanic,0.0006,0.0047
43,cook,1.0000,-0.0000,0.0065,1.0000,white,hispanic,0.0013,0.0039
13,athlete,1.0000,0.0038,0.0045,1.0000,asian,hispanic,0.0007,0.0026
47,delivery,0.9500,0.0014,0.0039,1.0000,black,hispanic,0.0007,0.0023
36,cleaner,1.0000,0.0001,0.0020,1.0000,black,hispanic,0.0019,0.0020
