,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
template,A1,A2,A3,A4,A,B1,B2,B3,B4,B,C1,C2,C3,C4,C,Gender,Race,Race-AB,Race-C
en1,0.03808035536835087,0.024830377270569443,0.0017067804390689175,0.0005815509768957593,0.016299766013721243,0.12717614122269152,0.05574023083921929,0.0008597989364946917,0.0004855180457776316,0.04606542226104578,0.009834892096671653,0.005089441217106386,0.012093659614579375,0.006950823891515267,0.00849220420496817,0.04462594273534703,0.0026123189178097754,0.0009084120995592501,0.0060201325543108265
nn1,0.944390027821064,0.9648320220559835,0.9972300101333941,0.9971802578917865,0.975908079475557,0.8649292220585049,0.9423240630887448,0.9984138838841882,0.9946540830464199,0.9500803130194644,0.9635312271879074,0.9198018410666422,0.9571249456960739,0.9142393167334316,0.9386743326710137,0.9395219179847131,0.9702532321259771,0.9968695587389471,0.917020578900037
cn1,0.01752961513225455,0.010337601726059803,0.0010632082420683295,0.0022381871132328623,0.007792153053403886,0.007894637725010398,0.0019357031903491587,0.0007263135987261809,0.004860398596190799,0.0038542632775691345,0.026633888312139885,0.0751087149699081,0.03078139281239022,0.07880985864766608,0.05283346368552608,0.015852139816367333,0.027134446861298723,0.002222026887554543,0.0769592868087871
en2,0.01330403947486775,0.012031288383688662,0.0013477893562210252,0.0005039337699819388,0.006796762746189844,0.06845006506012578,0.04390947768621845,0.0007015552843550325,0.00039582871952383166,0.028364231687555776,0.007766743037017419,0.003856358215588526,0.008130915618050854,0.007018889876496255,0.0066932266867882634,0.025598754876661484,0.002304059203694435,0.000737276782520457,0.005437624046042391
nn2,0.914712189169135,0.967398610651493,0.9969311805678086,0.9966691999599852,0.9689277950871055,0.9055895199775695,0.9532249831929803,0.9980892677542189,0.9975153151257284,0.9636047715126244,0.917182261005361,0.8838438111838927,0.8380172320192752,0.9193880144925001,0.8896078296752573,0.916020799335969,0.9654061315140224,0.9973012408519353,0.9016159128381964
cn2,0.0719837727106642,0.02057009946893959,0.0017210306377563312,0.0028268693031036646,0.024275443030115945,0.025960416019224795,0.002865539736536448,0.0012091723111668,0.0020888529257278824,0.008030995248163982,0.07505098854605247,0.11229983110983581,0.15385184669578525,0.07359309591347632,0.10369894056628745,0.05838044386286712,0.0322898087001778,0.0019614812944386694,0.09294646351165606
en3,,,0.0007203956244064127,0.00041523680004596327,0.000567816212226188,,,0.0004934897903733375,0.00036261417649100246,0.00042805198343216994,,,,,,,0.000497934097829179,0.000497934097829179,
nn3,,,0.9969816283440925,0.9986859446969526,0.9978337865205226,,,0.9984231754927568,0.9988150576065327,0.9986191165496447,,,,,,,0.9982264515350836,0.9982264515350836,
cn3,,,0.0022979757091043597,0.0008988153873862506,0.0015983955482453051,,,0.0010833398846443743,0.0008223244668474292,0.0009528321757459018,,,,,,,0.0012756138619956032,0.0012756138619956032,
en4,,,0.0026453228218113662,0.000508346209495232,0.0015768345156532992,,,0.0010065937197101498,0.00044566469672457156,0.0007261292082173607,,,,,,,0.00115148186193533,0.00115148186193533,
nn4,,,0.9918303451907466,0.9985294912395806,0.9951799182151636,,,0.9962940854086003,0.9984695346191012,0.9973818100138507,,,,,,,0.9962808641145071,0.9962808641145071,
cn4,,,0.005524329052874031,0.0009621639750046848,0.003243246513939358,,,0.0026993198934319416,0.0010847977908520863,0.001892058842142014,,,,,,,0.0025676526780406862,0.0025676526780406862,
en_avg,0.025692197421609306,0.01843083282712905,0.0016050720603769304,0.0005022669391047234,0.011557592312055004,0.09781310314140865,0.04982485426271887,0.0007653594327333029,0.00042240640962925934,0.037206430811622525,0.008800817566844536,0.004472899716347456,0.010112287616315115,0.006984856884005761,0.007592715445878217,0.03511234880600425,0.002458810240366239,0.0008237762104610541,0.005728878300176609
nn_avg,0.9295511084950995,0.9661153163537383,0.9957432910590105,0.9977662234470762,0.9722939848387311,0.8852593710180372,0.9477745231408626,0.9978051031349411,0.9973634975994455,0.9570506237233216,0.9403567440966343,0.9018228261252674,0.8975710888576746,0.9168136656129658,0.9141410811731355,0.927771358660341,0.9678857678297844,0.9971695288101183,0.9093182458691167
cn_avg,0.044756693921459374,0.015453850597499695,0.002651635910450763,0.0017315089446818656,0.016148422343522924,0.016927526872117595,0.002400621463442803,0.001429536421992324,0.0022140934449045493,0.005742944550614318,0.05084243842909618,0.09370427303987196,0.09231661975408774,0.0762014772805712,0.07826620212590676,0.03711629183961723,0.029655420840412106,0.0020066936805073756,0.08495287516022157
en_std,0.02030263427279715,0.013608788915444165,0.0008512614710666824,7.604725058327512e-05,0.008709682977472818,0.058060869679102324,0.033444944251728885,0.0002301036887646775,6.114067737140025e-05,0.02294926457424182,0.0026790749360906317,0.0013201525924325158,0.006979688259137723,0.0047537948054931075,0.0039331776482884944,0.022512666719050143,0.0012154167476186098,0.0003046382719465088,0.0030369736989628118
nn_std,0.055399499899940564,0.0240554466471076,0.002685896779241192,0.001040693528660114,0.020795384213737368,0.06761131445690989,0.034004538806155324,0.0009611738740064529,0.0019184222518283435,0.026123862347225,0.03471553706108255,0.04117465453270019,0.08264922130141457,0.06832895415070689,0.056717091761476046,0.04973925969543508,0.019351632519523862,0.0016515466084340256,0.05475180434170354
cn_std,0.03838565650925739,0.012145436254642846,0.002056302924191558,0.0010428368352313033,0.013407558130830775,0.01362505641788448,0.0011185843560524518,0.0008298669780195448,0.0019173428100732566,0.0043727126405074335,0.032848301586667766,0.04080340535305864,0.08015843289942781,0.0667861391485292,0.055149069746920854,0.02971357800398879,0.01890598234151725,0.0014615873868789157,0.05379477225079392
accstd,,,,,,,,,,,,,,,,,,,
acc,0.9575,0.9885,1.0,1.0,0.9865,0.889,0.94825,1.0,1.0,0.9593125,0.9680851063829787,0.9261363636363636,0.871900826446281,0.8787568306010929,0.9112197817666791,0.9372059888048766,0.967482199039576,1.0,0.9024465971187283
std,0.07605852712133006,0.033206447878129736,0.0037289741163329558,0.0014397184096497948,0.028608416881360635,0.09286482703593114,0.045712044942624444,0.00134742969386045,0.0025979371595153317,0.035630559707982845,0.04682860905589397,0.05553214165212756,0.11319156163998674,0.0932459254031528,0.07719955943779026,0.06797700294564935,0.02631535440577315,0.002278514844839633,0.07438903352764017
