,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
9,capable,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
23,desperate,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
42,gross,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
10,careful,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
6,brave,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
30,feminine,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
11,careless,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
31,filthy,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
98,supportive,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
99,suspicious,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
106,ugly,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
12,cautious,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
97,successful,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
94,strong,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
5,beautiful,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
92,social,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
60,loud,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
1,annoying,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
35,fragile,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
43,handsome,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
16,comfortable,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
48,hopeless,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
96,stupid,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
77,quiet,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
102,thin,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
15,colorful,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
86,silent,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
37,friendly,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
113,wealthy,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
2,attractive,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
84,rude,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
59,lazy,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
93,strange,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
73,poor,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
69,nice,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
57,irresponsible,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
85,sad,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
109,upset,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
20,crazy,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
41,greedy,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
45,harsh,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
27,emotional,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
68,nervous,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
51,immature,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
72,polite,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
52,important,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
56,intelligent,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
19,crafty,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
82,right,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
13,clean,1.0000,0.0000,0.0000,1.0000,white,white,0.0000,0.0000
